,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,K. Durant misses 2-pt jump shot from 14 ft,0,0
1,1,11:42.0,,Offensive rebound by J. McGee,0,0
2,1,11:42.0,,J. McGee makes 2-pt layup from 1 ft,0,2
3,1,11:23.0,R. Lopez makes 2-pt hook shot from 8 ft (assist by J. Grant),,2,2
4,1,11:10.0,,J. McGee makes 2-pt dunk at rim (assist by K. Thompson),2,4
5,1,10:44.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,2,4
6,1,10:43.0,,Defensive rebound by K. Thompson,2,4
7,1,10:34.0,,D. Green misses 2-pt jump shot from 21 ft,2,4
8,1,10:33.0,Defensive rebound by J. Grant,,2,4
9,1,10:24.0,Turnover by J. Grant (bad pass; steal by S. Curry),,2,4
10,1,10:18.0,,K. Thompson misses 3-pt jump shot from 27 ft,2,4
11,1,10:18.0,Defensive rebound by P. Zipser,,2,4
12,1,9:58.0,T. Gibson misses 2-pt jump shot from 12 ft,,2,4
13,1,9:58.0,Offensive rebound by P. Zipser,,2,4
14,1,9:49.0,M. Carter-Williams misses 2-pt jump shot from 15 ft (block by K. Durant),,2,4
15,1,9:49.0,Offensive rebound by M. Carter-Williams,,2,4
16,1,9:42.0,T. Gibson misses 2-pt layup from 2 ft (block by J. McGee),,2,4
17,1,9:42.0,,Defensive rebound by J. McGee,2,4
18,1,9:29.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),2,7
19,1,9:03.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by M. Carter-Williams),,4,7
20,1,8:41.0,,K. Durant makes 2-pt jump shot from 6 ft,4,9
21,1,8:28.0,J. Grant misses 2-pt jump shot from 18 ft,,4,9
22,1,8:27.0,,Defensive rebound by D. Green,4,9
23,1,8:21.0,,S. Curry misses 3-pt jump shot from 26 ft,4,9
24,1,8:21.0,Defensive rebound by Team,,4,9
25,1,8:04.0,J. Grant makes 2-pt jump shot from 19 ft (assist by R. Lopez),,6,9
26,1,7:51.0,,J. McGee makes 2-pt dunk at rim (assist by K. Durant),6,11
27,1,7:39.0,Shooting foul by D. Green (drawn by T. Gibson),,6,11
28,1,7:39.0,T. Gibson misses free throw 1 of 2,,6,11
29,1,7:39.0,Offensive rebound by Team,,6,11
30,1,7:39.0,T. Gibson makes free throw 2 of 2,,7,11
31,1,7:21.0,,K. Durant misses 2-pt jump shot from 19 ft,7,11
32,1,7:20.0,Defensive rebound by J. Grant,,7,11
33,1,7:10.0,T. Gibson makes 2-pt jump shot from 6 ft (assist by M. Carter-Williams),,9,11
34,1,7:09.0,,Turnover by K. Durant (inbound),9,11
35,1,7:03.0,Turnover by T. Gibson (bad pass; steal by D. Green),,9,11
36,1,6:57.0,,S. Curry misses 2-pt jump shot from 7 ft (block by T. Gibson),9,11
37,1,6:56.0,Defensive rebound by P. Zipser,,9,11
38,1,6:54.0,Personal foul by J. McGee (drawn by J. Grant),,9,11
39,1,6:54.0,J. Grant makes free throw 1 of 2,,10,11
40,1,6:54.0,J. Grant makes free throw 2 of 2,,11,11
41,1,6:41.0,,K. Thompson misses 3-pt jump shot from 23 ft,11,11
42,1,6:40.0,Defensive rebound by T. Gibson,,11,11
43,1,6:29.0,Turnover by M. Carter-Williams (bad pass; steal by K. Durant),,11,11
44,1,6:28.0,,Personal foul by J. Grant (drawn by K. Durant),11,11
45,1,6:23.0,,Turnover by K. Thompson (bad pass; steal by R. Lopez),11,11
46,1,6:19.0,Turnover by M. Carter-Williams (lost ball),,11,11
47,1,6:03.0,,K. Durant misses 2-pt jump shot from 17 ft,11,11
48,1,6:02.0,Defensive rebound by T. Gibson,,11,11
49,1,5:58.0,Turnover by T. Gibson (bad pass; steal by K. Durant),,11,11
50,1,5:52.0,,K. Durant makes 2-pt layup from 2 ft,11,13
51,1,5:29.0,M. Carter-Williams misses 2-pt jump shot from 17 ft,,11,13
52,1,5:28.0,,Defensive rebound by K. Durant,11,13
53,1,5:15.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),11,15
54,1,5:15.0,Chicago full timeout,,11,15
55,1,5:15.0,,A. Iguodala enters the game for D. Green,11,15
56,1,5:15.0,D. Valentine enters the game for M. Carter-Williams,,11,15
57,1,4:57.0,P. Zipser misses 3-pt jump shot from 27 ft,,11,15
58,1,4:56.0,,Defensive rebound by J. McGee,11,15
59,1,4:37.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),11,18
60,1,4:10.0,Turnover by Team (shot clock),,11,18
61,1,3:53.0,,K. Durant misses 2-pt jump shot from 15 ft,11,18
62,1,3:53.0,Defensive rebound by J. Grant,,11,18
63,1,3:45.0,J. Grant misses 3-pt jump shot from 26 ft,,11,18
64,1,3:44.0,,Defensive rebound by J. McGee,11,18
65,1,3:35.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Durant),11,21
66,1,3:19.0,R. Lopez misses 2-pt jump shot from 14 ft,,11,21
67,1,3:18.0,,Defensive rebound by S. Curry,11,21
68,1,3:12.0,,S. Curry misses 3-pt jump shot from 30 ft,11,21
69,1,3:12.0,Defensive rebound by T. Gibson,,11,21
70,1,3:08.0,Personal foul by J. McGee (drawn by R. Lopez),,11,21
71,1,3:08.0,,K. Looney enters the game for J. McGee,11,21
72,1,3:08.0,,I. Clark enters the game for K. Thompson,11,21
73,1,3:08.0,R. Rondo enters the game for T. Gibson,,11,21
74,1,3:08.0,N. Mirotić enters the game for J. Grant,,11,21
75,1,2:57.0,D. Valentine misses 2-pt jump shot from 20 ft,,11,21
76,1,2:57.0,Offensive rebound by R. Lopez,,11,21
77,1,2:50.0,R. Lopez misses 2-pt hook shot from 8 ft,,11,21
78,1,2:50.0,,Defensive rebound by K. Durant,11,21
79,1,2:43.0,,K. Durant makes 2-pt layup from 1 ft,11,23
80,1,2:43.0,,Shooting foul by P. Zipser (drawn by K. Durant),11,23
81,1,2:43.0,,Golden State full timeout,11,23
82,1,2:43.0,,K. Durant makes free throw 1 of 1,11,24
83,1,2:33.0,Turnover by R. Rondo (bad pass; steal by K. Durant),,11,24
84,1,2:28.0,,Turnover by K. Durant (bad pass; steal by P. Zipser),11,24
85,1,2:20.0,R. Rondo makes 2-pt jump shot from 17 ft,,13,24
86,1,1:54.0,,Turnover by Team (shot clock),13,24
87,1,1:54.0,,D. Green enters the game for K. Durant,13,24
88,1,1:54.0,D. McDermott enters the game for P. Zipser,,13,24
89,1,1:54.0,C. Felício enters the game for R. Lopez,,13,24
90,1,1:40.0,D. Valentine misses 2-pt jump shot from 5 ft,,13,24
91,1,1:39.0,,Defensive rebound by D. Green,13,24
92,1,1:26.0,,K. Looney makes 2-pt dunk at rim (assist by S. Curry),13,26
93,1,1:05.0,N. Mirotić misses 3-pt jump shot from 23 ft,,13,26
94,1,1:04.0,Offensive rebound by Team,,13,26
95,1,0:51.0,R. Rondo makes 2-pt jump shot from 18 ft,,15,26
96,1,0:48.0,,Turnover by K. Looney (lost ball),15,26
97,1,0:43.0,D. McDermott misses 2-pt jump shot from 20 ft,,15,26
98,1,0:43.0,,Defensive rebound by D. Green,15,26
99,1,0:33.0,,S. Curry makes 2-pt jump shot from 22 ft,15,28
100,1,0:24.0,C. Felício makes 2-pt dunk at rim (assist by R. Rondo),,17,28
101,1,0:07.0,,Personal foul by R. Rondo (drawn by S. Curry),17,28
102,1,0:02.0,,Shooting foul by R. Rondo (drawn by S. Curry),17,28
103,1,0:02.0,,S. Curry makes free throw 1 of 2,17,29
104,1,0:02.0,,S. Curry makes free throw 2 of 2,17,30
105,2,11:34.0,R. Rondo misses 3-pt jump shot from 25 ft,,17,30
106,2,11:32.0,,Defensive rebound by K. Thompson,17,30
107,2,11:26.0,,Personal foul by D. McDermott (drawn by A. Iguodala),17,30
108,2,11:17.0,,Shooting foul by D. McDermott (drawn by K. Thompson),17,30
109,2,11:17.0,,A. Iguodala makes free throw 1 of 2,17,31
110,2,11:17.0,,A. Iguodala makes free throw 2 of 2,17,32
111,2,10:54.0,D. McDermott misses 3-pt jump shot from 23 ft,,17,32
112,2,10:53.0,,Defensive rebound by A. Iguodala,17,32
113,2,10:42.0,,Offensive foul by J. McAdoo (drawn by R. Rondo),17,32
114,2,10:42.0,,Turnover by J. McAdoo (offensive foul),17,32
115,2,10:31.0,D. Valentine misses 3-pt jump shot from 27 ft,,17,32
116,2,10:31.0,,Defensive rebound by K. Thompson,17,32
117,2,10:14.0,,K. Thompson misses 2-pt jump shot from 14 ft (block by N. Mirotić),17,32
118,2,10:12.0,Defensive rebound by N. Mirotić,,17,32
119,2,10:03.0,D. Valentine makes 2-pt layup from 1 ft (assist by R. Rondo),,19,32
120,2,10:03.0,,Golden State full timeout,19,32
121,2,10:03.0,I. Canaan enters the game for D. Valentine,,19,32
122,2,9:48.0,,K. Thompson misses 2-pt jump shot from 19 ft,19,32
123,2,9:48.0,Defensive rebound by C. Felício,,19,32
124,2,9:25.0,N. Mirotić makes 3-pt jump shot from 29 ft (assist by R. Rondo),,22,32
125,2,9:15.0,,Turnover by K. Thompson (bad pass; steal by R. Rondo),22,32
126,2,9:15.0,Personal foul by K. Thompson (drawn by R. Rondo),,22,32
127,2,9:04.0,N. Mirotić misses 3-pt jump shot from 24 ft,,22,32
128,2,9:03.0,,Defensive rebound by K. Thompson,22,32
129,2,8:52.0,,Personal foul by R. Rondo (drawn by D. Green),22,32
130,2,8:52.0,,I. Clark enters the game for K. Thompson,22,32
131,2,8:42.0,,A. Iguodala misses 3-pt jump shot from 27 ft,22,32
132,2,8:41.0,Defensive rebound by R. Rondo,,22,32
133,2,8:16.0,I. Canaan makes 2-pt layup from 2 ft (assist by R. Rondo),,24,32
134,2,7:57.0,,Personal foul by D. McDermott (drawn by D. Green),24,32
135,2,7:57.0,M. Carter-Williams enters the game for D. McDermott,,24,32
136,2,7:44.0,,D. Green makes 3-pt jump shot from 27 ft (assist by I. Clark),24,35
137,2,7:20.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,24,35
138,2,7:20.0,,Defensive rebound by D. Green,24,35
139,2,7:17.0,,Personal foul by N. Mirotić (drawn by D. Green),24,35
140,2,7:17.0,,D. Green makes free throw 1 of 2,24,36
141,2,7:17.0,,D. Green makes free throw 2 of 2,24,37
142,2,7:05.0,R. Rondo misses 2-pt jump shot from 18 ft,,24,37
143,2,7:03.0,Offensive rebound by C. Felício,,24,37
144,2,7:03.0,C. Felício makes 2-pt layup from 1 ft,,26,37
145,2,6:52.0,,D. Green makes 3-pt jump shot from 28 ft (assist by A. Iguodala),26,40
146,2,6:52.0,Chicago full timeout,,26,40
147,2,6:52.0,,K. Durant enters the game for D. Green,26,40
148,2,6:52.0,,P. McCaw enters the game for A. Iguodala,26,40
149,2,6:52.0,T. Gibson enters the game for R. Rondo,,26,40
150,2,6:52.0,R. Lopez enters the game for N. Mirotić,,26,40
151,2,6:52.0,J. Grant enters the game for C. Felício,,26,40
152,2,6:36.0,I. Canaan makes 2-pt layup from 2 ft,,28,40
153,2,6:21.0,,J. McAdoo misses 2-pt layup from 3 ft,28,40
154,2,6:20.0,Defensive rebound by I. Canaan,,28,40
155,2,6:07.0,R. Lopez misses 2-pt jump shot from 8 ft,,28,40
156,2,6:06.0,Offensive rebound by T. Gibson,,28,40
157,2,6:02.0,T. Gibson makes 2-pt dunk at rim,,30,40
158,2,5:44.0,,I. Clark makes 2-pt jump shot from 16 ft (assist by K. Durant),30,42
159,2,5:20.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Lopez),,32,42
160,2,5:07.0,,K. Durant makes 2-pt jump shot from 9 ft,32,44
161,2,4:54.0,I. Canaan misses 2-pt jump shot from 16 ft (block by I. Clark),,32,44
162,2,4:54.0,,Defensive rebound by K. Durant,32,44
163,2,4:42.0,,P. McCaw misses 3-pt jump shot from 26 ft,32,44
164,2,4:42.0,Defensive rebound by M. Carter-Williams,,32,44
165,2,4:35.0,Turnover by J. Grant (traveling),,32,44
166,2,4:35.0,,S. Curry enters the game for I. Clark,32,44
167,2,4:35.0,,J. McGee enters the game for J. McAdoo,32,44
168,2,4:23.0,,K. Durant makes 2-pt layup from 3 ft (assist by P. McCaw),32,46
169,2,4:09.0,Turnover by M. Carter-Williams (bad pass; steal by S. Livingston),,32,46
