,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:38.0,,R. Lopez misses 2-pt hook shot from 12 ft,0,0
1,1,11:38.0,,Offensive rebound by N. Mirotić,0,0
2,1,11:38.0,,N. Mirotić misses 2-pt layup from 2 ft,0,0
3,1,11:38.0,,Offensive rebound by N. Mirotić,0,0
4,1,11:38.0,,Shooting foul by R. Covington (drawn by N. Mirotić),0,0
5,1,11:38.0,,N. Mirotić makes free throw 1 of 2,0,1
6,1,11:38.0,,N. Mirotić misses free throw 2 of 2,0,1
7,1,11:37.0,Defensive rebound by T. McConnell,,0,1
8,1,11:21.0,R. Covington misses 2-pt layup from 2 ft,,0,1
9,1,11:20.0,,Defensive rebound by P. Zipser,0,1
10,1,11:08.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Butler),0,4
11,1,10:55.0,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),,2,4
12,1,10:41.0,,P. Zipser misses 2-pt jump shot from 4 ft,2,4
13,1,10:40.0,Defensive rebound by R. Holmes,,2,4
14,1,10:28.0,D. Šarić makes 2-pt hook shot from 4 ft,,4,4
15,1,10:04.0,,P. Zipser misses 2-pt layup from 3 ft (block by T. Luwawu-Cabarrot),4,4
16,1,10:04.0,,Offensive rebound by Team,4,4
17,1,9:58.0,,R. Rondo makes 2-pt jump shot from 8 ft (assist by N. Mirotić),4,6
18,1,9:45.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,4,6
19,1,9:44.0,,Defensive rebound by R. Rondo,4,6
20,1,9:38.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Butler),4,6
21,1,9:38.0,,J. Butler misses free throw 1 of 2,4,6
22,1,9:38.0,,Offensive rebound by Team,4,6
23,1,9:38.0,,J. Butler makes free throw 2 of 2,4,7
24,1,9:27.0,Turnover by T. McConnell (bad pass; steal by R. Rondo),,4,7
25,1,9:23.0,,J. Butler makes 2-pt layup from 3 ft (assist by R. Rondo),4,9
26,1,9:07.0,Turnover by T. McConnell (bad pass),,4,9
27,1,8:59.0,,Turnover by R. Rondo (bad pass),4,9
28,1,8:50.0,R. Holmes misses 3-pt jump shot from 24 ft,,4,9
29,1,8:49.0,,Defensive rebound by P. Zipser,4,9
30,1,8:42.0,,J. Butler makes 2-pt jump shot from 19 ft,4,11
31,1,8:26.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Butler),,4,11
32,1,8:22.0,,P. Zipser misses 2-pt jump shot from 4 ft (block by R. Covington),4,11
33,1,8:22.0,,Offensive rebound by Team,4,11
34,1,8:19.0,,R. Rondo makes 2-pt jump shot from 5 ft,4,13
35,1,8:06.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by R. Rondo),,4,13
36,1,7:58.0,,R. Lopez misses 2-pt jump shot from 20 ft,4,13
37,1,7:57.0,Defensive rebound by D. Šarić,,4,13
38,1,7:48.0,R. Holmes misses 2-pt hook shot from 6 ft,,4,13
39,1,7:47.0,,Defensive rebound by P. Zipser,4,13
40,1,7:38.0,,Turnover by R. Rondo (bad pass; steal by T. McConnell),4,13
41,1,7:33.0,R. Covington makes 2-pt dunk at rim (assist by T. McConnell),,6,13
42,1,7:19.0,,R. Rondo misses 2-pt jump shot from 3 ft,6,13
43,1,7:17.0,,Offensive rebound by N. Mirotić,6,13
44,1,7:17.0,,N. Mirotić misses 2-pt layup from 2 ft,6,13
45,1,7:16.0,Defensive rebound by T. McConnell,,6,13
46,1,7:16.0,Turnover by T. McConnell (lost ball; steal by R. Rondo),,6,13
47,1,7:10.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by R. Rondo),6,16
48,1,7:04.0,Philadelphia full timeout,,6,16
49,1,6:52.0,T. McConnell makes 2-pt jump shot from 14 ft,,8,16
50,1,6:34.0,,R. Lopez misses 2-pt hook shot from 5 ft,8,16
51,1,6:33.0,Defensive rebound by D. Šarić,,8,16
52,1,6:27.0,D. Šarić misses 3-pt jump shot from 24 ft,,8,16
53,1,6:26.0,,Defensive rebound by R. Rondo,8,16
54,1,6:16.0,,Turnover by R. Rondo (bad pass; steal by T. Luwawu-Cabarrot),8,16
55,1,6:12.0,Shooting foul by N. Mirotić (drawn by R. Covington),,8,16
56,1,6:12.0,R. Covington makes free throw 1 of 2,,9,16
57,1,6:12.0,G. Henderson enters the game for D. Šarić,,9,16
58,1,6:12.0,R. Covington makes free throw 2 of 2,,10,16
59,1,6:04.0,,N. Mirotić misses 3-pt jump shot from 26 ft,10,16
60,1,6:03.0,,Offensive rebound by R. Rondo,10,16
61,1,5:59.0,,R. Rondo misses 2-pt layup from 2 ft,10,16
62,1,5:58.0,Defensive rebound by R. Covington,,10,16
63,1,5:49.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by T. McConnell),,12,16
64,1,5:49.0,,Chicago full timeout,12,16
65,1,5:48.0,,D. Valentine enters the game for P. Zipser,12,16
66,1,5:22.0,,J. Butler makes 2-pt layup from 1 ft,12,18
67,1,5:00.0,G. Henderson makes 2-pt layup from 2 ft,,14,18
68,1,4:32.0,,J. Butler misses 2-pt jump shot from 13 ft,14,18
69,1,4:32.0,,Offensive rebound by Team,14,18
70,1,4:32.0,,Personal foul by R. Holmes (drawn by R. Lopez),14,18
71,1,4:32.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,14,18
72,1,4:08.0,,R. Rondo misses 2-pt layup at rim,14,18
73,1,4:08.0,,Offensive rebound by Team,14,18
74,1,4:08.0,,Turnover by Team (shot clock),14,18
75,1,3:50.0,R. Covington misses 3-pt jump shot from 24 ft,,14,18
76,1,3:49.0,,Defensive rebound by R. Rondo,14,18
77,1,3:43.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by R. Rondo),14,21
78,1,3:29.0,G. Henderson makes 2-pt jump shot from 13 ft,,16,21
79,1,3:19.0,,J. Butler makes 2-pt dunk at rim (assist by R. Rondo),16,23
80,1,3:06.0,R. Holmes misses 2-pt jump shot from 7 ft,,16,23
81,1,3:05.0,,Defensive rebound by N. Mirotić,16,23
82,1,2:42.0,,R. Lopez misses 2-pt jump shot from 10 ft,16,23
83,1,2:40.0,Defensive rebound by R. Covington,,16,23
84,1,2:34.0,R. Covington makes 2-pt layup from 3 ft,,18,23
85,1,2:12.0,,D. Valentine makes 3-pt jump shot from 26 ft (assist by N. Mirotić),18,26
86,1,1:56.0,T. McConnell misses 2-pt layup from 1 ft,,18,26
87,1,1:55.0,,Defensive rebound by D. Valentine,18,26
88,1,1:50.0,,D. Valentine misses 3-pt jump shot from 26 ft,18,26
89,1,1:48.0,Defensive rebound by R. Covington,,18,26
