,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:44.0,C. LeVert makes 2-pt jump shot from 19 ft,,2,0
1,1,11:21.0,,N. Vučević makes 2-pt jump shot from 11 ft,2,2
2,1,11:01.0,C. LeVert misses 3-pt jump shot from 26 ft,,2,2
3,1,11:00.0,,Defensive rebound by N. Vučević,2,2
4,1,10:49.0,,E. Payton misses 2-pt layup from 2 ft,2,2
5,1,10:48.0,Defensive rebound by R. Hollis-Jefferson,,2,2
6,1,10:41.0,J. Lin makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),,4,2
7,1,10:20.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by T. Ross),4,4
8,1,10:04.0,Turnover by B. Lopez (lost ball),,4,4
9,1,9:47.0,,N. Vučević misses 2-pt hook shot from 4 ft,4,4
10,1,9:47.0,,Offensive rebound by Team,4,4
11,1,9:39.0,,A. Gordon misses 2-pt jump shot from 18 ft,4,4
12,1,9:37.0,Defensive rebound by C. LeVert,,4,4
13,1,9:27.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,4,4
14,1,9:25.0,,Defensive rebound by E. Payton,4,4
15,1,9:17.0,,Turnover by E. Payton (bad pass),4,4
16,1,9:00.0,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by R. Foye),,6,4
17,1,8:40.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by A. Gordon),6,7
18,1,8:29.0,J. Lin makes 2-pt jump shot from 18 ft,,8,7
19,1,8:16.0,,N. Vučević misses 2-pt layup from 2 ft,8,7
20,1,8:15.0,Defensive rebound by B. Lopez,,8,7
21,1,8:10.0,,Violation by N. Vučević (kicked ball),8,7
22,1,8:04.0,J. Lin misses 2-pt layup from 2 ft (block by E. Payton),,8,7
23,1,8:02.0,,Defensive rebound by N. Vučević,8,7
24,1,7:56.0,,A. Gordon makes 2-pt dunk at rim (assist by T. Ross),8,9
25,1,7:46.0,B. Lopez misses 3-pt jump shot from 25 ft,,8,9
