,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,A. Tolliver misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,Offensive rebound by D. Collison,,0,0
2,1,11:34.0,D. Collison makes 2-pt layup from 2 ft,,2,0
3,1,11:15.0,,D. Lee misses 2-pt jump shot from 8 ft,2,0
4,1,11:14.0,Defensive rebound by A. Afflalo,,2,0
5,1,11:01.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by A. Afflalo),,5,0
6,1,10:48.0,,Turnover by D. Lee (illegal screen),5,0
7,1,10:32.0,K. Koufos makes 2-pt hook shot from 6 ft,,7,0
8,1,10:20.0,,Shooting foul by K. Koufos (drawn by D. Dedmon),7,0
9,1,10:20.0,,D. Dedmon makes free throw 1 of 2,7,1
10,1,10:20.0,,D. Dedmon makes free throw 2 of 2,7,2
11,1,10:07.0,K. Koufos misses 2-pt jump shot from 7 ft,,7,2
12,1,10:06.0,,Defensive rebound by T. Parker,7,2
13,1,9:55.0,,J. Simmons misses 2-pt jump shot from 15 ft,7,2
14,1,9:53.0,Defensive rebound by T. Evans,,7,2
15,1,9:48.0,A. Tolliver misses 2-pt layup from 2 ft (block by J. Simmons),,7,2
16,1,9:42.0,Offensive rebound by T. Evans,,7,2
17,1,9:42.0,T. Evans makes 2-pt layup from 1 ft,,9,2
18,1,9:23.0,,T. Parker makes 2-pt layup from 1 ft (assist by J. Simmons),9,4
19,1,9:13.0,K. Koufos makes 2-pt dunk at rim (assist by D. Collison),,11,4
20,1,9:10.0,,San Antonio full timeout,11,4
21,1,9:00.0,,D. Green makes 2-pt layup from 3 ft (assist by J. Simmons),11,6
22,1,8:37.0,K. Koufos makes 2-pt dunk at rim (assist by A. Tolliver),,13,6
23,1,8:15.0,,J. Simmons misses 2-pt jump shot from 18 ft,13,6
24,1,8:13.0,Defensive rebound by K. Koufos,,13,6
25,1,7:59.0,Shooting foul by D. Dedmon (drawn by T. Evans),,13,6
26,1,7:59.0,T. Evans makes free throw 1 of 3,,14,6
27,1,7:59.0,T. Evans makes free throw 2 of 3,,15,6
28,1,7:59.0,T. Evans makes free throw 3 of 3,,16,6
29,1,7:48.0,,Turnover by D. Dedmon (offensive goaltending),16,6
30,1,7:41.0,D. Collison misses 2-pt jump shot from 16 ft,,16,6
31,1,7:40.0,,Defensive rebound by D. Dedmon,16,6
32,1,7:24.0,,D. Green misses 2-pt jump shot from 12 ft,16,6
33,1,7:23.0,Defensive rebound by A. Tolliver,,16,6
34,1,7:16.0,T. Evans makes 2-pt layup from 1 ft,,18,6
35,1,7:07.0,,D. Dedmon misses 2-pt dunk at rim,18,6
36,1,7:05.0,Defensive rebound by D. Collison,,18,6
37,1,6:58.0,D. Collison misses 3-pt jump shot from 24 ft,,18,6
