,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
0,1,11:41.0,T. Gibson makes 2-pt hook shot from 5 ft,,2,0
1,1,11:22.0,,J. Randle misses 2-pt layup from 1 ft,2,0
2,1,11:21.0,,Offensive rebound by T. Mozgov,2,0
3,1,11:21.0,,T. Mozgov makes 2-pt dunk at rim,2,2
4,1,11:21.0,,Violation by Team (jump ball),2,2
5,1,11:05.0,R. Rondo makes 2-pt jump shot from 17 ft (assist by J. Butler),,4,2
6,1,10:50.0,,N. Young misses 2-pt jump shot from 11 ft,4,2
7,1,10:49.0,Defensive rebound by N. Mirotić,,4,2
8,1,10:37.0,R. Lopez misses 2-pt jump shot from 19 ft,,4,2
9,1,10:36.0,,Defensive rebound by L. Deng,4,2
10,1,10:30.0,,L. Deng misses 2-pt layup from 1 ft,4,2
11,1,10:27.0,Defensive rebound by R. Lopez,,4,2
12,1,10:22.0,T. Gibson misses 2-pt hook shot at rim,,4,2
13,1,10:21.0,,Defensive rebound by J. Randle,4,2
14,1,10:12.0,,J. Randle makes 2-pt jump shot from 19 ft (assist by D. Russell),4,4
15,1,9:53.0,T. Gibson misses 2-pt jump shot from 16 ft,,4,4
16,1,9:52.0,Offensive rebound by R. Rondo,,4,4
17,1,9:49.0,Turnover by N. Mirotić (bad pass; steal by T. Mozgov),,4,4
18,1,9:43.0,,D. Russell makes 3-pt jump shot from 25 ft,4,7
19,1,9:22.0,J. Butler makes 2-pt layup at rim,,6,7
20,1,8:55.0,,T. Mozgov misses 2-pt layup from 1 ft (block by R. Lopez),6,7
21,1,8:55.0,Defensive rebound by R. Lopez,,6,7
22,1,8:38.0,T. Gibson makes 2-pt dunk at rim (assist by R. Lopez),,8,7
23,1,8:22.0,,D. Russell misses 3-pt jump shot from 25 ft,8,7
24,1,8:22.0,Defensive rebound by N. Mirotić,,8,7
