,QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
0,1,11:42.0,,K. Bazemore misses 2-pt layup from 4 ft,0,0
1,1,11:40.0,,Offensive rebound by D. Howard,0,0
2,1,11:40.0,,D. Howard makes 2-pt layup from 1 ft,0,2
3,1,11:20.0,T. Young misses 2-pt layup from 1 ft,,0,2
4,1,11:19.0,,Defensive rebound by P. Millsap,0,2
5,1,11:06.0,,Shooting foul by T. Young (drawn by P. Millsap),0,2
6,1,11:06.0,,P. Millsap misses free throw 1 of 2,0,2
7,1,11:06.0,,Offensive rebound by Team,0,2
8,1,11:06.0,,P. Millsap misses free throw 2 of 2,0,2
9,1,11:04.0,Defensive rebound by M. Turner,,0,2
10,1,10:54.0,C. Miles misses 3-pt jump shot from 24 ft,,0,2
11,1,10:53.0,,Defensive rebound by P. Millsap,0,2
12,1,10:46.0,,D. Howard makes 2-pt layup from 1 ft (assist by D. Schröder),0,4
13,1,10:46.0,,Shooting foul by M. Turner (drawn by D. Howard),0,4
14,1,10:46.0,,D. Howard makes free throw 1 of 1,0,5
15,1,10:31.0,C. Miles misses 3-pt jump shot from 24 ft,,0,5
16,1,10:30.0,,Defensive rebound by T. Sefolosha,0,5
17,1,10:15.0,,K. Bazemore makes 2-pt jump shot from 21 ft,0,7
18,1,9:59.0,Turnover by P. George (bad pass),,0,7
19,1,9:48.0,,D. Schröder makes 2-pt jump shot from 16 ft,0,9
20,1,9:38.0,P. George makes 3-pt jump shot from 24 ft (assist by J. Teague),,3,9
21,1,9:19.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,3,9
22,1,9:17.0,Defensive rebound by T. Young,,3,9
23,1,9:10.0,Turnover by J. Teague (bad pass; steal by T. Sefolosha),,3,9
24,1,9:05.0,,T. Sefolosha makes 2-pt layup at rim,3,11
25,1,8:46.0,Personal foul by P. Millsap (drawn by P. George),,3,11
26,1,8:38.0,P. George makes 2-pt jump shot from 19 ft (assist by T. Young),,5,11
27,1,8:21.0,,D. Schröder misses 2-pt jump shot from 20 ft,5,11
28,1,8:20.0,Defensive rebound by C. Miles,,5,11
29,1,8:08.0,P. George makes 3-pt jump shot from 24 ft (assist by C. Miles),,8,11
30,1,7:46.0,,Turnover by D. Howard (3 sec),8,11
31,1,7:27.0,T. Young misses 2-pt jump shot from 6 ft,,8,11
32,1,7:27.0,Offensive rebound by M. Turner,,8,11
33,1,7:26.0,M. Turner misses 2-pt layup from 1 ft,,8,11
34,1,7:25.0,Offensive rebound by T. Young,,8,11
35,1,7:25.0,T. Young makes 2-pt layup at rim,,10,11
36,1,7:13.0,,P. Millsap makes 2-pt jump shot from 18 ft,10,13
37,1,6:51.0,M. Turner misses 2-pt jump shot from 21 ft,,10,13
38,1,6:49.0,,Defensive rebound by K. Bazemore,10,13
39,1,6:30.0,,K. Bazemore misses 3-pt jump shot from 26 ft,10,13
40,1,6:28.0,Defensive rebound by C. Miles,,10,13
41,1,6:23.0,Turnover by P. George (lost ball; steal by D. Schröder),,10,13
42,1,6:17.0,,T. Sefolosha misses 2-pt layup from 1 ft (block by M. Turner),10,13
43,1,6:14.0,Defensive rebound by J. Teague,,10,13
44,1,6:08.0,T. Young misses 2-pt jump shot from 12 ft,,10,13
45,1,6:06.0,,Defensive rebound by D. Howard,10,13
46,1,5:59.0,,Atlanta full timeout,10,13
47,1,5:59.0,,T. Hardaway enters the game for K. Bazemore,10,13
48,1,5:59.0,M. Ellis enters the game for C. Miles,,10,13
49,1,5:59.0,K. Séraphin enters the game for T. Young,,10,13
50,1,5:55.0,,Turnover by T. Hardaway (bad pass; steal by P. George),10,13
51,1,5:36.0,Turnover by M. Ellis (lost ball; steal by T. Hardaway),,10,13
52,1,5:31.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by D. Howard),10,15
53,1,5:18.0,P. George makes 2-pt jump shot from 21 ft,,12,15
54,1,5:07.0,,T. Hardaway makes 3-pt jump shot from 24 ft (assist by D. Schröder),12,18
55,1,4:51.0,Personal foul by D. Howard (drawn by M. Turner),,12,18
56,1,4:39.0,P. George misses 2-pt jump shot from 20 ft,,12,18
57,1,4:36.0,,Defensive rebound by Team,12,18
58,1,4:21.0,,P. Millsap makes 2-pt jump shot from 8 ft,12,20
