,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:39.0,T. Warren misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,Offensive rebound by E. Bledsoe,,0,0
2,1,11:31.0,Turnover by D. Booker (bad pass; steal by N. Jokić),,0,0
3,1,11:26.0,,K. Faried misses 2-pt layup from 3 ft,0,0
4,1,11:25.0,,Offensive rebound by N. Jokić,0,0
5,1,11:25.0,,N. Jokić makes 2-pt layup from 1 ft,0,2
6,1,10:59.0,M. Chriss makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,2,2
7,1,10:48.0,,G. Harris misses 2-pt jump shot from 3 ft,2,2
8,1,10:47.0,,Offensive rebound by Team,2,2
9,1,10:32.0,,N. Jokić makes 2-pt jump shot from 13 ft (assist by D. Gallinari),2,4
10,1,10:16.0,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Chandler),,5,4
11,1,10:06.0,,G. Harris misses 2-pt jump shot from 19 ft,5,4
12,1,10:05.0,,Offensive rebound by N. Jokić,5,4
13,1,10:04.0,,Shooting foul by M. Chriss (drawn by N. Jokić),5,4
14,1,10:04.0,,N. Jokić makes free throw 1 of 2,5,5
15,1,10:04.0,,N. Jokić makes free throw 2 of 2,5,6
16,1,9:49.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,5,6
17,1,9:48.0,,Defensive rebound by K. Faried,5,6
18,1,9:33.0,,D. Gallinari makes 2-pt layup from 1 ft,5,8
19,1,9:13.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by D. Booker),,8,8
20,1,9:02.0,,Personal foul by M. Chriss (drawn by N. Jokić),8,8
21,1,9:02.0,A. Len enters the game for M. Chriss,,8,8
22,1,8:53.0,,J. Nelson makes 3-pt jump shot from 25 ft (assist by G. Harris),8,11
23,1,8:41.0,Shooting foul by G. Harris (drawn by D. Booker),,8,11
24,1,8:41.0,D. Booker makes free throw 1 of 2,,9,11
25,1,8:41.0,D. Booker makes free throw 2 of 2,,10,11
26,1,8:25.0,,K. Faried makes 2-pt layup from 2 ft (assist by N. Jokić),10,13
27,1,8:20.0,T. Warren misses 2-pt jump shot from 12 ft,,10,13
28,1,8:19.0,Offensive rebound by A. Len,,10,13
29,1,8:18.0,A. Len makes 2-pt layup from 2 ft,,12,13
30,1,7:44.0,,D. Gallinari misses 2-pt layup from 2 ft,12,13
31,1,7:41.0,,Offensive rebound by K. Faried,12,13
32,1,7:41.0,,K. Faried makes 2-pt layup from 1 ft,12,15
33,1,7:40.0,Shooting foul by J. Nelson (drawn by E. Bledsoe),,12,15
34,1,7:40.0,E. Bledsoe makes free throw 1 of 3,,13,15
35,1,7:40.0,E. Bledsoe makes free throw 2 of 3,,14,15
36,1,7:40.0,P. Tucker enters the game for T. Warren,,14,15
37,1,7:40.0,E. Bledsoe makes free throw 3 of 3,,15,15
38,1,7:35.0,,Personal foul by A. Len (drawn by N. Jokić),15,15
39,1,7:21.0,,J. Nelson misses 3-pt jump shot from 25 ft,15,15
40,1,7:20.0,,Offensive rebound by K. Faried,15,15
41,1,7:18.0,,Personal foul by E. Bledsoe (drawn by J. Nelson),15,15
42,1,7:13.0,,Turnover by G. Harris (bad pass),15,15
43,1,7:07.0,D. Booker misses 3-pt jump shot from 25 ft,,15,15
44,1,7:05.0,,Defensive rebound by D. Gallinari,15,15
45,1,6:53.0,,N. Jokić misses 2-pt hook shot from 4 ft,15,15
46,1,6:52.0,,Offensive rebound by K. Faried,15,15
47,1,6:51.0,,Shooting foul by E. Bledsoe (drawn by K. Faried),15,15
48,1,6:51.0,,K. Faried makes free throw 1 of 2,15,16
49,1,6:51.0,B. Knight enters the game for E. Bledsoe,,15,16
50,1,6:51.0,,K. Faried makes free throw 2 of 2,15,17
51,1,6:42.0,Turnover by T. Chandler (traveling),,15,17
52,1,6:34.0,,Personal foul by P. Tucker (drawn by D. Gallinari),15,17
53,1,6:34.0,,D. Gallinari misses free throw 1 of 2,15,17
54,1,6:34.0,,Offensive rebound by Team,15,17
55,1,6:34.0,,D. Gallinari makes free throw 2 of 2,15,18
56,1,6:20.0,T. Chandler makes 2-pt layup from 2 ft (assist by D. Booker),,17,18
57,1,6:02.0,,D. Gallinari makes 3-pt jump shot from 28 ft (assist by J. Nelson),17,21
58,1,5:39.0,D. Booker makes 2-pt jump shot from 16 ft (assist by A. Len),,19,21
59,1,5:29.0,,G. Harris makes 3-pt jump shot from 27 ft (assist by N. Jokić),19,24
60,1,5:29.0,Phoenix full timeout,,19,24
61,1,5:13.0,P. Tucker misses 2-pt jump shot from 15 ft,,19,24
62,1,5:12.0,,Defensive rebound by N. Jokić,19,24
63,1,4:52.0,,Turnover by J. Nelson (lost ball),19,24
64,1,4:32.0,A. Len misses 2-pt jump shot from 18 ft,,19,24
65,1,4:32.0,,Defensive rebound by N. Jokić,19,24
66,1,4:24.0,,K. Faried misses 2-pt layup from 1 ft,19,24
67,1,4:22.0,,Offensive rebound by N. Jokić,19,24
68,1,4:22.0,,N. Jokić misses 2-pt layup from 1 ft,19,24
69,1,4:21.0,Defensive rebound by T. Chandler,,19,24
70,1,4:15.0,A. Len misses 2-pt dunk at rim (block by D. Gallinari),,19,24
71,1,4:13.0,,Defensive rebound by J. Nelson,19,24
72,1,4:09.0,,D. Gallinari misses 3-pt jump shot from 25 ft,19,24
73,1,4:06.0,Defensive rebound by T. Chandler,,19,24
74,1,3:52.0,A. Len makes 2-pt jump shot from 18 ft (assist by B. Knight),,21,24
