,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:49.0,,Shooting foul by R. Holmes (drawn by C. Zeller),0,0
1,1,11:49.0,,C. Zeller misses free throw 1 of 2,0,0
2,1,11:49.0,,Offensive rebound by Team,0,0
3,1,11:49.0,,C. Zeller misses free throw 2 of 2,0,0
4,1,11:47.0,Defensive rebound by R. Covington,,0,0
5,1,11:36.0,D. Šarić misses 2-pt layup from 1 ft,,0,0
6,1,11:35.0,,Defensive rebound by M. Kidd-Gilchrist,0,0
7,1,11:16.0,,C. Zeller makes 2-pt layup at rim,0,2
8,1,10:58.0,R. Covington makes 3-pt jump shot from 25 ft (assist by G. Henderson),,3,2
9,1,10:35.0,,K. Walker makes 2-pt layup at rim,3,4
10,1,10:29.0,G. Henderson makes 2-pt jump shot from 17 ft (assist by S. Rodríguez),,5,4
11,1,10:20.0,,Turnover by K. Walker (lost ball; steal by R. Covington),5,4
12,1,10:14.0,G. Henderson makes 2-pt layup from 1 ft (assist by S. Rodríguez),,7,4
13,1,10:00.0,,Personal foul by R. Holmes (drawn by M. Kidd-Gilchrist),7,4
14,1,10:00.0,J. Okafor enters the game for R. Holmes,,7,4
15,1,9:53.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft (block by S. Rodríguez),7,4
16,1,9:51.0,Defensive rebound by S. Rodríguez,,7,4
17,1,9:38.0,D. Šarić misses 2-pt hook shot from 5 ft,,7,4
18,1,9:37.0,,Defensive rebound by K. Walker,7,4
19,1,9:30.0,,K. Walker misses 3-pt jump shot from 25 ft,7,4
20,1,9:29.0,,Offensive rebound by M. Kidd-Gilchrist,7,4
21,1,9:27.0,,Shooting foul by D. Šarić (drawn by C. Zeller),7,4
22,1,9:27.0,,C. Zeller makes free throw 1 of 2,7,5
23,1,9:27.0,,C. Zeller makes free throw 2 of 2,7,6
24,1,9:05.0,R. Covington misses 3-pt jump shot from 25 ft,,7,6
25,1,9:03.0,,Defensive rebound by N. Batum,7,6
26,1,8:53.0,,C. Zeller misses 2-pt jump shot from 17 ft,7,6
27,1,8:52.0,Defensive rebound by S. Rodríguez,,7,6
28,1,8:45.0,S. Rodríguez misses 2-pt jump shot from 20 ft,,7,6
29,1,8:44.0,,Defensive rebound by M. Kidd-Gilchrist,7,6
30,1,8:33.0,,Shooting foul by J. Okafor (drawn by M. Kidd-Gilchrist),7,6
31,1,8:33.0,,M. Kidd-Gilchrist makes free throw 1 of 2,7,7
32,1,8:33.0,,M. Kidd-Gilchrist misses free throw 2 of 2,7,7
33,1,8:33.0,N. Stauskas enters the game for R. Covington,,7,7
34,1,8:32.0,Defensive rebound by J. Okafor,,7,7
35,1,8:15.0,S. Rodríguez misses 3-pt jump shot from 24 ft,,7,7
36,1,8:14.0,,Defensive rebound by M. Kidd-Gilchrist,7,7
37,1,8:03.0,,Shooting foul by J. Okafor (drawn by K. Walker),7,7
38,1,8:03.0,,K. Walker makes free throw 1 of 2,7,8
39,1,8:03.0,E. İlyasova enters the game for J. Okafor,,7,8
40,1,8:03.0,,K. Walker makes free throw 2 of 2,7,9
41,1,7:45.0,Turnover by S. Rodríguez (bad pass; steal by N. Batum),,7,9
42,1,7:38.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),7,12
43,1,7:23.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by S. Rodríguez),,10,12
44,1,7:09.0,,M. Williams misses 3-pt jump shot from 26 ft,10,12
45,1,7:09.0,Defensive rebound by Team,,10,12
46,1,7:09.0,,Loose ball foul by C. Zeller (drawn by D. Šarić),10,12
47,1,6:57.0,S. Rodríguez misses 3-pt jump shot from 26 ft,,10,12
48,1,6:55.0,,Defensive rebound by M. Kidd-Gilchrist,10,12
49,1,6:45.0,,N. Batum misses 2-pt jump shot from 9 ft,10,12
50,1,6:44.0,,Offensive rebound by N. Batum,10,12
51,1,6:37.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),10,15
52,1,6:25.0,G. Henderson makes 2-pt layup at rim (assist by D. Šarić),,12,15
53,1,6:03.0,,M. Williams misses 2-pt jump shot from 3 ft,12,15
54,1,6:02.0,Defensive rebound by G. Henderson,,12,15
55,1,5:50.0,E. İlyasova misses 3-pt jump shot from 24 ft,,12,15
56,1,5:50.0,,Defensive rebound by Team,12,15
57,1,5:50.0,,Charlotte full timeout,12,15
58,1,5:50.0,J. Okafor enters the game for D. Šarić,,12,15
59,1,5:50.0,T. McConnell enters the game for G. Henderson,,12,15
60,1,5:50.0,H. Thompson enters the game for S. Rodríguez,,12,15
61,1,5:36.0,,K. Walker misses 2-pt jump shot from 10 ft,12,15
62,1,5:35.0,Defensive rebound by H. Thompson,,12,15
63,1,5:19.0,H. Thompson misses 3-pt jump shot from 23 ft,,12,15
64,1,5:18.0,Offensive rebound by J. Okafor,,12,15
65,1,5:12.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by T. McConnell),,15,15
66,1,4:54.0,,K. Walker makes 2-pt jump shot from 20 ft,15,17
67,1,4:45.0,Turnover by T. McConnell (bad pass),,15,17
68,1,4:45.0,,F. Kaminsky enters the game for M. Kidd-Gilchrist,15,17
69,1,4:45.0,,M. Belinelli enters the game for M. Williams,15,17
70,1,4:32.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by K. Walker),15,20
71,1,4:09.0,J. Okafor makes 2-pt layup from 1 ft,,17,20
72,1,3:56.0,,Turnover by K. Walker (bad pass),17,20
73,1,3:44.0,N. Stauskas misses 2-pt layup from 1 ft,,17,20
74,1,3:43.0,,Defensive rebound by F. Kaminsky,17,20
75,1,3:32.0,,M. Belinelli misses 3-pt jump shot from 23 ft,17,20
76,1,3:30.0,,Offensive rebound by N. Batum,17,20
77,1,3:26.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,17,20
78,1,3:25.0,Defensive rebound by J. Okafor,,17,20
79,1,3:17.0,T. McConnell misses 3-pt jump shot from 23 ft,,17,20
80,1,3:16.0,,Defensive rebound by M. Belinelli,17,20
81,1,3:07.0,,M. Belinelli misses 2-pt jump shot from 19 ft,17,20
82,1,3:06.0,Defensive rebound by J. Okafor,,17,20
83,1,3:00.0,Philadelphia full timeout,,17,20
84,1,3:00.0,R. Covington enters the game for E. İlyasova,,17,20
85,1,3:00.0,,S. Hawes enters the game for C. Zeller,17,20
86,1,2:52.0,Turnover by R. Covington (bad pass; steal by F. Kaminsky),,17,20
87,1,2:47.0,,K. Walker makes 2-pt layup from 1 ft (assist by M. Belinelli),17,22
88,1,2:29.0,J. Okafor misses 2-pt jump shot from 17 ft,,17,22
89,1,2:28.0,,Defensive rebound by K. Walker,17,22
90,1,2:14.0,,N. Batum misses 2-pt jump shot from 15 ft,17,22
91,1,2:11.0,Defensive rebound by R. Covington,,17,22
92,1,2:05.0,N. Stauskas makes 2-pt layup from 1 ft,,19,22
93,1,1:50.0,,M. Belinelli misses 3-pt jump shot from 24 ft,19,22
94,1,1:49.0,Defensive rebound by J. Okafor,,19,22
95,1,1:30.0,H. Thompson makes 2-pt layup at rim (assist by T. McConnell),,21,22
96,1,1:22.0,,Turnover by K. Walker (bad pass),21,22
97,1,1:22.0,,R. Sessions enters the game for K. Walker,21,22
98,1,1:22.0,D. Šarić enters the game for J. Okafor,,21,22
99,1,1:07.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. McConnell),,24,22
100,1,0:53.0,,Turnover by S. Hawes (lost ball; steal by H. Thompson),24,22
101,1,0:48.0,H. Thompson misses 2-pt layup from 1 ft,,24,22
102,1,0:46.0,,Defensive rebound by N. Batum,24,22
103,1,0:44.0,,Turnover by N. Batum (bad pass; steal by T. McConnell),24,22
104,1,0:39.0,R. Covington misses 2-pt dunk at rim,,24,22
105,1,0:36.0,,Defensive rebound by R. Sessions,24,22
106,1,0:32.0,,Personal foul by H. Thompson (drawn by S. Hawes),24,22
107,1,0:32.0,,S. Hawes makes free throw 1 of 2,24,23
108,1,0:32.0,,S. Hawes makes free throw 2 of 2,24,24
109,1,0:21.0,N. Stauskas misses 3-pt jump shot from 25 ft,,24,24
110,1,0:20.0,Offensive rebound by D. Šarić,,24,24
111,1,0:20.0,D. Šarić makes 2-pt layup at rim,,26,24
112,1,0:04.0,,R. Sessions makes 2-pt layup from 1 ft,26,26
113,1,0:00.0,T. McConnell misses 3-pt jump shot from 30 ft,,26,26
114,1,0:00.0,Offensive rebound by Team,,26,26
115,2,11:41.0,D. Šarić misses 2-pt jump shot from 22 ft,,26,26
116,2,11:39.0,Offensive rebound by R. Covington,,26,26
117,2,11:31.0,Personal block foul by M. Kidd-Gilchrist (drawn by D. Šarić),,26,26
118,2,11:16.0,Shooting foul by F. Kaminsky (drawn by R. Holmes),,26,26
119,2,11:16.0,R. Holmes makes free throw 1 of 2,,27,26
120,2,11:16.0,R. Holmes makes free throw 2 of 2,,28,26
121,2,11:01.0,,F. Kaminsky makes 2-pt layup at rim (assist by R. Sessions),28,28
122,2,10:50.0,R. Holmes makes 2-pt jump shot from 19 ft (assist by S. Rodríguez),,30,28
123,2,10:25.0,,F. Kaminsky misses 2-pt layup from 3 ft,30,28
124,2,10:24.0,Defensive rebound by R. Holmes,,30,28
125,2,10:04.0,D. Šarić makes 2-pt layup from 2 ft (assist by R. Holmes),,32,28
126,2,10:04.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Šarić),,32,28
127,2,10:04.0,D. Šarić makes free throw 1 of 1,,33,28
128,2,9:53.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by R. Sessions),33,30
129,2,9:42.0,R. Covington misses 3-pt jump shot from 25 ft,,33,30
130,2,9:41.0,Offensive rebound by S. Rodríguez,,33,30
131,2,9:31.0,Offensive foul by R. Holmes (drawn by R. Sessions),,33,30
132,2,9:31.0,Turnover by R. Holmes (offensive foul),,33,30
133,2,9:31.0,E. İlyasova enters the game for R. Covington,,33,30
134,2,9:31.0,N. Stauskas enters the game for R. Holmes,,33,30
135,2,9:21.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Sessions),33,33
136,2,9:08.0,G. Henderson makes 2-pt jump shot from 18 ft (assist by E. İlyasova),,35,33
