,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:40.0,M. Gasol misses 2-pt jump shot from 14 ft,,0,0
1,1,11:40.0,,Defensive rebound by S. Curry,0,0
2,1,11:20.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,0,0
3,1,11:20.0,Defensive rebound by M. Conley,,0,0
4,1,11:00.0,J. Green misses 2-pt jump shot from 4 ft (block by A. Bogut),,0,0
5,1,10:58.0,,Defensive rebound by A. Bogut,0,0
6,1,10:48.0,,Personal foul by J. Ennis (drawn by D. Finney-Smith),0,0
7,1,10:40.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
8,1,10:40.0,,Offensive rebound by A. Bogut,0,0
9,1,10:33.0,,W. Matthews misses 2-pt jump shot from 18 ft,0,0
10,1,10:33.0,Defensive rebound by J. Green,,0,0
11,1,10:21.0,C. Parsons misses 2-pt jump shot from 18 ft,,0,0
12,1,10:20.0,,Defensive rebound by A. Bogut,0,0
13,1,9:58.0,,A. Bogut makes 2-pt hook shot from 11 ft,0,2
14,1,9:43.0,M. Conley misses 2-pt jump shot from 18 ft,,0,2
15,1,9:42.0,,Defensive rebound by W. Matthews,0,2
16,1,9:33.0,,W. Matthews makes 2-pt layup at rim (assist by A. Bogut),0,4
17,1,9:12.0,M. Gasol misses 2-pt jump shot from 20 ft,,0,4
18,1,9:12.0,,Defensive rebound by H. Barnes,0,4
19,1,9:04.0,,S. Curry misses 2-pt jump shot from 17 ft,0,4
20,1,9:02.0,Defensive rebound by M. Gasol,,0,4
21,1,8:38.0,C. Parsons makes 3-pt jump shot from 26 ft,,3,4
22,1,8:16.0,,H. Barnes makes 2-pt jump shot from 16 ft,3,6
23,1,7:58.0,M. Gasol misses 2-pt jump shot from 16 ft,,3,6
24,1,7:57.0,,Defensive rebound by S. Curry,3,6
25,1,7:38.0,,H. Barnes misses 2-pt layup from 3 ft,3,6
26,1,7:36.0,Defensive rebound by J. Green,,3,6
27,1,7:24.0,Def 3 sec tech foul by H. Barnes,,3,6
28,1,7:24.0,M. Conley makes technical free throw,,4,6
29,1,7:24.0,,D. Powell enters the game for A. Bogut,4,6
30,1,7:13.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by M. Gasol),,7,6
31,1,6:51.0,,W. Matthews makes 3-pt jump shot from 27 ft,7,9
32,1,6:31.0,C. Parsons makes 2-pt jump shot from 13 ft,,9,9
33,1,6:16.0,,S. Curry misses 2-pt jump shot from 5 ft (block by M. Conley),9,9
