,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHARLOTTE_ACTION,GOLDEN STATE_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,0
1,1,11:39.0,,Defensive rebound by N. Batum,0,0
2,1,11:26.0,,M. Williams misses 2-pt layup from 1 ft (block by D. Green),0,0
3,1,11:25.0,,Offensive rebound by M. Kidd-Gilchrist,0,0
4,1,11:24.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim,0,2
5,1,11:24.0,,Shooting foul by K. Durant (drawn by M. Kidd-Gilchrist),0,2
6,1,11:24.0,,M. Kidd-Gilchrist makes free throw 1 of 1,0,3
7,1,11:05.0,K. Durant makes 2-pt dunk from 1 ft,,2,3
8,1,10:39.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 9 ft,2,3
9,1,10:38.0,Defensive rebound by D. Green,,2,3
10,1,10:28.0,Personal foul by M. Williams (drawn by K. Durant),,2,3
11,1,10:18.0,S. Curry misses 2-pt jump shot from 6 ft,,2,3
12,1,10:17.0,,Defensive rebound by N. Batum,2,3
13,1,10:11.0,,Turnover by R. Hibbert (lost ball),2,3
14,1,10:02.0,S. Curry makes 2-pt jump shot from 16 ft,,4,3
15,1,9:51.0,,K. Walker misses 3-pt jump shot from 24 ft,4,3
16,1,9:49.0,Defensive rebound by K. Thompson,,4,3
17,1,9:37.0,Turnover by K. Durant (bad pass),,4,3
18,1,9:29.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,4,3
19,1,9:28.0,Defensive rebound by Z. Pachulia,,4,3
20,1,9:16.0,K. Thompson misses 2-pt jump shot from 20 ft,,4,3
21,1,9:15.0,,Defensive rebound by M. Kidd-Gilchrist,4,3
22,1,8:54.0,,Turnover by R. Hibbert (lost ball; steal by K. Thompson),4,3
23,1,8:44.0,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),,6,3
24,1,8:21.0,,M. Williams misses 3-pt jump shot from 26 ft,6,3
25,1,8:19.0,,Offensive rebound by M. Kidd-Gilchrist,6,3
26,1,8:14.0,,N. Batum misses 3-pt jump shot from 25 ft,6,3
27,1,8:13.0,Defensive rebound by S. Curry,,6,3
28,1,8:07.0,S. Curry makes 3-pt jump shot from 24 ft,,9,3
29,1,8:00.0,,Charlotte full timeout,9,3
30,1,7:53.0,,N. Batum misses 2-pt jump shot from 15 ft,9,3
31,1,7:51.0,Defensive rebound by K. Durant,,9,3
32,1,7:43.0,Shooting foul by R. Hibbert (drawn by Z. Pachulia),,9,3
33,1,7:43.0,Z. Pachulia makes free throw 1 of 2,,10,3
34,1,7:43.0,Z. Pachulia makes free throw 2 of 2,,11,3
35,1,7:23.0,,R. Hibbert makes 2-pt hook shot from 6 ft (assist by N. Batum),11,5
36,1,7:11.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,14,5
37,1,7:00.0,,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),14,7
38,1,7:00.0,,Shooting foul by Z. Pachulia (drawn by M. Williams),14,7
39,1,7:00.0,,M. Williams misses free throw 1 of 1,14,7
40,1,6:59.0,Defensive rebound by Z. Pachulia,,14,7
41,1,6:51.0,Turnover by K. Durant (bad pass),,14,7
42,1,6:39.0,,K. Walker makes 2-pt layup from 1 ft,14,9
43,1,6:33.0,Turnover by K. Thompson (traveling),,14,9
44,1,6:22.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by Z. Pachulia),14,9
45,1,6:22.0,,Offensive rebound by Team,14,9
46,1,6:16.0,,Shooting foul by K. Thompson (drawn by N. Batum),14,9
47,1,6:16.0,,N. Batum makes free throw 1 of 2,14,10
48,1,6:16.0,,N. Batum makes free throw 2 of 2,14,11
49,1,5:56.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,17,11
50,1,5:39.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),17,13
51,1,5:29.0,S. Curry makes 2-pt layup from 2 ft,,19,13
52,1,5:13.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),19,16
53,1,5:02.0,S. Curry makes 3-pt jump shot from 27 ft,,22,16
54,1,4:43.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),22,18
55,1,4:31.0,K. Durant misses 2-pt jump shot from 12 ft,,22,18
56,1,4:29.0,,Defensive rebound by N. Batum,22,18
57,1,4:10.0,,K. Walker misses 2-pt jump shot from 17 ft,22,18
58,1,4:09.0,Defensive rebound by Z. Pachulia,,22,18
59,1,4:03.0,D. Green misses 2-pt layup from 1 ft,,22,18
60,1,3:59.0,,Defensive rebound by R. Hibbert,22,18
61,1,3:59.0,,Shooting foul by S. Curry (drawn by K. Walker),22,18
62,1,3:59.0,,K. Walker makes free throw 1 of 2,22,19
63,1,3:59.0,Golden State full timeout,,22,19
64,1,3:59.0,,S. Hawes enters the game for M. Williams,22,19
65,1,3:59.0,,M. Belinelli enters the game for R. Hibbert,22,19
66,1,3:59.0,,F. Kaminsky enters the game for N. Batum,22,19
67,1,3:59.0,A. Iguodala enters the game for D. Green,,22,19
68,1,3:59.0,J. McAdoo enters the game for Z. Pachulia,,22,19
69,1,3:59.0,,K. Walker makes free throw 2 of 2,22,20
70,1,3:48.0,K. Durant misses 2-pt jump shot from 18 ft,,22,20
71,1,3:47.0,,Defensive rebound by F. Kaminsky,22,20
72,1,3:41.0,,Turnover by K. Walker (offensive foul),22,20
