,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,I. Whitehead misses 2-pt jump shot from 7 ft (block by A. Horford),0,0
1,1,11:47.0,,Offensive rebound by Team,0,0
2,1,11:41.0,,B. Lopez misses 2-pt layup from 3 ft,0,0
3,1,11:40.0,Defensive rebound by A. Bradley,,0,0
4,1,11:31.0,Personal foul by I. Whitehead (drawn by I. Thomas),,0,0
5,1,11:19.0,A. Bradley makes 2-pt layup from 2 ft,,2,0
6,1,10:59.0,,T. Booker makes 2-pt layup from 2 ft,2,2
7,1,10:44.0,A. Bradley makes 2-pt jump shot from 20 ft,,4,2
8,1,10:29.0,,R. Hollis-Jefferson misses 2-pt jump shot from 20 ft,4,2
9,1,10:28.0,Defensive rebound by A. Horford,,4,2
10,1,10:18.0,I. Thomas misses 3-pt jump shot from 24 ft,,4,2
11,1,10:17.0,,Defensive rebound by R. Hollis-Jefferson,4,2
12,1,10:08.0,,B. Lopez misses 3-pt jump shot from 28 ft,4,2
13,1,10:07.0,Defensive rebound by A. Johnson,,4,2
14,1,9:58.0,A. Bradley misses 2-pt jump shot from 20 ft,,4,2
15,1,9:57.0,,Defensive rebound by R. Hollis-Jefferson,4,2
16,1,9:44.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,4,2
17,1,9:42.0,Defensive rebound by A. Bradley,,4,2
18,1,9:26.0,I. Thomas makes 2-pt layup from 2 ft,,6,2
19,1,9:07.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,6,2
20,1,9:06.0,Defensive rebound by A. Horford,,6,2
21,1,9:01.0,Personal foul by R. Hollis-Jefferson (drawn by I. Thomas),,6,2
22,1,8:53.0,I. Thomas makes 3-pt jump shot from 25 ft,,9,2
23,1,8:53.0,,Brooklyn full timeout,9,2
24,1,8:53.0,M. Smart enters the game for A. Bradley,,9,2
