,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,L. Mbah a Moute misses 2-pt jump shot from 19 ft,0,0
1,1,11:39.0,Defensive rebound by H. Barnes,,0,0
2,1,11:25.0,Shooting foul by P. Pierce (drawn by W. Matthews),,0,0
3,1,11:25.0,W. Matthews makes free throw 1 of 2,,1,0
4,1,11:25.0,W. Matthews misses free throw 2 of 2,,1,0
5,1,11:23.0,,Defensive rebound by D. Jordan,1,0
6,1,11:10.0,,Turnover by J. Redick (lost ball; steal by W. Matthews),1,0
7,1,11:07.0,Personal foul by J. Redick (drawn by W. Matthews),,1,0
8,1,10:58.0,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by D. Williams),,3,0
9,1,10:46.0,,D. Jordan misses 2-pt dunk at rim,3,0
10,1,10:43.0,Defensive rebound by H. Barnes,,3,0
11,1,10:39.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,3,0
12,1,10:37.0,,Defensive rebound by D. Jordan,3,0
13,1,10:29.0,,Turnover by P. Pierce (lost ball; steal by W. Matthews),3,0
14,1,10:24.0,H. Barnes misses 2-pt layup from 1 ft (block by D. Jordan),,3,0
15,1,10:24.0,,Defensive rebound by Team,3,0
16,1,10:14.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),3,3
17,1,10:00.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,3,3
18,1,9:59.0,,Defensive rebound by J. Redick,3,3
19,1,9:52.0,,J. Redick misses 3-pt jump shot from 25 ft,3,3
20,1,9:51.0,,Offensive rebound by L. Mbah a Moute,3,3
21,1,9:46.0,,P. Pierce makes 3-pt jump shot from 24 ft (assist by L. Mbah a Moute),3,6
22,1,9:24.0,D. Williams makes 3-pt jump shot from 25 ft,,6,6
23,1,9:10.0,,R. Felton misses 2-pt jump shot from 13 ft,6,6
24,1,9:07.0,Defensive rebound by D. Williams,,6,6
25,1,8:58.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,6,6
26,1,8:58.0,,Defensive rebound by P. Pierce,6,6
27,1,8:48.0,,P. Pierce misses 3-pt jump shot from 25 ft,6,6
28,1,8:47.0,Defensive rebound by D. Williams,,6,6
29,1,8:22.0,H. Barnes misses 3-pt jump shot from 25 ft,,6,6
30,1,8:21.0,,Defensive rebound by D. Jordan,6,6
31,1,8:15.0,,Personal foul by W. Matthews (drawn by L. Mbah a Moute),6,6
32,1,8:13.0,,Shooting foul by H. Barnes (drawn by J. Redick),6,6
33,1,8:13.0,,J. Redick makes free throw 1 of 2,6,7
34,1,8:13.0,,J. Redick misses free throw 2 of 2,6,7
35,1,8:11.0,Defensive rebound by D. Nowitzki,,6,7
36,1,8:00.0,D. Williams misses 2-pt jump shot from 14 ft,,6,7
37,1,8:00.0,,Defensive rebound by P. Pierce,6,7
38,1,7:48.0,,Turnover by J. Redick (lost ball),6,7
39,1,7:33.0,H. Barnes makes 2-pt jump shot from 10 ft,,8,7
40,1,7:33.0,Shooting foul by R. Felton (drawn by H. Barnes),,8,7
41,1,7:33.0,H. Barnes makes free throw 1 of 1,,9,7
42,1,7:22.0,,R. Felton makes 2-pt layup from 3 ft (assist by J. Redick),9,9
43,1,7:22.0,,Shooting foul by D. Williams (drawn by R. Felton),9,9
44,1,7:22.0,,R. Felton makes free throw 1 of 1,9,10
45,1,7:11.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,9,10
46,1,7:10.0,,Defensive rebound by J. Redick,9,10
47,1,7:03.0,,D. Jordan makes 2-pt hook shot from 2 ft (assist by J. Redick),9,12
48,1,6:46.0,D. Williams makes 2-pt layup from 2 ft,,11,12
49,1,6:40.0,,Turnover by D. Jordan (bad pass; steal by D. Finney-Smith),11,12
50,1,6:34.0,D. Williams misses 3-pt jump shot from 24 ft,,11,12
51,1,6:33.0,,Defensive rebound by R. Felton,11,12
52,1,6:19.0,,R. Felton misses 2-pt jump shot from 19 ft,11,12
53,1,6:17.0,Defensive rebound by D. Williams,,11,12
54,1,6:03.0,H. Barnes misses 2-pt jump shot from 13 ft,,11,12
55,1,6:01.0,,Defensive rebound by L. Mbah a Moute,11,12
56,1,5:50.0,,LA Clippers full timeout,11,12
57,1,5:50.0,,A. Rivers enters the game for P. Pierce,11,12
58,1,5:50.0,D. Harris enters the game for D. Finney-Smith,,11,12
59,1,5:50.0,S. Curry enters the game for D. Nowitzki,,11,12
60,1,5:50.0,S. Mejri enters the game for D. Williams,,11,12
61,1,5:39.0,,R. Felton misses 2-pt jump shot from 19 ft,11,12
62,1,5:38.0,Defensive rebound by Team,,11,12
63,1,5:23.0,H. Barnes makes 2-pt layup from 2 ft (assist by D. Harris),,13,12
64,1,5:09.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by A. Rivers),13,14
65,1,5:09.0,,Shooting block foul by D. Harris (drawn by L. Mbah a Moute),13,14
66,1,5:09.0,,L. Mbah a Moute makes free throw 1 of 1,13,15
67,1,4:51.0,S. Curry misses 2-pt jump shot from 21 ft,,13,15
68,1,4:51.0,,Defensive rebound by D. Jordan,13,15
69,1,4:41.0,,A. Rivers makes 3-pt jump shot from 25 ft,13,18
70,1,4:17.0,W. Matthews misses 2-pt jump shot from 15 ft,,13,18
71,1,4:13.0,,Defensive rebound by D. Jordan,13,18
