,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:36.0,,J. Wall misses 2-pt jump shot from 19 ft,0,0
1,1,11:35.0,,Offensive rebound by M. Gortat,0,0
2,1,11:34.0,,M. Gortat makes 2-pt layup from 1 ft,0,2
3,1,11:21.0,Offensive foul by M. Turner (drawn by J. Wall),,0,2
4,1,11:21.0,Turnover by M. Turner (offensive foul),,0,2
5,1,11:12.0,,Turnover by J. Wall (lost ball),0,2
6,1,11:02.0,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),,2,2
7,1,10:47.0,,M. Morris misses 2-pt jump shot from 16 ft,2,2
8,1,10:47.0,Defensive rebound by L. Allen,,2,2
9,1,10:37.0,C. Miles misses 3-pt jump shot from 27 ft,,2,2
10,1,10:37.0,,Defensive rebound by Team,2,2
11,1,10:18.0,,M. Morris makes 2-pt jump shot from 11 ft,2,4
12,1,10:00.0,C. Miles misses 2-pt layup from 1 ft,,2,4
13,1,9:59.0,,Defensive rebound by M. Gortat,2,4
14,1,9:52.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),2,7
15,1,9:37.0,P. George makes 2-pt jump shot from 17 ft,,4,7
16,1,9:21.0,,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),4,9
17,1,9:02.0,Turnover by P. George (lost ball; steal by M. Morris),,4,9
18,1,8:58.0,,Turnover by J. Wall (bad pass),4,9
19,1,8:50.0,P. George misses 3-pt jump shot from 27 ft,,4,9
20,1,8:49.0,,Defensive rebound by M. Morris,4,9
21,1,8:31.0,,M. Morris misses 3-pt jump shot from 23 ft,4,9
22,1,8:30.0,Defensive rebound by P. George,,4,9
23,1,8:19.0,J. Teague makes 3-pt jump shot from 26 ft (assist by P. George),,7,9
24,1,8:05.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by O. Porter),7,12
25,1,7:49.0,M. Turner makes 2-pt hook shot from 5 ft (assist by J. Teague),,9,12
26,1,7:37.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by J. Wall),9,14
27,1,7:27.0,Shooting foul by J. Wall (drawn by J. Teague),,9,14
28,1,7:27.0,J. Teague makes free throw 1 of 2,,10,14
29,1,7:27.0,J. Teague makes free throw 2 of 2,,11,14
30,1,7:24.0,,Personal foul by J. Teague (drawn by J. Wall),11,14
31,1,7:14.0,,B. Beal misses 3-pt jump shot from 26 ft,11,14
32,1,7:13.0,,Offensive rebound by M. Gortat,11,14
33,1,7:12.0,,M. Gortat misses 2-pt jump shot from 5 ft,11,14
34,1,7:11.0,Defensive rebound by M. Turner,,11,14
