,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:43.0,R. Gobert misses 2-pt layup from 3 ft (block by K. Porziņģis),,0,0
1,1,11:41.0,,Defensive rebound by C. Lee,0,0
2,1,11:19.0,,K. Porziņģis misses 3-pt jump shot from 29 ft,0,0
3,1,11:17.0,,Offensive rebound by Team,0,0
4,1,11:17.0,,Turnover by Team (shot clock),0,0
5,1,11:02.0,R. Hood makes 2-pt jump shot from 16 ft,,2,0
6,1,10:50.0,,Personal foul by G. Hayward (drawn by K. Porziņģis),2,0
7,1,10:42.0,,C. Anthony makes 2-pt jump shot from 9 ft (assist by J. Noah),2,2
8,1,10:27.0,G. Hayward misses 2-pt jump shot from 13 ft,,2,2
9,1,10:26.0,Offensive rebound by R. Gobert,,2,2
10,1,10:21.0,G. Hayward misses 2-pt layup from 3 ft,,2,2
11,1,10:20.0,,Defensive rebound by K. Porziņģis,2,2
12,1,10:16.0,,K. Porziņģis makes 2-pt layup from 1 ft (assist by D. Rose),2,4
13,1,10:16.0,,Shooting foul by R. Gobert (drawn by K. Porziņģis),2,4
14,1,10:16.0,,K. Porziņģis makes free throw 1 of 1,2,5
15,1,10:05.0,D. Favors misses 2-pt jump shot from 20 ft (block by J. Noah),,2,5
16,1,10:04.0,,Defensive rebound by C. Lee,2,5
17,1,9:51.0,,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. Rose),2,8
18,1,9:23.0,D. Favors makes 2-pt jump shot from 9 ft (assist by G. Hill),,4,8
19,1,9:11.0,,D. Rose misses 2-pt layup from 2 ft (block by R. Gobert),4,8
20,1,9:10.0,Defensive rebound by R. Gobert,,4,8
21,1,9:04.0,G. Hill misses 3-pt jump shot from 25 ft,,4,8
22,1,9:03.0,Offensive rebound by Team,,4,8
23,1,9:03.0,,Loose ball foul by J. Noah (drawn by R. Gobert),4,8
24,1,8:54.0,G. Hill makes 2-pt jump shot from 13 ft,,6,8
25,1,8:40.0,,Turnover by K. Porziņģis (3 sec),6,8
26,1,8:26.0,R. Hood misses 3-pt jump shot from 25 ft,,6,8
27,1,8:25.0,,Defensive rebound by C. Anthony,6,8
28,1,8:16.0,,C. Anthony misses 3-pt jump shot from 27 ft,6,8
29,1,8:15.0,Defensive rebound by R. Hood,,6,8
