,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,A. Rivers misses 2-pt layup from 1 ft,0,0
1,1,11:39.0,Defensive rebound by K. Towns,,0,0
2,1,11:25.0,K. Towns makes 2-pt hook shot from 6 ft (assist by A. Wiggins),,2,0
3,1,11:10.0,,R. Felton misses 3-pt jump shot from 25 ft,2,0
4,1,11:10.0,Defensive rebound by Z. LaVine,,2,0
5,1,10:58.0,G. Dieng makes 2-pt jump shot from 9 ft (assist by K. Towns),,4,0
6,1,10:44.0,,J. Redick misses 2-pt jump shot from 19 ft,4,0
7,1,10:44.0,Defensive rebound by R. Rubio,,4,0
8,1,10:39.0,Z. LaVine misses 2-pt layup from 2 ft,,4,0
9,1,10:39.0,Offensive rebound by Team,,4,0
10,1,10:32.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,6,0
11,1,10:16.0,,Shooting foul by K. Towns (drawn by L. Mbah a Moute),6,0
12,1,10:16.0,,L. Mbah a Moute makes free throw 1 of 2,6,1
13,1,10:16.0,,L. Mbah a Moute makes free throw 2 of 2,6,2
14,1,10:09.0,Turnover by R. Rubio (bad pass; steal by L. Mbah a Moute),,6,2
15,1,10:03.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by R. Felton),6,4
16,1,9:47.0,A. Wiggins makes 2-pt jump shot from 21 ft,,8,4
17,1,9:29.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),8,6
18,1,9:12.0,G. Dieng makes 2-pt layup from 2 ft (assist by K. Towns),,10,6
19,1,9:00.0,,R. Felton misses 2-pt layup from 1 ft,10,6
20,1,9:00.0,Defensive rebound by R. Rubio,,10,6
21,1,8:52.0,Turnover by R. Rubio (bad pass; steal by L. Mbah a Moute),,10,6
22,1,8:48.0,,J. Redick misses 2-pt layup from 1 ft,10,6
23,1,8:45.0,Defensive rebound by G. Dieng,,10,6
24,1,8:41.0,Z. LaVine misses 3-pt jump shot from 25 ft,,10,6
25,1,8:40.0,,Defensive rebound by D. Jordan,10,6
26,1,8:29.0,,A. Rivers misses 3-pt jump shot from 25 ft,10,6
27,1,8:28.0,Defensive rebound by Z. LaVine,,10,6
28,1,8:14.0,Shooting foul by A. Rivers (drawn by A. Wiggins),,10,6
29,1,8:14.0,A. Wiggins misses free throw 1 of 2,,10,6
30,1,8:14.0,Offensive rebound by Team,,10,6
31,1,8:14.0,A. Wiggins makes free throw 2 of 2,,11,6
32,1,8:02.0,,A. Rivers makes 2-pt layup from 2 ft,11,8
33,1,7:53.0,K. Towns makes 2-pt jump shot from 20 ft (assist by R. Rubio),,13,8
34,1,7:39.0,,D. Jordan misses 2-pt layup from 1 ft,13,8
35,1,7:38.0,Defensive rebound by G. Dieng,,13,8
36,1,7:32.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),,15,8
37,1,7:13.0,,Turnover by L. Mbah a Moute (lost ball),15,8
38,1,7:13.0,,M. Speights enters the game for A. Rivers,15,8
