,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:42.0,,K. Lowry misses 2-pt layup from 4 ft,0,0
1,1,11:42.0,Defensive rebound by M. Brogdon,,0,0
2,1,11:26.0,K. Middleton misses 3-pt jump shot from 26 ft,,0,0
3,1,11:26.0,,Defensive rebound by D. DeRozan,0,0
4,1,11:10.0,,D. DeRozan makes 2-pt jump shot from 10 ft,0,2
5,1,10:58.0,M. Brogdon misses 3-pt jump shot from 22 ft,,0,2
6,1,10:57.0,,Defensive rebound by J. Valančiūnas,0,2
7,1,10:44.0,,D. DeRozan makes 2-pt layup from 2 ft,0,4
8,1,10:34.0,G. Antetokounmpo makes 2-pt dunk at rim,,2,4
9,1,10:14.0,,D. DeRozan misses 2-pt layup from 3 ft,2,4
10,1,10:14.0,Defensive rebound by G. Antetokounmpo,,2,4
11,1,10:11.0,Shooting foul by D. Carroll (drawn by G. Antetokounmpo),,2,4
12,1,10:11.0,G. Antetokounmpo makes free throw 1 of 2,,3,4
13,1,10:11.0,G. Antetokounmpo misses free throw 2 of 2,,3,4
14,1,10:10.0,Offensive rebound by T. Snell,,3,4
15,1,10:05.0,T. Snell misses 2-pt jump shot from 19 ft,,3,4
16,1,10:05.0,,Defensive rebound by D. DeRozan,3,4
17,1,9:56.0,,D. DeRozan misses 2-pt layup from 3 ft,3,4
18,1,9:56.0,,Offensive rebound by S. Ibaka,3,4
19,1,9:54.0,,S. Ibaka makes 2-pt layup from 2 ft,3,6
20,1,9:29.0,M. Brogdon makes 3-pt jump shot from 27 ft (assist by T. Snell),,6,6
21,1,9:19.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),6,8
22,1,9:05.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by S. Ibaka),,6,8
23,1,9:03.0,Offensive rebound by T. Maker,,6,8
24,1,8:59.0,T. Maker makes 2-pt layup from 2 ft,,8,8
25,1,8:57.0,,K. Lowry makes 2-pt jump shot from 11 ft,8,10
26,1,8:57.0,,Shooting block foul by M. Brogdon (drawn by K. Lowry),8,10
27,1,8:57.0,,K. Lowry misses free throw 1 of 1,8,10
