,QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,M. Gortat misses 2-pt jump shot from 16 ft,0,0
1,1,11:45.0,Defensive rebound by G. Hayward,,0,0
2,1,11:29.0,G. Hill makes 3-pt jump shot from 25 ft (assist by G. Hayward),,3,0
3,1,11:15.0,,B. Beal misses 2-pt jump shot from 19 ft,3,0
4,1,11:14.0,Defensive rebound by R. Gobert,,3,0
5,1,10:57.0,G. Hayward misses 2-pt jump shot from 8 ft,,3,0
6,1,10:56.0,,Defensive rebound by M. Gortat,3,0
7,1,10:49.0,,Personal foul by R. Hood (drawn by B. Beal),3,0
8,1,10:39.0,,O. Porter misses 3-pt jump shot from 26 ft,3,0
9,1,10:38.0,Defensive rebound by R. Gobert,,3,0
10,1,10:14.0,R. Hood misses 3-pt jump shot from 28 ft,,3,0
11,1,10:13.0,,Defensive rebound by M. Morris,3,0
12,1,10:06.0,,J. Wall makes 2-pt layup from 2 ft,3,2
13,1,9:48.0,Personal block foul by B. Beal (drawn by G. Hayward),,3,2
14,1,9:42.0,R. Hood makes 3-pt jump shot from 28 ft (assist by G. Hill),,6,2
15,1,9:14.0,,M. Gortat misses 2-pt jump shot from 8 ft,6,2
16,1,9:13.0,Defensive rebound by G. Hayward,,6,2
17,1,9:01.0,G. Hayward misses 2-pt jump shot from 20 ft,,6,2
18,1,9:00.0,,Defensive rebound by M. Morris,6,2
19,1,8:51.0,,M. Morris misses 3-pt jump shot from 26 ft,6,2
20,1,8:50.0,Defensive rebound by G. Hayward,,6,2
21,1,8:38.0,Turnover by G. Hill (lost ball; steal by J. Wall),,6,2
22,1,8:33.0,,M. Morris misses 2-pt layup from 2 ft (block by D. Favors),6,2
23,1,8:31.0,Defensive rebound by R. Gobert,,6,2
24,1,8:24.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,6,2
25,1,8:22.0,,Personal foul by R. Hood (drawn by B. Beal),6,2
26,1,8:07.0,,M. Morris misses 2-pt jump shot from 12 ft (block by D. Favors),6,2
27,1,8:06.0,Defensive rebound by D. Favors,,6,2
28,1,7:53.0,G. Hill makes 3-pt jump shot from 25 ft (assist by R. Hood),,9,2
29,1,7:35.0,,J. Wall makes 3-pt jump shot from 25 ft,9,5
30,1,7:19.0,Shooting foul by O. Porter (drawn by G. Hayward),,9,5
31,1,7:19.0,G. Hayward makes free throw 1 of 2,,10,5
32,1,7:19.0,G. Hayward misses free throw 2 of 2,,10,5
33,1,7:17.0,,Defensive rebound by O. Porter,10,5
34,1,7:04.0,,M. Gortat makes 2-pt hook shot from 7 ft (assist by J. Wall),10,7
35,1,6:51.0,Turnover by G. Hill (bad pass; steal by O. Porter),,10,7
36,1,6:32.0,,M. Morris misses 3-pt jump shot from 26 ft,10,7
37,1,6:31.0,,Offensive rebound by O. Porter,10,7
38,1,6:28.0,,O. Porter misses 2-pt jump shot from 11 ft,10,7
39,1,6:27.0,Defensive rebound by R. Gobert,,10,7
40,1,6:15.0,R. Hood misses 3-pt jump shot from 27 ft,,10,7
41,1,6:14.0,,Defensive rebound by M. Gortat,10,7
42,1,6:02.0,,J. Wall makes 2-pt jump shot from 18 ft,10,9
43,1,5:40.0,Offensive foul by G. Hayward (drawn by B. Beal),,10,9
44,1,5:40.0,Turnover by G. Hayward (offensive foul),,10,9
45,1,5:40.0,,Washington full timeout,10,9
46,1,5:39.0,D. Exum enters the game for D. Favors,,10,9
47,1,5:39.0,J. Johnson enters the game for G. Hill,,10,9
48,1,5:23.0,,J. Wall misses 2-pt jump shot from 20 ft,10,9
49,1,5:22.0,Defensive rebound by R. Gobert,,10,9
50,1,5:18.0,Turnover by R. Gobert (bad pass; steal by O. Porter),,10,9
51,1,5:15.0,,O. Porter makes 2-pt dunk at rim,10,11
52,1,4:57.0,Personal foul by M. Gortat (drawn by R. Gobert),,10,11
53,1,4:57.0,,B. Bogdanović enters the game for M. Morris,10,11
