,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:42.0,D. Gallinari makes 3-pt jump shot from 22 ft (assist by G. Harris),,3,0
1,1,11:25.0,,K. Dunn makes 3-pt jump shot from 23 ft (assist by A. Wiggins),3,3
2,1,11:11.0,G. Harris misses 3-pt jump shot from 25 ft,,3,3
3,1,11:10.0,,Defensive rebound by G. Dieng,3,3
4,1,10:53.0,,K. Dunn makes 3-pt jump shot from 24 ft (assist by K. Towns),3,6
5,1,10:35.0,N. Jokić makes 2-pt jump shot from 11 ft (assist by J. Nelson),,5,6
6,1,10:22.0,,K. Towns makes 2-pt dunk at rim,5,8
7,1,10:04.0,Turnover by J. Nelson (bad pass; steal by G. Dieng),,5,8
8,1,9:50.0,,K. Dunn makes 2-pt jump shot from 8 ft (assist by K. Towns),5,10
9,1,9:36.0,G. Harris makes 2-pt layup at rim (assist by N. Jokić),,7,10
10,1,9:12.0,,Turnover by K. Dunn (lost ball; steal by N. Jokić),7,10
11,1,9:02.0,Personal foul by G. Dieng (drawn by N. Jokić),,7,10
12,1,8:48.0,J. Nelson makes 2-pt layup at rim (assist by D. Gallinari),,9,10
13,1,8:33.0,,Shooting foul by K. Faried (drawn by K. Towns),9,10
14,1,8:33.0,,K. Towns makes free throw 1 of 2,9,11
15,1,8:33.0,,K. Towns makes free throw 2 of 2,9,12
16,1,8:09.0,G. Harris misses 2-pt jump shot from 12 ft,,9,12
17,1,8:08.0,Offensive rebound by G. Harris,,9,12
18,1,7:56.0,Turnover by J. Nelson (bad pass; steal by G. Dieng),,9,12
19,1,7:51.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by G. Dieng),9,14
20,1,7:38.0,D. Gallinari makes 2-pt layup at rim,,11,14
21,1,7:21.0,,A. Wiggins misses 2-pt jump shot from 14 ft,11,14
22,1,7:19.0,Defensive rebound by K. Faried,,11,14
23,1,7:08.0,Shooting block foul by G. Dieng (drawn by G. Harris),,11,14
24,1,7:08.0,G. Harris makes free throw 1 of 2,,12,14
25,1,7:08.0,G. Harris makes free throw 2 of 2,,13,14
26,1,6:49.0,,G. Dieng misses 2-pt jump shot from 15 ft,13,14
27,1,6:49.0,Defensive rebound by K. Faried,,13,14
28,1,6:39.0,Turnover by D. Gallinari (bad pass; steal by Z. LaVine),,13,14
29,1,6:25.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by K. Dunn),13,16
30,1,6:15.0,J. Nelson makes 2-pt jump shot from 9 ft,,15,16
31,1,5:57.0,,G. Dieng makes 2-pt jump shot from 4 ft (assist by K. Towns),15,18
32,1,5:44.0,D. Gallinari misses 2-pt layup from 1 ft,,15,18
33,1,5:43.0,Offensive rebound by N. Jokić,,15,18
34,1,5:42.0,Shooting foul by G. Dieng (drawn by N. Jokić),,15,18
35,1,5:42.0,,Minnesota full timeout,15,18
36,1,5:42.0,N. Jokić makes free throw 1 of 2,,16,18
37,1,5:42.0,W. Chandler enters the game for K. Faried,,15,18
38,1,5:42.0,,N. Bjelica enters the game for G. Dieng,15,18
39,1,5:42.0,N. Jokić makes free throw 2 of 2,,17,18
40,1,5:23.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by K. Towns),17,20
41,1,5:04.0,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),,19,20
42,1,4:47.0,,A. Wiggins misses 2-pt jump shot from 19 ft,19,20
43,1,4:46.0,Defensive rebound by N. Jokić,,19,20
44,1,4:33.0,N. Jokić misses 2-pt layup from 1 ft (block by A. Wiggins),,19,20
45,1,4:31.0,Offensive rebound by N. Jokić,,19,20
46,1,4:30.0,N. Jokić makes 2-pt layup from 1 ft,,21,20
47,1,4:11.0,,A. Wiggins misses 2-pt jump shot from 19 ft,21,20
48,1,4:10.0,,Offensive rebound by K. Towns,21,20
49,1,4:07.0,,Turnover by K. Towns (step out of bounds),21,20
50,1,4:07.0,W. Barton enters the game for G. Harris,,21,20
51,1,3:56.0,Shooting foul by N. Bjelica (drawn by W. Chandler),,21,20
52,1,3:56.0,W. Chandler misses free throw 1 of 2,,21,20
53,1,3:56.0,Offensive rebound by Team,,21,20
54,1,3:56.0,,S. Muhammad enters the game for Z. LaVine,21,20
55,1,3:56.0,W. Chandler makes free throw 2 of 2,,22,20
56,1,3:42.0,,N. Bjelica makes 2-pt jump shot from 4 ft (assist by A. Wiggins),22,22
57,1,3:26.0,W. Chandler makes 2-pt dunk at rim (assist by N. Jokić),,24,22
58,1,3:10.0,,K. Dunn misses 2-pt jump shot from 18 ft,24,22
59,1,3:09.0,Defensive rebound by W. Chandler,,24,22
60,1,3:05.0,W. Chandler misses 2-pt jump shot from 4 ft (block by K. Towns),,24,22
61,1,3:03.0,,Defensive rebound by K. Towns,24,22
62,1,2:54.0,Offensive charge foul by A. Wiggins (drawn by D. Gallinari),,24,22
63,1,2:54.0,,Turnover by A. Wiggins (offensive foul),24,22
64,1,2:54.0,Denver full timeout,,24,22
65,1,2:54.0,J. Murray enters the game for J. Nelson,,24,22
66,1,2:41.0,Shooting foul by K. Dunn (drawn by J. Murray),,24,22
67,1,2:41.0,J. Murray misses free throw 1 of 2,,24,22
68,1,2:41.0,Offensive rebound by Team,,24,22
69,1,2:41.0,J. Murray makes free throw 2 of 2,,25,22
70,1,2:23.0,,Personal foul by J. Murray (drawn by N. Bjelica),25,22
71,1,2:16.0,,K. Towns makes 2-pt layup from 1 ft (assist by N. Bjelica),25,24
72,1,2:16.0,,Shooting foul by N. Jokić (drawn by K. Towns),25,24
73,1,2:16.0,,K. Towns misses free throw 1 of 1,25,24
74,1,2:16.0,Defensive rebound by D. Arthur,,25,24
75,1,2:16.0,D. Arthur enters the game for N. Jokić,,25,24
76,1,2:04.0,W. Chandler misses 2-pt jump shot from 7 ft (block by K. Towns),,25,24
77,1,2:03.0,,Defensive rebound by K. Towns,25,24
78,1,1:59.0,Offensive charge foul by K. Towns (drawn by D. Arthur),,25,24
79,1,1:59.0,,Turnover by K. Towns (offensive foul),25,24
80,1,1:44.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by W. Barton),,28,24
81,1,1:27.0,,Turnover by K. Towns (offensive goaltending),28,24
82,1,1:15.0,Shooting foul by S. Muhammad (drawn by W. Barton),,28,24
83,1,1:15.0,W. Barton makes free throw 1 of 2,,29,24
84,1,1:15.0,W. Barton misses free throw 2 of 2,,29,24
85,1,1:15.0,,Defensive rebound by K. Towns,29,24
86,1,1:02.0,,S. Muhammad misses 3-pt jump shot from 25 ft,29,24
87,1,1:00.0,Defensive rebound by D. Gallinari,,29,24
88,1,0:37.0,Turnover by Team (shot clock),,29,24
89,1,0:18.0,,S. Muhammad makes 2-pt jump shot from 7 ft (assist by K. Dunn),29,26
90,1,0:05.0,W. Barton misses 2-pt jump shot from 5 ft,,29,26
91,1,0:04.0,,Defensive rebound by S. Muhammad,29,26
92,1,0:00.0,,S. Muhammad makes 2-pt jump shot from 11 ft,29,28
93,2,11:47.0,,Offensive foul by C. Aldrich (drawn by J. Murray),29,28
94,2,11:47.0,,Turnover by C. Aldrich (offensive foul),29,28
95,2,11:36.0,J. Murray misses 2-pt jump shot from 21 ft,,29,28
96,2,11:34.0,,Defensive rebound by N. Bjelica,29,28
97,2,11:20.0,,S. Muhammad misses 3-pt jump shot from 25 ft,29,28
98,2,11:19.0,,Offensive rebound by N. Bjelica,29,28
99,2,11:17.0,,N. Bjelica makes 2-pt layup at rim,29,30
100,2,11:11.0,Turnover by W. Barton (lost ball; steal by C. Aldrich),,29,30
101,2,11:05.0,,S. Muhammad makes 2-pt layup from 1 ft (assist by T. Jones),29,32
102,2,10:50.0,J. Murray makes 2-pt layup from 1 ft (assist by D. Arthur),,31,32
103,2,10:33.0,,N. Bjelica makes 2-pt jump shot from 4 ft (assist by C. Aldrich),31,34
104,2,10:31.0,Denver full timeout,,31,34
105,2,10:18.0,Shooting foul by N. Bjelica (drawn by W. Chandler),,31,34
106,2,10:18.0,W. Chandler makes 2-pt jump shot from 3 ft,,33,34
107,2,10:18.0,W. Chandler makes free throw 1 of 1,,34,34
108,2,10:05.0,,S. Muhammad makes 3-pt jump shot from 24 ft (assist by T. Jones),34,37
109,2,9:55.0,D. Arthur misses 3-pt jump shot from 25 ft,,34,37
110,2,9:54.0,,Defensive rebound by N. Bjelica,34,37
111,2,9:45.0,,Z. LaVine makes 2-pt jump shot from 19 ft,34,39
112,2,9:34.0,J. Murray makes 2-pt layup at rim (assist by D. Arthur),,36,39
113,2,9:23.0,,T. Jones makes 2-pt jump shot from 8 ft,36,41
114,2,9:23.0,,Shooting foul by W. Barton (drawn by T. Jones),36,41
115,2,9:23.0,,T. Jones makes free throw 1 of 1,36,42
116,2,9:10.0,,Violation by C. Aldrich (kicked ball),36,42
117,2,9:06.0,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),,38,42
118,2,8:54.0,,Turnover by T. Jones (lost ball; steal by D. Arthur),38,42
119,2,8:41.0,J. Murray misses 3-pt jump shot from 24 ft,,38,42
120,2,8:40.0,Offensive rebound by G. Harris,,38,42
121,2,8:35.0,G. Harris makes 2-pt dunk at rim,,40,42
122,2,8:15.0,,Z. LaVine misses 2-pt jump shot from 21 ft,40,42
123,2,8:13.0,,Offensive rebound by S. Muhammad,40,42
124,2,8:09.0,,Turnover by N. Bjelica (bad pass; steal by W. Chandler),40,42
125,2,8:04.0,Turnover by W. Chandler (bad pass),,40,42
126,2,7:44.0,,Z. LaVine misses 2-pt jump shot from 21 ft,40,42
127,2,7:42.0,Defensive rebound by W. Chandler,,40,42
128,2,7:33.0,J. Murray makes 2-pt dunk at rim (assist by W. Barton),,42,42
129,2,7:25.0,,Minnesota full timeout,42,42
130,2,7:12.0,,S. Muhammad misses 3-pt jump shot from 23 ft,42,42
131,2,7:10.0,Defensive rebound by G. Harris,,42,42
