,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:36.0,,G. Harris misses 2-pt jump shot from 20 ft,0,0
1,1,11:35.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,Turnover by Team (shot clock),0,0
3,1,11:17.0,Shooting foul by M. Plumlee (drawn by K. Towns),,0,0
4,1,11:17.0,K. Towns makes free throw 1 of 2,,1,0
5,1,11:17.0,K. Towns makes free throw 2 of 2,,2,0
6,1,10:58.0,,J. Nelson makes 2-pt jump shot from 21 ft (assist by J. Hernangómez),2,2
7,1,10:41.0,A. Wiggins makes 2-pt jump shot from 19 ft,,4,2
8,1,10:24.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by G. Harris),4,4
9,1,10:09.0,Shooting foul by J. Hernangómez (drawn by A. Wiggins),,4,4
10,1,10:09.0,A. Wiggins misses free throw 1 of 2,,4,4
11,1,10:09.0,Offensive rebound by Team,,4,4
12,1,10:09.0,A. Wiggins makes free throw 2 of 2,,5,4
13,1,9:58.0,,J. Nelson misses 2-pt jump shot from 13 ft,5,4
14,1,9:57.0,Defensive rebound by Team,,5,4
15,1,9:39.0,R. Rubio misses 3-pt jump shot from 24 ft,,5,4
16,1,9:36.0,Offensive rebound by K. Towns,,5,4
17,1,9:36.0,K. Towns makes 2-pt layup from 2 ft,,7,4
18,1,9:25.0,,J. Nelson makes 2-pt layup from 3 ft,7,6
19,1,9:10.0,A. Wiggins makes 3-pt jump shot from 27 ft,,10,6
20,1,9:00.0,,Shooting foul by A. Wiggins (drawn by G. Harris),10,6
21,1,9:00.0,,G. Harris makes free throw 1 of 2,10,7
22,1,9:00.0,,G. Harris makes free throw 2 of 2,10,8
23,1,8:52.0,Turnover by R. Rubio (bad pass; steal by N. Jokić),,10,8
24,1,8:51.0,,Personal foul by G. Dieng (drawn by N. Jokić),10,8
25,1,8:38.0,,J. Nelson misses 2-pt jump shot from 23 ft,10,8
26,1,8:38.0,,Offensive rebound by N. Jokić,10,8
27,1,8:36.0,Violation by K. Towns (kicked ball),,10,8
28,1,8:29.0,,G. Harris misses 3-pt jump shot from 26 ft,10,8
29,1,8:28.0,Defensive rebound by B. Rush,,10,8
30,1,8:18.0,K. Towns misses 3-pt jump shot from 26 ft,,10,8
31,1,8:16.0,,Defensive rebound by J. Nelson,10,8
32,1,8:11.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Nelson),10,10
33,1,7:50.0,K. Towns misses 2-pt jump shot from 4 ft,,10,10
34,1,7:50.0,,Defensive rebound by N. Jokić,10,10
35,1,7:44.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by J. Nelson),10,12
36,1,7:21.0,A. Wiggins makes 2-pt jump shot from 16 ft,,12,12
37,1,7:08.0,,Turnover by G. Harris (bad pass; steal by A. Wiggins),12,12
