,QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
0,1,11:48.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by T. Harris),,2,0
1,1,11:48.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,2,0
2,1,11:48.0,K. Caldwell-Pope misses free throw 1 of 1,,2,0
3,1,11:47.0,,Defensive rebound by N. Vučević,2,0
4,1,11:31.0,,E. Fournier makes 2-pt layup from 3 ft,2,2
5,1,11:14.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,4,2
6,1,11:02.0,,N. Vučević misses 2-pt jump shot from 17 ft,4,2
7,1,11:01.0,Defensive rebound by I. Smith,,4,2
8,1,10:49.0,A. Drummond misses 2-pt jump shot from 7 ft (block by N. Vučević),,4,2
9,1,10:49.0,Offensive rebound by A. Drummond,,4,2
10,1,10:49.0,A. Drummond misses 2-pt hook shot from 7 ft,,4,2
11,1,10:49.0,,Defensive rebound by Team,4,2
12,1,10:34.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by T. Ross),4,4
13,1,10:20.0,I. Smith makes 2-pt jump shot from 16 ft,,6,4
14,1,10:08.0,,T. Ross makes 2-pt jump shot from 16 ft (assist by E. Payton),6,6
15,1,9:45.0,M. Morris misses 2-pt jump shot from 16 ft,,6,6
16,1,9:44.0,,Defensive rebound by A. Gordon,6,6
17,1,9:34.0,,E. Fournier makes 2-pt layup from 2 ft,6,8
18,1,9:14.0,T. Harris misses 3-pt jump shot from 23 ft,,6,8
19,1,9:12.0,,Defensive rebound by E. Payton,6,8
20,1,9:01.0,,Turnover by N. Vučević (3 sec),6,8
21,1,8:47.0,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by T. Ross),,6,8
22,1,8:44.0,,Defensive rebound by E. Payton,6,8
23,1,8:36.0,,E. Payton misses 2-pt jump shot from 11 ft,6,8
24,1,8:34.0,,Offensive rebound by N. Vučević,6,8
25,1,8:34.0,,N. Vučević misses 2-pt layup from 1 ft,6,8
26,1,8:34.0,,Offensive rebound by Team,6,8
27,1,8:13.0,,E. Payton misses 2-pt jump shot from 9 ft,6,8
28,1,8:13.0,,Offensive rebound by Team,6,8
29,1,8:13.0,,Personal foul by A. Drummond (drawn by N. Vučević),6,8
30,1,8:05.0,,T. Ross misses 2-pt jump shot from 19 ft,6,8
31,1,8:03.0,Defensive rebound by I. Smith,,6,8
32,1,7:54.0,I. Smith misses 2-pt jump shot from 9 ft,,6,8
33,1,7:52.0,,Defensive rebound by Team,6,8
34,1,7:42.0,,E. Fournier misses 2-pt layup from 2 ft,6,8
35,1,7:40.0,Defensive rebound by A. Drummond,,6,8
36,1,7:36.0,Shooting foul by T. Ross (drawn by M. Morris),,6,8
37,1,7:36.0,M. Morris makes free throw 1 of 2,,7,8
38,1,7:36.0,,M. Hezonja enters the game for T. Ross,7,8
39,1,7:36.0,M. Morris makes free throw 2 of 2,,8,8
40,1,7:22.0,,A. Gordon misses 2-pt jump shot from 17 ft,8,8
41,1,7:21.0,Defensive rebound by A. Drummond,,8,8
42,1,7:12.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,8,8
43,1,7:11.0,,Defensive rebound by A. Gordon,8,8
44,1,7:04.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),8,10
45,1,6:44.0,T. Harris misses 2-pt jump shot from 9 ft,,8,10
46,1,6:42.0,,Defensive rebound by N. Vučević,8,10
47,1,6:36.0,,M. Hezonja misses 3-pt jump shot from 26 ft,8,10
48,1,6:34.0,Defensive rebound by A. Drummond,,8,10
49,1,6:23.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,,8,10
50,1,6:21.0,Offensive rebound by A. Drummond,,8,10
51,1,6:19.0,A. Drummond misses 2-pt hook shot from 8 ft,,8,10
52,1,6:18.0,,Defensive rebound by N. Vučević,8,10
53,1,6:13.0,,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),8,12
54,1,6:07.0,Detroit full timeout,,8,12
55,1,5:56.0,M. Morris misses 2-pt jump shot from 14 ft,,8,12
56,1,5:55.0,,Defensive rebound by E. Payton,8,12
