,QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,Shooting foul by P. McCaw (drawn by A. Gordon),,0,0
1,1,11:42.0,A. Gordon misses free throw 1 of 2,,0,0
2,1,11:42.0,Offensive rebound by Team,,0,0
3,1,11:42.0,A. Gordon misses free throw 2 of 2,,0,0
4,1,11:41.0,,Defensive rebound by D. Green,0,0
5,1,11:22.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),0,3
6,1,11:12.0,N. Vučević misses 2-pt jump shot from 17 ft,,0,3
7,1,11:11.0,,Defensive rebound by S. Curry,0,3
8,1,11:04.0,,Z. Pachulia makes 2-pt dunk at rim (assist by S. Curry),0,5
9,1,10:50.0,E. Payton misses 2-pt layup from 1 ft,,0,5
10,1,10:49.0,Offensive rebound by E. Payton,,0,5
11,1,10:47.0,E. Payton makes 2-pt layup from 2 ft,,2,5
12,1,10:39.0,,K. Thompson misses 2-pt jump shot from 9 ft,2,5
13,1,10:38.0,Defensive rebound by N. Vučević,,2,5
14,1,10:30.0,Turnover by E. Payton (bad pass; steal by D. Green),,2,5
15,1,10:30.0,,Personal foul by E. Payton (drawn by S. Curry),2,5
16,1,10:30.0,,I. Clark enters the game for S. Curry,2,5
17,1,10:15.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),2,8
18,1,9:53.0,E. Fournier misses 3-pt jump shot from 27 ft,,2,8
19,1,9:53.0,,Defensive rebound by D. Green,2,8
20,1,9:44.0,,D. Green misses 3-pt jump shot from 27 ft,2,8
21,1,9:43.0,Defensive rebound by E. Payton,,2,8
22,1,9:32.0,A. Gordon misses 2-pt jump shot from 15 ft,,2,8
23,1,9:31.0,,Defensive rebound by Z. Pachulia,2,8
24,1,9:24.0,,Turnover by D. Green (bad pass),2,8
25,1,9:10.0,E. Fournier misses 3-pt jump shot from 26 ft,,2,8
26,1,9:09.0,,Defensive rebound by D. Green,2,8
