,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
0,1,11:44.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by J. Teague),0,2
1,1,11:22.0,B. Lopez misses 2-pt jump shot from 4 ft,,0,2
2,1,11:21.0,Offensive rebound by T. Booker,,0,2
3,1,11:16.0,S. Kilpatrick misses 3-pt jump shot from 23 ft,,0,2
4,1,11:16.0,,Defensive rebound by J. Teague,0,2
5,1,11:11.0,,Turnover by J. Teague (bad pass; steal by I. Whitehead),0,2
6,1,11:00.0,B. Bogdanović misses 2-pt jump shot from 3 ft (block by G. Robinson),,0,2
7,1,10:59.0,,Defensive rebound by J. Teague,0,2
8,1,10:53.0,,Shooting foul by B. Lopez (drawn by M. Turner),0,2
9,1,10:53.0,,M. Turner makes free throw 1 of 2,0,3
10,1,10:53.0,,M. Turner makes free throw 2 of 2,0,4
11,1,10:27.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,0,4
12,1,10:27.0,Offensive rebound by T. Booker,,0,4
13,1,10:24.0,T. Booker makes 2-pt layup from 1 ft,,2,4
14,1,10:24.0,Shooting foul by G. Robinson (drawn by T. Booker),,2,4
15,1,10:24.0,T. Booker misses free throw 1 of 1,,2,4
16,1,10:24.0,,Defensive rebound by T. Young,2,4
17,1,10:09.0,,M. Ellis makes 2-pt jump shot from 17 ft,2,6
18,1,9:49.0,B. Lopez makes 2-pt layup from 1 ft (assist by S. Kilpatrick),,4,6
19,1,9:42.0,,Turnover by M. Turner (bad pass),4,6
20,1,9:31.0,B. Lopez makes 2-pt jump shot from 22 ft (assist by S. Kilpatrick),,6,6
21,1,9:14.0,,J. Teague misses 2-pt jump shot from 11 ft (block by I. Whitehead),6,6
22,1,9:13.0,Defensive rebound by T. Booker,,6,6
23,1,9:00.0,T. Booker makes 2-pt layup from 3 ft (assist by S. Kilpatrick),,8,6
24,1,8:46.0,,Turnover by T. Young (lost ball),8,6
25,1,8:39.0,I. Whitehead makes 2-pt layup from 2 ft (assist by B. Lopez),,10,6
26,1,8:27.0,,M. Turner misses 3-pt jump shot from 25 ft,10,6
27,1,8:24.0,Defensive rebound by B. Lopez,,10,6
28,1,8:14.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by S. Kilpatrick),,13,6
29,1,7:58.0,,G. Robinson makes 3-pt jump shot from 24 ft (assist by M. Turner),13,9
30,1,7:44.0,T. Booker makes 2-pt jump shot from 22 ft (assist by B. Bogdanović),,15,9
31,1,7:24.0,,G. Robinson makes 3-pt jump shot from 23 ft (assist by J. Teague),15,12
32,1,7:13.0,T. Booker makes 2-pt layup from 2 ft,,17,12
33,1,6:52.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by M. Ellis),17,14
34,1,6:42.0,B. Lopez misses 3-pt jump shot from 27 ft,,17,14
35,1,6:42.0,,Defensive rebound by T. Young,17,14
36,1,6:20.0,,J. Teague misses 2-pt jump shot from 7 ft,17,14
37,1,6:20.0,Defensive rebound by B. Lopez,,17,14
38,1,6:04.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by S. Kilpatrick),,20,14
39,1,6:04.0,,Indiana full timeout,20,14
40,1,6:04.0,J. Hamilton enters the game for T. Booker,,20,14
41,1,6:04.0,J. Harris enters the game for S. Kilpatrick,,20,14
42,1,6:04.0,,R. Stuckey enters the game for G. Robinson,20,14
43,1,5:55.0,,Personal foul by J. Harris (drawn by M. Ellis),20,14
44,1,5:48.0,,Def 3 sec tech foul by B. Lopez,20,14
45,1,5:48.0,,J. Teague makes technical free throw,20,15
46,1,5:37.0,,J. Teague misses 2-pt jump shot from 6 ft (block by I. Whitehead),20,15
47,1,5:35.0,,Offensive rebound by J. Teague,20,15
48,1,5:32.0,,M. Turner makes 2-pt dunk from 2 ft (assist by J. Teague),20,17
