,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:48.0,G. Henderson misses 3-pt jump shot from 25 ft,,0,0
1,1,11:47.0,,Defensive rebound by C. Anthony,0,0
2,1,11:27.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by D. Rose),0,2
3,1,11:11.0,D. Šarić misses 3-pt jump shot from 25 ft,,0,2
4,1,11:10.0,,Defensive rebound by W. Hernangómez,0,2
5,1,10:57.0,,D. Rose misses 2-pt layup from 2 ft,0,2
6,1,10:56.0,,Offensive rebound by W. Hernangómez,0,2
7,1,10:56.0,,W. Hernangómez misses 2-pt dunk at rim,0,2
8,1,10:55.0,Defensive rebound by R. Covington,,0,2
9,1,10:48.0,R. Covington misses 3-pt jump shot from 25 ft,,0,2
10,1,10:47.0,,Defensive rebound by C. Lee,0,2
11,1,10:34.0,,D. Rose misses 3-pt jump shot from 22 ft,0,2
12,1,10:33.0,Defensive rebound by R. Covington,,0,2
13,1,10:24.0,G. Henderson misses 2-pt layup from 1 ft (block by C. Anthony),,0,2
14,1,10:23.0,Offensive rebound by J. Okafor,,0,2
15,1,10:15.0,T. McConnell makes 2-pt layup from 2 ft (assist by R. Covington),,2,2
16,1,10:01.0,,C. Lee misses 2-pt jump shot from 13 ft,2,2
17,1,9:59.0,Defensive rebound by J. Okafor,,2,2
18,1,9:47.0,J. Okafor makes 2-pt hook shot from 2 ft (assist by T. McConnell),,4,2
19,1,9:27.0,,W. Hernangómez makes 2-pt layup from 2 ft (assist by C. Lee),4,4
20,1,9:14.0,J. Okafor misses 2-pt layup from 2 ft,,4,4
21,1,9:13.0,Offensive rebound by J. Okafor,,4,4
22,1,9:12.0,J. Okafor makes 2-pt dunk at rim,,6,4
23,1,8:54.0,,Turnover by W. Hernangómez (lost ball; steal by G. Henderson),6,4
24,1,8:48.0,D. Šarić makes 2-pt layup from 1 ft (assist by G. Henderson),,8,4
25,1,8:29.0,,C. Anthony makes 2-pt jump shot from 10 ft,8,6
26,1,8:20.0,Shooting block foul by W. Hernangómez (drawn by J. Okafor),,8,6
27,1,8:20.0,J. Okafor makes free throw 1 of 2,,9,6
28,1,8:20.0,J. Okafor makes free throw 2 of 2,,10,6
29,1,8:08.0,,Turnover by L. Thomas (bad pass),10,6
30,1,7:50.0,,Violation by Team (jump ball),10,6
31,1,7:47.0,T. McConnell misses 2-pt layup from 3 ft,,10,6
32,1,7:45.0,,Defensive rebound by C. Anthony,10,6
33,1,7:27.0,,C. Lee misses 3-pt jump shot from 25 ft,10,6
34,1,7:26.0,Defensive rebound by D. Šarić,,10,6
35,1,7:19.0,D. Šarić misses 2-pt jump shot from 21 ft,,10,6
36,1,7:18.0,,Defensive rebound by D. Rose,10,6
37,1,7:12.0,,C. Anthony misses 3-pt jump shot from 25 ft,10,6
38,1,7:11.0,Defensive rebound by J. Okafor,,10,6
39,1,7:02.0,J. Okafor misses 2-pt hook shot from 5 ft,,10,6
40,1,7:01.0,,Defensive rebound by C. Anthony,10,6
41,1,6:52.0,,C. Anthony makes 2-pt jump shot from 7 ft,10,8
42,1,6:34.0,G. Henderson makes 2-pt jump shot from 10 ft,,12,8
43,1,6:09.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by W. Hernangómez),12,10
44,1,6:08.0,Philadelphia full timeout,,12,10
45,1,6:08.0,N. Stauskas enters the game for R. Covington,,12,10
46,1,6:08.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,12,10
47,1,5:55.0,D. Šarić misses 2-pt jump shot from 6 ft (block by W. Hernangómez),,12,10
48,1,5:53.0,Offensive rebound by J. Okafor,,12,10
49,1,5:46.0,J. Okafor misses 2-pt layup from 3 ft,,12,10
50,1,5:45.0,,Defensive rebound by W. Hernangómez,12,10
51,1,5:38.0,,Turnover by C. Anthony (bad pass; steal by T. McConnell),12,10
52,1,5:34.0,D. Šarić makes 2-pt dunk at rim (assist by T. McConnell),,14,10
53,1,5:21.0,,Personal foul by T. Luwawu-Cabarrot (drawn by L. Thomas),14,10
54,1,5:13.0,,C. Anthony makes 2-pt jump shot from 12 ft,14,12
55,1,5:01.0,Shooting foul by C. Anthony (drawn by D. Šarić),,14,12
56,1,5:01.0,D. Šarić makes free throw 1 of 2,,15,12
57,1,5:01.0,D. Šarić misses free throw 2 of 2,,15,12
58,1,5:01.0,,K. O'Quinn enters the game for W. Hernangómez,15,12
59,1,5:01.0,,J. Holiday enters the game for C. Lee,15,12
60,1,5:00.0,,Defensive rebound by L. Thomas,15,12
