,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:38.0,B. Biyombo makes 2-pt layup from 1 ft (assist by E. Fournier),,2,0
1,1,11:24.0,,M. Gortat misses 2-pt jump shot from 11 ft,2,0
2,1,11:23.0,Defensive rebound by E. Payton,,2,0
3,1,11:14.0,A. Gordon makes 2-pt jump shot from 20 ft,,4,0
4,1,10:54.0,,O. Porter misses 2-pt jump shot from 10 ft,4,0
5,1,10:53.0,Defensive rebound by B. Biyombo,,4,0
6,1,10:45.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by T. Ross),,7,0
7,1,10:23.0,,M. Morris misses 2-pt jump shot from 11 ft,7,0
8,1,10:22.0,Defensive rebound by E. Payton,,7,0
9,1,10:09.0,Turnover by E. Payton (bad pass; steal by B. Beal),,7,0
10,1,10:05.0,,B. Beal makes 2-pt dunk at rim,7,2
11,1,9:43.0,B. Biyombo misses 2-pt jump shot from 9 ft,,7,2
12,1,9:42.0,,Defensive rebound by M. Gortat,7,2
13,1,9:23.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),7,5
14,1,9:14.0,Shooting foul by O. Porter (drawn by B. Biyombo),,7,5
15,1,9:14.0,B. Biyombo makes free throw 1 of 2,,8,5
16,1,9:14.0,B. Biyombo makes free throw 2 of 2,,9,5
17,1,8:58.0,,Turnover by J. Wall (bad pass; steal by T. Ross),9,5
18,1,8:49.0,T. Ross misses 3-pt jump shot from 26 ft,,9,5
19,1,8:48.0,,Defensive rebound by M. Gortat,9,5
20,1,8:38.0,,B. Beal misses 2-pt jump shot from 5 ft (block by T. Ross),9,5
21,1,8:37.0,,Offensive rebound by B. Beal,9,5
22,1,8:25.0,,O. Porter misses 3-pt jump shot from 26 ft,9,5
23,1,8:24.0,Defensive rebound by B. Biyombo,,9,5
24,1,8:06.0,E. Payton makes 2-pt layup from 1 ft,,11,5
25,1,7:52.0,,M. Morris misses 2-pt jump shot from 20 ft,11,5
26,1,7:50.0,Defensive rebound by B. Biyombo,,11,5
27,1,7:43.0,A. Gordon misses 3-pt jump shot from 26 ft,,11,5
28,1,7:42.0,,Defensive rebound by J. Wall,11,5
29,1,7:36.0,,J. Wall misses 2-pt jump shot from 15 ft,11,5
30,1,7:35.0,Defensive rebound by Team,,11,5
31,1,7:35.0,,Loose ball foul by M. Gortat (drawn by B. Biyombo),11,5
32,1,7:15.0,E. Payton misses 3-pt jump shot from 26 ft,,11,5
33,1,7:15.0,,Defensive rebound by B. Beal,11,5
34,1,7:02.0,,Personal foul by T. Ross (drawn by J. Wall),11,5
35,1,7:02.0,,J. Wall misses free throw 1 of 2,11,5
36,1,7:02.0,,Offensive rebound by Team,11,5
37,1,7:02.0,,J. Wall makes free throw 2 of 2,11,6
38,1,6:52.0,E. Fournier misses 2-pt jump shot from 14 ft,,11,6
39,1,6:51.0,Offensive rebound by A. Gordon,,11,6
40,1,6:49.0,A. Gordon misses 2-pt layup from 3 ft (block by M. Morris),,11,6
41,1,6:48.0,Offensive rebound by A. Gordon,,11,6
42,1,6:46.0,A. Gordon makes 2-pt layup from 2 ft,,13,6
43,1,6:46.0,Shooting foul by M. Gortat (drawn by A. Gordon),,13,6
44,1,6:46.0,A. Gordon misses free throw 1 of 1,,13,6
45,1,6:46.0,,I. Mahinmi enters the game for M. Gortat,13,6
46,1,6:45.0,,Defensive rebound by O. Porter,13,6
47,1,6:28.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),13,9
48,1,6:19.0,Turnover by E. Payton (traveling),,13,9
