,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:35.0,J. Richardson misses 3-pt jump shot from 23 ft,,0,0
1,1,11:34.0,,Defensive rebound by K. Porziņģis,0,0
2,1,11:12.0,,K. Porziņģis misses 2-pt jump shot from 13 ft,0,0
3,1,11:10.0,Defensive rebound by G. Dragić,,0,0
4,1,10:57.0,R. McGruder misses 3-pt jump shot from 23 ft,,0,0
5,1,10:56.0,,Defensive rebound by K. Porziņģis,0,0
6,1,10:45.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,0,0
7,1,10:44.0,Defensive rebound by H. Whiteside,,0,0
8,1,10:33.0,G. Dragić makes 2-pt jump shot from 13 ft,,2,0
9,1,10:18.0,,K. Porziņģis misses 2-pt layup from 2 ft,2,0
10,1,10:17.0,,Offensive rebound by Team,2,0
11,1,10:12.0,,R. Baker makes 2-pt layup at rim,2,2
12,1,9:44.0,R. McGruder makes 2-pt jump shot from 9 ft,,4,2
13,1,9:28.0,,C. Lee makes 2-pt jump shot from 17 ft,4,4
14,1,9:28.0,,Shooting foul by R. McGruder (drawn by C. Lee),4,4
15,1,9:28.0,,C. Lee makes free throw 1 of 1,4,5
16,1,9:11.0,L. Babbitt misses 3-pt jump shot from 27 ft,,4,5
17,1,9:10.0,,Defensive rebound by C. Anthony,4,5
18,1,9:07.0,,Turnover by C. Anthony (bad pass),4,5
19,1,8:52.0,R. McGruder makes 2-pt jump shot from 14 ft (assist by G. Dragić),,6,5
20,1,8:31.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by W. Hernangómez),6,8
21,1,8:14.0,G. Dragić makes 2-pt layup from 1 ft,,8,8
22,1,8:00.0,,C. Lee misses 2-pt layup from 3 ft,8,8
23,1,7:59.0,Defensive rebound by Team,,8,8
24,1,7:59.0,,Loose ball foul by W. Hernangómez (drawn by H. Whiteside),8,8
25,1,7:43.0,G. Dragić misses 2-pt jump shot from 14 ft,,8,8
26,1,7:42.0,Offensive rebound by G. Dragić,,8,8
27,1,7:38.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),,11,8
28,1,7:26.0,,Turnover by R. Baker (lost ball; steal by G. Dragić),11,8
29,1,7:20.0,J. Richardson makes 2-pt layup from 1 ft (assist by G. Dragić),,13,8
30,1,7:06.0,,Personal foul by R. McGruder (drawn by C. Anthony),13,8
31,1,7:06.0,J. Johnson enters the game for R. McGruder,,13,8
32,1,7:02.0,Violation by G. Dragić (kicked ball),,13,8
33,1,6:52.0,,W. Hernangómez makes 2-pt layup from 1 ft (assist by R. Baker),13,10
34,1,6:31.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. Johnson),,16,10
35,1,6:11.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),16,13
36,1,6:01.0,G. Dragić misses 3-pt jump shot from 23 ft,,16,13
37,1,6:00.0,,Defensive rebound by C. Anthony,16,13
38,1,5:49.0,,Shooting foul by J. Johnson (drawn by K. Porziņģis),16,13
39,1,5:49.0,,New York full timeout,16,13
40,1,5:49.0,,K. Porziņģis misses free throw 1 of 2,16,13
41,1,5:49.0,,Offensive rebound by Team,16,13
42,1,5:49.0,W. Reed enters the game for H. Whiteside,,16,13
43,1,5:49.0,,K. Porziņģis makes free throw 2 of 2,16,14
44,1,5:33.0,G. Dragić makes 2-pt jump shot from 4 ft,,18,14
