,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:40.0,J. Valančiūnas makes 2-pt hook shot from 7 ft,,2,0
1,1,11:26.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),2,3
2,1,11:07.0,P. Patterson misses 3-pt jump shot from 24 ft (block by S. Ibaka),,2,3
3,1,11:04.0,Offensive rebound by K. Lowry,,2,3
4,1,11:02.0,D. Carroll misses 2-pt jump shot from 19 ft,,2,3
5,1,11:01.0,,Defensive rebound by S. Ibaka,2,3
6,1,10:57.0,,Shooting foul by N. Powell (drawn by E. Fournier),2,3
7,1,10:57.0,,E. Fournier misses free throw 1 of 2,2,3
8,1,10:57.0,,Offensive rebound by Team,2,3
9,1,10:57.0,,E. Fournier makes free throw 2 of 2,2,4
10,1,10:43.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,4,4
11,1,10:26.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Fournier),4,6
12,1,10:11.0,K. Lowry misses 3-pt jump shot from 26 ft,,4,6
13,1,10:10.0,Offensive rebound by N. Powell,,4,6
14,1,9:51.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by K. Lowry),,6,6
15,1,9:33.0,,N. Vučević misses 2-pt jump shot from 13 ft,6,6
16,1,9:32.0,,Offensive rebound by E. Fournier,6,6
17,1,9:18.0,,S. Ibaka makes 3-pt jump shot from 27 ft (assist by N. Vučević),6,9
18,1,9:06.0,Offensive foul by K. Lowry (drawn by E. Payton),,6,9
19,1,9:06.0,Turnover by K. Lowry (offensive foul),,6,9
20,1,8:49.0,,Turnover by N. Vučević (bad pass; steal by D. Carroll),6,9
21,1,8:39.0,N. Powell makes 2-pt dunk at rim,,8,9
22,1,8:30.0,,E. Payton misses 2-pt layup from 2 ft (block by P. Patterson),8,9
23,1,8:28.0,,Offensive rebound by S. Ibaka,8,9
24,1,8:28.0,,S. Ibaka makes 2-pt dunk at rim,8,11
25,1,8:18.0,Personal foul by S. Ibaka (drawn by J. Valančiūnas),,8,11
26,1,8:09.0,N. Powell makes 3-pt jump shot from 26 ft (assist by K. Lowry),,11,11
27,1,7:50.0,,S. Ibaka makes 2-pt jump shot from 8 ft (assist by N. Vučević),11,13
28,1,7:40.0,K. Lowry makes 2-pt layup from 2 ft,,13,13
29,1,7:14.0,,E. Fournier misses 3-pt jump shot from 27 ft,13,13
30,1,7:12.0,Defensive rebound by J. Valančiūnas,,13,13
31,1,7:05.0,Toronto full timeout,,13,13
32,1,6:56.0,Shooting foul by N. Vučević (drawn by J. Valančiūnas),,13,13
33,1,6:56.0,J. Valančiūnas makes free throw 1 of 2,,14,13
34,1,6:56.0,J. Valančiūnas misses free throw 2 of 2,,14,13
