,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,M. Gortat misses 2-pt jump shot from 13 ft,0,0
1,1,11:44.0,Defensive rebound by K. Love,,0,0
2,1,11:23.0,K. Love makes 2-pt hook shot from 8 ft,,2,0
3,1,11:14.0,,Turnover by J. Wall (bad pass; steal by K. Irving),2,0
4,1,11:06.0,I. Shumpert misses 3-pt jump shot from 24 ft,,2,0
5,1,11:05.0,Offensive rebound by T. Thompson,,2,0
6,1,10:57.0,K. Love makes 3-pt jump shot from 26 ft (assist by L. James),,5,0
7,1,10:43.0,,J. Wall makes 2-pt layup from 2 ft,5,2
8,1,10:37.0,K. Irving makes 2-pt jump shot from 7 ft,,7,2
9,1,10:29.0,,B. Beal makes 2-pt jump shot from 17 ft,7,4
10,1,10:11.0,K. Love misses 2-pt layup from 2 ft (block by M. Gortat),,7,4
11,1,10:10.0,,Defensive rebound by J. Wall,7,4
12,1,10:01.0,,M. Gortat misses 2-pt layup from 2 ft,7,4
13,1,10:01.0,Defensive rebound by T. Thompson,,7,4
14,1,9:56.0,L. James makes 2-pt dunk at rim (assist by T. Thompson),,9,4
15,1,9:34.0,,B. Beal makes 2-pt layup from 1 ft (assist by M. Gortat),9,6
16,1,9:18.0,T. Thompson misses 2-pt jump shot from 7 ft,,9,6
17,1,9:17.0,Offensive rebound by K. Love,,9,6
18,1,9:16.0,,Offensive charge foul by K. Love (drawn by O. Porter),9,6
19,1,9:16.0,Turnover by K. Love (offensive foul),,9,6
20,1,9:09.0,,J. Wall misses 3-pt jump shot from 28 ft,9,6
21,1,9:08.0,Defensive rebound by I. Shumpert,,9,6
22,1,8:56.0,I. Shumpert misses 2-pt jump shot from 19 ft,,9,6
23,1,8:55.0,,Defensive rebound by M. Morris,9,6
24,1,8:45.0,,B. Beal misses 3-pt jump shot from 23 ft,9,6
25,1,8:44.0,,Offensive rebound by M. Gortat,9,6
26,1,8:33.0,,Turnover by J. Wall (bad pass; steal by K. Love),9,6
27,1,8:29.0,Shooting foul by M. Morris (drawn by T. Thompson),,9,6
28,1,8:29.0,T. Thompson makes free throw 1 of 2,,10,6
29,1,8:29.0,T. Thompson misses free throw 2 of 2,,10,6
30,1,8:28.0,,Defensive rebound by M. Morris,10,6
31,1,8:17.0,,M. Morris misses 2-pt jump shot from 15 ft,10,6
32,1,8:17.0,,Offensive rebound by M. Gortat,10,6
33,1,8:13.0,,M. Gortat misses 2-pt hook shot from 7 ft,10,6
34,1,8:12.0,Defensive rebound by L. James,,10,6
35,1,7:55.0,K. Irving makes 3-pt jump shot from 26 ft (assist by L. James),,13,6
36,1,7:43.0,,Shooting foul by I. Shumpert (drawn by J. Wall),13,6
37,1,7:43.0,,J. Wall makes free throw 1 of 2,13,7
38,1,7:43.0,,J. Wall makes free throw 2 of 2,13,8
39,1,7:26.0,Shooting foul by M. Morris (drawn by K. Love),,13,8
40,1,7:26.0,K. Love makes free throw 1 of 2,,14,8
41,1,7:26.0,,K. Oubre enters the game for M. Morris,14,8
42,1,7:26.0,K. Love makes free throw 2 of 2,,15,8
43,1,7:16.0,,Personal foul by L. James (drawn by O. Porter),15,8
44,1,7:01.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),15,10
45,1,6:51.0,Shooting foul by K. Oubre (drawn by L. James),,15,10
46,1,6:51.0,L. James makes free throw 1 of 2,,16,10
47,1,6:51.0,L. James misses free throw 2 of 2,,16,10
48,1,6:50.0,,Defensive rebound by M. Gortat,16,10
49,1,6:39.0,,Def 3 sec tech foul by T. Thompson,16,10
50,1,6:39.0,,B. Beal makes technical free throw,16,11
51,1,6:33.0,,B. Beal makes 2-pt layup from 1 ft,16,13
52,1,6:24.0,Turnover by K. Irving (lost ball; steal by J. Wall),,16,13
53,1,6:10.0,,K. Oubre misses 3-pt jump shot from 22 ft,16,13
54,1,6:09.0,Defensive rebound by L. James,,16,13
55,1,6:01.0,T. Thompson makes 2-pt jump shot from 8 ft (assist by L. James),,18,13
56,1,5:53.0,,Washington full timeout,18,13
57,1,5:41.0,,O. Porter makes 3-pt jump shot from 28 ft (assist by J. Wall),18,16
58,1,5:24.0,T. Thompson makes 2-pt jump shot from 8 ft (assist by K. Irving),,20,16
59,1,5:07.0,,J. Wall makes 2-pt dunk at rim,20,18
60,1,4:54.0,K. Irving misses 3-pt jump shot from 25 ft,,20,18
61,1,4:53.0,,Defensive rebound by O. Porter,20,18
62,1,4:44.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by O. Porter),20,21
63,1,4:26.0,Personal foul by J. Wall (drawn by I. Shumpert),,20,21
64,1,4:17.0,K. Irving misses 2-pt jump shot from 18 ft,,20,21
65,1,4:16.0,,Defensive rebound by B. Beal,20,21
66,1,4:09.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by B. Beal),20,23
67,1,3:51.0,Shooting foul by O. Porter (drawn by K. Love),,20,23
68,1,3:51.0,K. Love makes free throw 1 of 2,,21,23
69,1,3:51.0,K. Love makes free throw 2 of 2,,22,23
70,1,3:39.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),22,25
71,1,3:13.0,L. James makes 3-pt jump shot from 29 ft,,25,25
72,1,2:58.0,,K. Oubre misses 3-pt jump shot from 23 ft,25,25
73,1,2:57.0,Defensive rebound by K. Love,,25,25
74,1,2:44.0,Def 3 sec tech foul by B. Beal,,25,25
75,1,2:44.0,Cleveland full timeout,,25,25
76,1,2:44.0,,T. Burke enters the game for B. Beal,25,25
77,1,2:44.0,K. Korver enters the game for L. James,,25,25
78,1,2:44.0,K. Irving makes technical free throw,,26,25
79,1,2:38.0,K. Love misses 2-pt jump shot from 19 ft,,26,25
80,1,2:38.0,,Defensive rebound by O. Porter,26,25
81,1,2:30.0,,J. Wall misses 2-pt layup at rim,26,25
82,1,2:30.0,,Offensive rebound by M. Gortat,26,25
83,1,2:30.0,,Personal foul by K. Irving (drawn by M. Gortat),26,25
84,1,2:15.0,,Shooting foul by I. Shumpert (drawn by M. Gortat),26,25
85,1,2:15.0,,M. Gortat makes free throw 1 of 2,26,26
86,1,2:15.0,R. Jefferson enters the game for I. Shumpert,,26,26
87,1,2:15.0,,M. Gortat makes free throw 2 of 2,26,27
88,1,1:57.0,K. Irving misses 2-pt jump shot from 18 ft,,26,27
89,1,1:56.0,,Defensive rebound by K. Oubre,26,27
90,1,1:50.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by J. Wall),26,30
91,1,1:32.0,Turnover by K. Irving (bad pass; steal by O. Porter),,26,30
92,1,1:17.0,,J. Wall misses 2-pt jump shot from 17 ft,26,30
93,1,1:16.0,Defensive rebound by T. Thompson,,26,30
94,1,1:10.0,Turnover by K. Korver (bad pass; steal by K. Oubre),,26,30
95,1,1:07.0,,Turnover by J. Wall (lost ball; steal by K. Love),26,30
96,1,0:59.0,K. Korver misses 3-pt jump shot from 24 ft,,26,30
97,1,0:58.0,,Defensive rebound by O. Porter,26,30
98,1,0:52.0,,J. Wall misses 2-pt layup at rim,26,30
99,1,0:52.0,,Offensive rebound by K. Oubre,26,30
100,1,0:52.0,,K. Oubre makes 2-pt layup from 1 ft,26,32
101,1,0:52.0,,Violation by Team (jump ball),26,32
102,1,0:31.0,R. Jefferson misses 3-pt jump shot from 24 ft,,26,32
103,1,0:30.0,,Defensive rebound by J. Wall,26,32
104,1,0:24.0,,J. Wall misses 2-pt layup from 1 ft,26,32
105,1,0:23.0,Defensive rebound by T. Thompson,,26,32
106,1,0:01.0,K. Irving misses 2-pt jump shot from 21 ft,,26,32
107,1,0:00.0,,Defensive rebound by K. Oubre,26,32
108,2,11:55.0,L. James misses 2-pt dunk at rim,,26,32
109,2,11:53.0,,Defensive rebound by T. Satoranský,26,32
110,2,11:34.0,,J. Smith misses 2-pt jump shot from 6 ft (block by L. James),26,32
111,2,11:34.0,,Offensive rebound by Team,26,32
112,2,11:30.0,,T. Burke misses 2-pt jump shot from 12 ft,26,32
113,2,11:28.0,Defensive rebound by L. James,,26,32
114,2,11:24.0,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),,29,32
115,2,11:10.0,,Personal foul by K. Korver (drawn by T. Satoranský),29,32
116,2,11:05.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Burke),29,35
117,2,10:48.0,R. Jefferson makes 2-pt dunk at rim (assist by L. James),,31,35
118,2,10:33.0,,T. Satoranský misses 2-pt jump shot from 5 ft,31,35
119,2,10:32.0,Defensive rebound by K. Felder,,31,35
120,2,10:27.0,L. James misses 2-pt jump shot from 6 ft,,31,35
121,2,10:26.0,,Defensive rebound by J. Smith,31,35
122,2,10:15.0,,M. Morris enters the game for O. Porter,31,35
123,2,10:02.0,,J. Smith makes 2-pt jump shot from 8 ft,31,37
124,2,9:47.0,Personal foul by K. Oubre (drawn by L. James),,31,37
125,2,9:43.0,Turnover by L. James (lost ball; steal by K. Oubre),,31,37
126,2,9:37.0,,Turnover by T. Burke (bad pass),31,37
127,2,9:17.0,K. Felder misses 2-pt layup from 2 ft (block by J. Smith),,31,37
128,2,9:15.0,,Defensive rebound by T. Burke,31,37
129,2,9:09.0,,M. Morris misses 3-pt jump shot from 27 ft,31,37
130,2,9:08.0,,Offensive rebound by J. Smith,31,37
131,2,8:59.0,,M. Morris misses 2-pt jump shot from 9 ft,31,37
132,2,8:58.0,Defensive rebound by C. Frye,,31,37
133,2,8:48.0,L. James makes 2-pt layup from 1 ft,,33,37
134,2,8:47.0,,Washington full timeout,33,37
135,2,8:47.0,,B. Beal enters the game for T. Burke,33,37
136,2,8:33.0,,M. Morris makes 2-pt jump shot from 11 ft,33,39
137,2,8:18.0,L. James makes 2-pt layup from 1 ft,,35,39
138,2,8:01.0,,B. Beal misses 3-pt jump shot from 25 ft,35,39
139,2,8:00.0,,Offensive rebound by J. Smith,35,39
140,2,7:50.0,,Turnover by M. Morris (lost ball; steal by K. Felder),35,39
141,2,7:43.0,L. James makes 2-pt layup from 1 ft,,37,39
142,2,7:29.0,,J. Smith makes 2-pt jump shot from 17 ft (assist by B. Beal),37,41
143,2,7:13.0,C. Frye misses 3-pt jump shot from 27 ft,,37,41
144,2,7:12.0,,Defensive rebound by J. Smith,37,41
145,2,7:04.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by B. Beal),37,43
146,2,6:47.0,Offensive foul by C. Frye (drawn by J. Smith),,37,43
147,2,6:47.0,Turnover by C. Frye (offensive foul),,37,43
148,2,6:47.0,,J. Wall enters the game for T. Satoranský,37,43
149,2,6:47.0,K. Irving enters the game for K. Felder,,37,43
150,2,6:33.0,,B. Beal makes 2-pt jump shot from 7 ft,37,45
151,2,6:31.0,Cleveland full timeout,,37,45
152,2,6:16.0,C. Frye makes 2-pt dunk at rim (assist by L. James),,39,45
153,2,5:56.0,,B. Beal makes 2-pt jump shot from 9 ft,39,47
154,2,5:41.0,Turnover by K. Korver (bad pass; steal by K. Oubre),,39,47
155,2,5:27.0,,J. Smith misses 2-pt jump shot from 14 ft,39,47
156,2,5:26.0,Defensive rebound by L. James,,39,47
157,2,5:17.0,K. Korver misses 3-pt jump shot from 23 ft,,39,47
158,2,5:17.0,Offensive rebound by K. Korver,,39,47
159,2,5:13.0,K. Korver misses 2-pt jump shot from 20 ft,,39,47
160,2,5:12.0,Offensive rebound by R. Jefferson,,39,47
161,2,5:10.0,R. Jefferson makes 2-pt layup from 1 ft,,41,47
162,2,4:59.0,,Personal foul by R. Jefferson (drawn by B. Beal),41,47
163,2,4:59.0,,O. Porter enters the game for J. Smith,41,47
164,2,4:59.0,K. Love enters the game for K. Korver,,41,47
