,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:44.0,,Shooting foul by M. Chriss (drawn by J. Harden),0,0
1,1,11:44.0,,J. Harden makes free throw 1 of 2,0,1
2,1,11:44.0,,J. Harden misses free throw 2 of 2,0,1
3,1,11:43.0,,Offensive rebound by J. Harden,0,1
4,1,11:39.0,,R. Anderson misses 3-pt jump shot from 25 ft,0,1
5,1,11:39.0,Defensive rebound by D. Booker,,0,1
6,1,11:20.0,A. Len misses 2-pt jump shot from 9 ft,,0,1
7,1,11:19.0,,Defensive rebound by C. Capela,0,1
8,1,11:15.0,Offensive charge foul by J. Harden (drawn by M. Chriss),,0,1
9,1,11:15.0,,Turnover by J. Harden (offensive foul),0,1
10,1,11:01.0,Turnover by D. Booker (bad pass; steal by T. Ariza),,0,1
11,1,10:52.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by T. Ariza),0,4
12,1,10:29.0,M. Chriss misses 3-pt jump shot from 25 ft,,0,4
13,1,10:28.0,,Defensive rebound by P. Beverley,0,4
14,1,10:08.0,,P. Beverley makes 2-pt layup from 2 ft,0,6
15,1,10:08.0,,Shooting foul by T. Warren (drawn by P. Beverley),0,6
16,1,10:08.0,,P. Beverley makes free throw 1 of 1,0,7
17,1,10:08.0,Phoenix full timeout,,0,7
18,1,9:48.0,D. Booker misses 3-pt jump shot from 26 ft,,0,7
19,1,9:47.0,,Defensive rebound by P. Beverley,0,7
20,1,9:42.0,,Turnover by J. Harden (bad pass),0,7
21,1,9:27.0,M. Chriss misses 2-pt jump shot from 14 ft,,0,7
22,1,9:26.0,,Defensive rebound by P. Beverley,0,7
23,1,9:19.0,,J. Harden makes 3-pt jump shot from 26 ft,0,10
24,1,9:05.0,B. Knight misses 2-pt jump shot from 20 ft,,0,10
25,1,9:04.0,,Defensive rebound by T. Ariza,0,10
26,1,8:58.0,,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),0,13
27,1,8:46.0,D. Booker makes 2-pt layup from 1 ft,,2,13
28,1,8:46.0,Shooting block foul by T. Ariza (drawn by D. Booker),,2,13
29,1,8:46.0,P. Tucker enters the game for T. Warren,,2,13
30,1,8:46.0,D. Booker makes free throw 1 of 1,,3,13
