,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
0,1,11:35.0,J. Ennis misses 2-pt jump shot from 20 ft,,0,0
1,1,11:34.0,,Defensive rebound by Team,0,0
2,1,11:34.0,Loose ball foul by J. Green (drawn by A. Johnson),,0,0
3,1,11:22.0,,J. Crowder makes 2-pt jump shot from 7 ft (assist by A. Johnson),0,2
4,1,11:12.0,Def 3 sec tech foul by A. Johnson,,0,2
5,1,11:12.0,M. Gasol misses technical free throw,,0,2
6,1,11:12.0,Offensive rebound by Team,,0,2
7,1,11:01.0,A. Harrison makes 2-pt layup at rim (assist by M. Gasol),,2,2
8,1,10:43.0,,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Bradley),2,5
9,1,10:31.0,Personal block foul by A. Horford (drawn by M. Gasol),,2,5
10,1,10:19.0,A. Harrison misses 2-pt jump shot from 12 ft,,2,5
11,1,10:18.0,,Defensive rebound by A. Johnson,2,5
12,1,10:10.0,,Turnover by A. Bradley (lost ball),2,5
13,1,9:57.0,M. Gasol makes 2-pt jump shot from 19 ft,,4,5
14,1,9:46.0,,A. Johnson misses 2-pt hook shot from 2 ft,4,5
15,1,9:45.0,Defensive rebound by J. Green,,4,5
16,1,9:36.0,Turnover by J. Green (lost ball),,4,5
17,1,9:20.0,,Turnover by A. Horford (bad pass),4,5
18,1,9:10.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by J. Green),,7,5
19,1,8:53.0,,Turnover by A. Horford (bad pass; steal by J. Green),7,5
20,1,8:41.0,T. Allen misses 2-pt jump shot from 6 ft,,7,5
21,1,8:40.0,,Defensive rebound by A. Johnson,7,5
22,1,8:35.0,,I. Thomas makes 2-pt jump shot from 4 ft,7,7
23,1,8:04.0,M. Gasol makes 2-pt jump shot from 5 ft,,9,7
24,1,7:44.0,,Turnover by A. Horford (bad pass; steal by T. Allen),9,7
25,1,7:38.0,J. Green misses 2-pt layup from 1 ft (block by A. Horford),,9,7
26,1,7:36.0,,Defensive rebound by A. Bradley,9,7
27,1,7:32.0,,A. Johnson makes 2-pt dunk at rim (assist by A. Bradley),9,9
28,1,7:20.0,Technical foul by J. Green,,9,9
