,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,M. Conley makes 2-pt layup from 2 ft,0,2
1,1,11:23.0,M. Turner misses 2-pt jump shot from 9 ft,,0,2
2,1,11:23.0,,Defensive rebound by J. Ennis,0,2
3,1,11:14.0,,B. Wright misses 2-pt jump shot from 11 ft,0,2
4,1,11:13.0,Defensive rebound by T. Young,,0,2
5,1,11:06.0,Personal foul by V. Carter (drawn by T. Young),,0,2
6,1,10:59.0,J. Teague misses 3-pt jump shot from 26 ft,,0,2
7,1,10:58.0,,Defensive rebound by J. Ennis,0,2
8,1,10:40.0,,V. Carter makes 3-pt jump shot from 28 ft (assist by M. Conley),0,5
9,1,10:28.0,P. George misses 2-pt jump shot from 20 ft,,0,5
10,1,10:28.0,,Defensive rebound by V. Carter,0,5
11,1,10:11.0,,J. Ennis misses 3-pt jump shot from 24 ft,0,5
12,1,10:10.0,Defensive rebound by P. George,,0,5
13,1,9:47.0,P. George misses 2-pt jump shot from 22 ft,,0,5
14,1,9:45.0,,Defensive rebound by V. Carter,0,5
15,1,9:27.0,,M. Conley misses 2-pt layup from 1 ft,0,5
16,1,9:24.0,Defensive rebound by P. George,,0,5
17,1,9:17.0,T. Young makes 2-pt layup from 1 ft (assist by J. Teague),,2,5
18,1,8:53.0,,B. Wright makes 2-pt jump shot from 6 ft (assist by M. Conley),2,7
19,1,8:41.0,Shooting foul by J. Ennis (drawn by P. George),,2,7
20,1,8:41.0,P. George misses free throw 1 of 2,,2,7
21,1,8:41.0,Offensive rebound by Team,,2,7
22,1,8:41.0,P. George makes free throw 2 of 2,,3,7
23,1,8:28.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by J. Ennis),3,10
24,1,8:18.0,J. Teague misses 3-pt jump shot from 26 ft,,3,10
25,1,8:18.0,,Defensive rebound by B. Wright,3,10
