,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:38.0,Turnover by D. Gallinari (bad pass; steal by M. Chriss),,0,0
1,1,11:14.0,,M. Chriss misses 2-pt jump shot from 22 ft,0,0
2,1,11:14.0,,Offensive rebound by E. Bledsoe,0,0
3,1,10:58.0,,T. Warren makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),0,2
4,1,10:46.0,G. Harris misses 3-pt jump shot from 26 ft,,0,2
5,1,10:45.0,,Defensive rebound by E. Bledsoe,0,2
6,1,10:36.0,,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),0,4
7,1,10:20.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by G. Harris),,3,4
8,1,9:59.0,,T. Warren makes 2-pt layup from 2 ft,3,6
9,1,9:46.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nelson),,6,6
10,1,9:25.0,,T. Warren misses 2-pt jump shot from 17 ft,6,6
11,1,9:23.0,Defensive rebound by K. Faried,,6,6
12,1,9:14.0,J. Nelson misses 3-pt jump shot from 28 ft,,6,6
13,1,9:14.0,,Defensive rebound by M. Chriss,6,6
14,1,9:01.0,,D. Booker misses 2-pt layup from 2 ft (block by K. Faried),6,6
15,1,9:00.0,Defensive rebound by J. Nurkić,,6,6
16,1,8:54.0,G. Harris misses 2-pt layup from 1 ft,,6,6
17,1,8:54.0,Offensive rebound by K. Faried,,6,6
18,1,8:50.0,K. Faried misses 2-pt hook shot from 1 ft,,6,6
19,1,8:50.0,,Defensive rebound by T. Chandler,6,6
20,1,8:44.0,,D. Booker makes 2-pt jump shot from 3 ft,6,8
21,1,8:38.0,,Violation by E. Bledsoe (kicked ball),6,8
22,1,8:34.0,G. Harris misses 2-pt layup from 2 ft,,6,8
23,1,8:34.0,Offensive rebound by G. Harris,,6,8
24,1,8:31.0,G. Harris makes 2-pt layup from 1 ft,,8,8
25,1,8:23.0,,T. Chandler misses 2-pt dunk at rim,8,8
26,1,8:20.0,,Offensive rebound by T. Warren,8,8
27,1,8:16.0,,T. Warren misses 2-pt jump shot from 9 ft,8,8
28,1,8:15.0,,Offensive rebound by T. Warren,8,8
29,1,8:13.0,,T. Warren misses 2-pt jump shot from 5 ft,8,8
30,1,8:12.0,,Offensive rebound by T. Warren,8,8
31,1,8:08.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,8,8
32,1,8:07.0,Defensive rebound by G. Harris,,8,8
33,1,8:01.0,G. Harris misses 3-pt jump shot from 25 ft,,8,8
34,1,8:00.0,Offensive rebound by D. Gallinari,,8,8
35,1,7:56.0,D. Gallinari misses 3-pt jump shot from 26 ft,,8,8
36,1,7:55.0,,Defensive rebound by T. Chandler,8,8
37,1,7:48.0,,T. Warren misses 2-pt layup from 2 ft,8,8
38,1,7:46.0,Defensive rebound by J. Nurkić,,8,8
39,1,7:37.0,Shooting foul by M. Chriss (drawn by D. Gallinari),,8,8
40,1,7:37.0,D. Gallinari makes free throw 1 of 2,,9,8
41,1,7:37.0,D. Gallinari makes free throw 2 of 2,,10,8
42,1,7:27.0,,E. Bledsoe makes 2-pt layup from 3 ft,10,10
43,1,7:20.0,Offensive foul by J. Nelson (drawn by E. Bledsoe),,10,10
44,1,7:20.0,Turnover by J. Nelson (offensive foul),,10,10
45,1,7:20.0,Technical foul by J. Nelson,,10,10
46,1,7:20.0,,E. Bledsoe makes technical free throw,10,11
47,1,7:13.0,,Shooting foul by G. Harris (drawn by D. Booker),10,11
48,1,7:13.0,,D. Booker misses free throw 1 of 2,10,11
49,1,7:13.0,,Offensive rebound by Team,10,11
50,1,7:13.0,,D. Booker makes free throw 2 of 2,10,12
51,1,7:00.0,J. Nurkić misses 2-pt jump shot from 19 ft,,10,12
52,1,7:00.0,,Defensive rebound by E. Bledsoe,10,12
53,1,6:54.0,,E. Bledsoe makes 3-pt jump shot from 25 ft,10,15
54,1,6:26.0,J. Nurkić makes 2-pt layup from 2 ft (assist by G. Harris),,12,15
55,1,6:12.0,,D. Booker makes 2-pt jump shot from 4 ft,12,17
56,1,5:59.0,Personal foul by T. Warren,,12,17
57,1,5:59.0,,Phoenix full timeout,12,17
58,1,5:59.0,W. Chandler enters the game for K. Faried,,12,17
59,1,5:47.0,Turnover by J. Nurkić (lost ball; steal by M. Chriss),,12,17
60,1,5:37.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,12,17
61,1,5:34.0,Defensive rebound by D. Gallinari,,12,17
62,1,5:20.0,W. Chandler misses 3-pt jump shot from 24 ft,,12,17
63,1,5:20.0,,Defensive rebound by T. Chandler,12,17
64,1,5:11.0,,E. Bledsoe makes 2-pt jump shot from 4 ft,12,19
65,1,5:01.0,W. Chandler misses 2-pt jump shot from 13 ft (block by M. Chriss),,12,19
66,1,5:00.0,,Defensive rebound by D. Booker,12,19
67,1,4:58.0,,Personal foul by W. Chandler (drawn by M. Chriss),12,19
68,1,4:58.0,D. Arthur enters the game for J. Nurkić,,12,19
69,1,4:58.0,W. Barton enters the game for G. Harris,,12,19
70,1,4:48.0,,T. Chandler makes 2-pt layup from 1 ft (assist by D. Booker),12,21
71,1,4:48.0,,Shooting foul by D. Arthur (drawn by T. Chandler),12,21
72,1,4:48.0,,T. Chandler makes free throw 1 of 1,12,22
