,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,G. Antetokounmpo makes 3-pt jump shot from 30 ft (assist by J. Parker),0,3
1,1,11:17.0,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo),,0,3
2,1,11:11.0,,Shooting foul by T. Gibson (drawn by J. Parker),0,3
3,1,11:11.0,,J. Parker misses free throw 1 of 2,0,3
4,1,11:11.0,,Offensive rebound by Team,0,3
5,1,11:11.0,,J. Parker misses free throw 2 of 2,0,3
6,1,11:10.0,Defensive rebound by R. Rondo,,0,3
7,1,10:52.0,T. Gibson makes 2-pt layup from 2 ft (assist by R. Rondo),,2,3
8,1,10:37.0,,J. Henson makes 2-pt hook shot from 4 ft (assist by G. Antetokounmpo),2,5
9,1,10:21.0,T. Gibson misses 2-pt hook shot from 4 ft,,2,5
10,1,10:19.0,,Defensive rebound by J. Henson,2,5
11,1,10:12.0,,G. Antetokounmpo makes 2-pt jump shot from 21 ft,2,7
12,1,9:52.0,J. Butler makes 2-pt jump shot from 15 ft (assist by R. Lopez),,4,7
13,1,9:37.0,,T. Snell misses 3-pt jump shot from 25 ft,4,7
14,1,9:36.0,Defensive rebound by R. Rondo,,4,7
15,1,9:19.0,R. Lopez makes 2-pt hook shot from 3 ft (assist by D. Wade),,6,7
16,1,9:04.0,,J. Parker makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),6,10
17,1,8:52.0,J. Butler makes 2-pt jump shot from 15 ft,,8,10
18,1,8:39.0,,J. Henson misses 2-pt layup from 1 ft,8,10
19,1,8:37.0,Defensive rebound by D. Wade,,8,10
20,1,8:21.0,T. Gibson misses 2-pt jump shot from 11 ft,,8,10
21,1,8:20.0,,Defensive rebound by J. Parker,8,10
22,1,8:15.0,,J. Parker makes 2-pt layup from 1 ft,8,12
23,1,7:58.0,R. Lopez misses 2-pt hook shot from 6 ft,,8,12
24,1,7:55.0,,Defensive rebound by G. Antetokounmpo,8,12
25,1,7:53.0,,J. Parker makes 2-pt layup from 1 ft (assist by T. Snell),8,14
26,1,7:53.0,,Shooting foul by J. Butler (drawn by J. Parker),8,14
27,1,7:53.0,,J. Parker misses free throw 1 of 1,8,14
28,1,7:51.0,Defensive rebound by T. Gibson,,8,14
29,1,7:38.0,Turnover by R. Rondo (bad pass),,8,14
30,1,7:38.0,,M. Brogdon enters the game for M. Dellavedova,8,14
31,1,7:28.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,8,16
32,1,7:27.0,Chicago full timeout,,8,16
33,1,7:03.0,J. Butler makes 2-pt layup at rim,,10,16
34,1,6:46.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,10,16
35,1,6:45.0,Defensive rebound by R. Lopez,,10,16
36,1,6:34.0,J. Butler misses 2-pt jump shot from 4 ft,,10,16
37,1,6:32.0,,Defensive rebound by G. Antetokounmpo,10,16
38,1,6:28.0,,M. Brogdon makes 2-pt layup from 1 ft,10,18
39,1,6:10.0,,M. Teletović enters the game for G. Antetokounmpo,10,18
40,1,6:04.0,R. Rondo misses 3-pt jump shot from 27 ft,,10,18
41,1,6:02.0,,Defensive rebound by J. Henson,10,18
42,1,5:52.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by M. Brogdon),10,21
43,1,5:30.0,D. Wade makes 2-pt hook shot from 3 ft (assist by T. Gibson),,12,21
44,1,5:17.0,,Shooting foul by D. Wade (drawn by J. Henson),12,21
45,1,5:17.0,,J. Henson misses free throw 1 of 2,12,21
46,1,5:17.0,,Offensive rebound by Team,12,21
47,1,5:17.0,,Turnover by M. Teletović (lane violation.),12,21
48,1,5:17.0,D. McDermott enters the game for D. Wade,,12,21
49,1,5:06.0,Turnover by R. Rondo (bad pass; steal by J. Henson),,12,21
50,1,5:02.0,,J. Parker makes 2-pt dunk at rim (assist by J. Henson),12,23
51,1,4:40.0,R. Lopez misses 2-pt jump shot from 18 ft,,12,23
52,1,4:38.0,,Defensive rebound by T. Snell,12,23
53,1,4:25.0,,J. Henson misses 2-pt dunk at rim,12,23
54,1,4:23.0,,Offensive rebound by M. Brogdon,12,23
55,1,4:15.0,,Turnover by M. Brogdon (lost ball; steal by R. Rondo),12,23
56,1,4:08.0,T. Gibson makes 2-pt layup at rim (assist by J. Butler),,14,23
57,1,3:47.0,,T. Snell misses 2-pt jump shot from 9 ft,14,23
58,1,3:46.0,Defensive rebound by D. McDermott,,14,23
59,1,3:29.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Lopez),,16,23
60,1,3:29.0,,Milwaukee full timeout,16,23
61,1,3:29.0,B. Portis enters the game for T. Gibson,,16,23
62,1,3:29.0,,G. Monroe enters the game for J. Parker,16,23
63,1,3:29.0,,J. Terry enters the game for J. Henson,16,23
64,1,3:29.0,,G. Antetokounmpo enters the game for T. Snell,16,23
65,1,3:12.0,,G. Monroe misses 2-pt hook shot from 6 ft,16,23
66,1,3:11.0,Defensive rebound by D. McDermott,,16,23
67,1,2:47.0,R. Rondo misses 2-pt jump shot from 9 ft,,16,23
68,1,2:45.0,,Defensive rebound by G. Monroe,16,23
69,1,2:26.0,,M. Teletović makes 2-pt jump shot from 12 ft,16,25
70,1,2:14.0,D. McDermott makes 2-pt jump shot from 1 ft (assist by R. Rondo),,18,25
71,1,1:53.0,,G. Monroe misses 2-pt layup from 1 ft,18,25
72,1,1:51.0,Defensive rebound by B. Portis,,18,25
73,1,1:47.0,Turnover by D. McDermott (traveling),,18,25
74,1,1:47.0,,M. Dellavedova enters the game for M. Brogdon,18,25
75,1,1:47.0,D. Wade enters the game for J. Butler,,18,25
76,1,1:47.0,D. Valentine enters the game for R. Rondo,,18,25
77,1,1:31.0,,Personal block foul by D. Valentine (drawn by M. Dellavedova),18,25
78,1,1:24.0,,M. Teletović misses 2-pt jump shot from 15 ft,18,25
79,1,1:23.0,Defensive rebound by D. Wade,,18,25
80,1,1:14.0,B. Portis misses 3-pt jump shot from 26 ft,,18,25
81,1,1:12.0,Offensive rebound by R. Lopez,,18,25
82,1,1:12.0,R. Lopez misses 2-pt layup at rim,,18,25
83,1,1:11.0,,Defensive rebound by G. Monroe,18,25
84,1,1:02.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,18,25
85,1,1:01.0,Defensive rebound by B. Portis,,18,25
86,1,0:49.0,D. McDermott misses 2-pt jump shot from 5 ft (block by J. Terry),,18,25
87,1,0:47.0,,Defensive rebound by G. Antetokounmpo,18,25
88,1,0:46.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,18,25
89,1,0:44.0,Defensive rebound by R. Lopez,,18,25
90,1,0:38.0,C. Felício enters the game for R. Lopez,,18,25
91,1,0:32.0,Turnover by D. Valentine (bad pass; steal by G. Monroe),,18,25
92,1,0:29.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Teletović),18,27
93,1,0:06.0,D. Valentine misses 3-pt jump shot from 27 ft,,18,27
94,1,0:05.0,Offensive rebound by Team,,18,27
95,1,0:05.0,Turnover by Team (shot clock),,18,27
96,1,0:02.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),18,30
97,1,0:00.0,B. Portis misses 3-pt jump shot from 39 ft,,18,30
98,1,0:00.0,Offensive rebound by Team,,18,30
99,2,11:38.0,D. Valentine makes 3-pt jump shot from 25 ft (assist by D. Wade),,21,30
100,2,11:23.0,,G. Monroe makes 2-pt layup from 1 ft (assist by J. Terry),21,32
101,2,11:23.0,,Shooting foul by B. Portis (drawn by G. Monroe),21,32
102,2,11:23.0,,G. Monroe makes free throw 1 of 1,21,33
103,2,11:01.0,B. Portis misses 2-pt jump shot from 14 ft,,21,33
104,2,11:00.0,Offensive rebound by C. Felício,,21,33
105,2,11:00.0,Shooting foul by J. Terry (drawn by C. Felício),,21,33
106,2,11:00.0,C. Felício misses free throw 1 of 2,,21,33
107,2,11:00.0,Offensive rebound by Team,,21,33
108,2,11:00.0,C. Felício makes free throw 2 of 2,,22,33
109,2,10:43.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,22,33
110,2,10:43.0,Defensive rebound by Team,,22,33
111,2,10:27.0,Turnover by B. Portis (3 sec),,22,33
112,2,10:18.0,,M. Teletović makes 3-pt jump shot from 28 ft (assist by M. Dellavedova),22,36
113,2,10:03.0,Turnover by B. Portis (bad pass),,22,36
114,2,9:50.0,,M. Teletović makes 2-pt jump shot from 9 ft (assist by M. Dellavedova),22,38
115,2,9:45.0,Chicago full timeout,,22,38
116,2,9:45.0,J. Butler enters the game for B. Portis,,22,38
117,2,9:35.0,Personal block foul by J. Terry (drawn by J. Butler),,22,38
118,2,9:31.0,Turnover by D. Wade (bad pass),,22,38
119,2,9:10.0,,G. Monroe misses 2-pt hook shot from 1 ft,22,38
120,2,9:08.0,Defensive rebound by J. Butler,,22,38
121,2,8:53.0,Turnover by D. Valentine (bad pass; steal by G. Antetokounmpo),,22,38
122,2,8:49.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Teletović),22,40
123,2,8:24.0,C. Felício makes 2-pt layup from 1 ft (assist by D. Wade),,24,40
124,2,8:07.0,,J. Terry misses 2-pt jump shot from 18 ft,24,40
125,2,8:05.0,,Offensive rebound by M. Dellavedova,24,40
126,2,8:02.0,,M. Dellavedova misses 2-pt layup from 2 ft,24,40
127,2,8:00.0,,Offensive rebound by G. Antetokounmpo,24,40
128,2,8:00.0,,G. Antetokounmpo makes 2-pt layup at rim,24,42
129,2,7:48.0,D. Wade makes 2-pt jump shot from 11 ft,,26,42
130,2,7:31.0,,M. Teletović makes 3-pt jump shot from 29 ft (assist by M. Dellavedova),26,45
131,2,7:19.0,D. Valentine misses 3-pt jump shot from 25 ft,,26,45
132,2,7:18.0,,Defensive rebound by J. Terry,26,45
133,2,7:06.0,,G. Monroe makes 2-pt layup from 1 ft,26,47
134,2,7:06.0,Chicago full timeout,,26,47
135,2,7:06.0,R. Lopez enters the game for D. Valentine,,26,47
136,2,7:06.0,T. Gibson enters the game for C. Felício,,26,47
137,2,7:06.0,R. Rondo enters the game for D. McDermott,,26,47
138,2,7:06.0,,M. Brogdon enters the game for M. Dellavedova,26,47
139,2,7:06.0,,J. Parker enters the game for M. Teletović,26,47
140,2,6:46.0,J. Butler misses 3-pt jump shot from 27 ft,,26,47
141,2,6:45.0,,Defensive rebound by G. Antetokounmpo,26,47
142,2,6:27.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),26,49
143,2,6:13.0,R. Rondo makes 2-pt jump shot from 5 ft,,28,49
144,2,5:48.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by J. Terry),28,52
145,2,5:25.0,R. Rondo misses 3-pt jump shot from 24 ft,,28,52
146,2,5:25.0,Offensive rebound by Team,,28,52
147,2,5:25.0,Official timeout,,28,52
148,2,5:25.0,D. McDermott enters the game for D. Wade,,28,52
149,2,5:25.0,,J. Henson enters the game for G. Monroe,28,52
150,2,5:25.0,,T. Snell enters the game for J. Terry,28,52
151,2,5:07.0,Shooting foul by G. Antetokounmpo (drawn by T. Gibson),,28,52
152,2,5:07.0,T. Gibson makes free throw 1 of 2,,29,52
