,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
0,1,11:36.0,,T. Sefolosha misses 2-pt jump shot from 16 ft,0,0
1,1,11:34.0,Defensive rebound by L. Mbah a Moute,,0,0
2,1,11:12.0,R. Felton misses 2-pt jump shot from 13 ft,,0,0
3,1,11:11.0,,Defensive rebound by D. Howard,0,0
4,1,10:59.0,,D. Schröder makes 2-pt jump shot from 17 ft,0,2
5,1,10:47.0,Shooting foul by T. Sefolosha (drawn by J. Redick),,0,2
6,1,10:47.0,J. Redick makes free throw 1 of 2,,1,2
7,1,10:47.0,J. Redick makes free throw 2 of 2,,2,2
8,1,10:34.0,,T. Sefolosha misses 2-pt jump shot from 16 ft,2,2
9,1,10:33.0,Defensive rebound by D. Jordan,,2,2
10,1,10:22.0,A. Rivers misses 3-pt jump shot from 25 ft,,2,2
11,1,10:21.0,,Defensive rebound by D. Howard,2,2
12,1,10:09.0,,K. Bazemore misses 2-pt jump shot from 22 ft,2,2
13,1,10:08.0,Defensive rebound by Team,,2,2
14,1,9:50.0,J. Redick misses 3-pt jump shot from 26 ft,,2,2
15,1,9:49.0,,Defensive rebound by K. Bazemore,2,2
16,1,9:30.0,,T. Sefolosha misses 2-pt layup at rim,2,2
17,1,9:29.0,,Offensive rebound by D. Howard,2,2
18,1,9:28.0,,D. Howard makes 2-pt layup from 1 ft,2,4
19,1,9:08.0,J. Redick makes 2-pt jump shot from 21 ft (assist by D. Jordan),,4,4
20,1,8:47.0,,D. Schröder makes 2-pt layup from 1 ft,4,6
21,1,8:47.0,,Shooting foul by L. Mbah a Moute (drawn by D. Schröder),4,6
22,1,8:47.0,,D. Schröder makes free throw 1 of 1,4,7
23,1,8:35.0,A. Rivers makes 2-pt jump shot from 13 ft,,6,7
24,1,8:19.0,,K. Bazemore misses 2-pt layup from 1 ft,6,7
25,1,8:17.0,Defensive rebound by R. Felton,,6,7
26,1,7:55.0,R. Felton misses 2-pt layup from 1 ft,,6,7
27,1,7:53.0,Offensive rebound by D. Jordan,,6,7
28,1,7:53.0,D. Jordan makes 2-pt dunk at rim,,8,7
29,1,7:38.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by P. Millsap),8,10
30,1,7:26.0,Shooting foul by D. Howard (drawn by L. Mbah a Moute),,8,10
31,1,7:26.0,L. Mbah a Moute makes free throw 1 of 2,,9,10
32,1,7:26.0,L. Mbah a Moute makes free throw 2 of 2,,10,10
33,1,7:16.0,,D. Schröder misses 2-pt jump shot from 18 ft,10,10
34,1,7:15.0,Defensive rebound by L. Mbah a Moute,,10,10
35,1,7:03.0,A. Rivers makes 3-pt jump shot from 25 ft (assist by L. Mbah a Moute),,13,10
36,1,6:38.0,Violation by D. Jordan (def goaltending),,13,10
37,1,6:38.0,,D. Schröder makes 2-pt layup from 2 ft,13,12
38,1,6:26.0,Turnover by A. Rivers (bad pass; steal by D. Howard),,13,12
39,1,6:12.0,,D. Schröder misses 3-pt jump shot from 25 ft,13,12
40,1,6:11.0,Defensive rebound by L. Mbah a Moute,,13,12
41,1,6:03.0,R. Felton misses 2-pt jump shot from 19 ft,,13,12
42,1,6:01.0,Offensive rebound by R. Felton,,13,12
43,1,5:58.0,J. Redick misses 2-pt jump shot from 19 ft,,13,12
44,1,5:56.0,Offensive rebound by D. Jordan,,13,12
45,1,5:56.0,Shooting foul by D. Howard (drawn by D. Jordan),,13,12
46,1,5:56.0,,Atlanta full timeout,13,12
47,1,5:56.0,D. Jordan makes free throw 1 of 2,,14,12
48,1,5:56.0,,K. Humphries enters the game for D. Howard,13,12
49,1,5:56.0,,T. Hardaway enters the game for K. Bazemore,13,12
50,1,5:56.0,D. Jordan makes free throw 2 of 2,,15,12
51,1,5:43.0,,Turnover by D. Schröder (bad pass; steal by L. Mbah a Moute),15,12
52,1,5:30.0,A. Rivers makes 2-pt layup from 2 ft,,17,12
53,1,5:14.0,,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),17,14
54,1,4:52.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by J. Redick),,20,14
55,1,4:41.0,,K. Humphries misses 3-pt jump shot from 24 ft,20,14
56,1,4:40.0,Defensive rebound by D. Jordan,,20,14
57,1,4:30.0,L. Mbah a Moute misses 2-pt jump shot from 20 ft,,20,14
58,1,4:29.0,,Defensive rebound by K. Humphries,20,14
59,1,4:18.0,Violation by L. Mbah a Moute (kicked ball),,20,14
60,1,4:18.0,J. Crawford enters the game for A. Rivers,,20,14
61,1,4:04.0,,Turnover by T. Hardaway (lost ball; steal by J. Redick),20,14
62,1,4:02.0,Shooting foul by T. Hardaway (drawn by L. Mbah a Moute),,20,14
63,1,4:02.0,L. Mbah a Moute misses free throw 1 of 2,,20,14
64,1,4:02.0,Offensive rebound by Team,,20,14
65,1,4:02.0,,M. Dunleavy enters the game for T. Sefolosha,20,14
66,1,4:02.0,L. Mbah a Moute makes free throw 2 of 2,,21,14
67,1,3:46.0,,T. Hardaway misses 3-pt jump shot from 25 ft,21,14
68,1,3:45.0,,Offensive rebound by K. Humphries,21,14
69,1,3:29.0,,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by T. Hardaway),21,17
70,1,3:06.0,L. Mbah a Moute makes 2-pt layup from 2 ft (assist by J. Crawford),,23,17
71,1,2:55.0,,Shooting foul by L. Mbah a Moute (drawn by P. Millsap),23,17
72,1,2:55.0,LA Clippers full timeout,,23,17
73,1,2:55.0,,P. Millsap makes free throw 1 of 2,23,18
74,1,2:55.0,,P. Millsap makes free throw 2 of 2,23,19
75,1,2:55.0,Personal take foul by M. Dunleavy (drawn by D. Jordan),,23,19
76,1,2:55.0,D. Jordan misses free throw 1 of 2,,23,19
77,1,2:55.0,Offensive rebound by Team,,23,19
78,1,2:55.0,B. Bass enters the game for L. Mbah a Moute,,23,17
79,1,2:55.0,,M. Delaney enters the game for D. Schröder,23,17
80,1,2:55.0,A. Rivers enters the game for J. Redick,,23,19
81,1,2:55.0,D. Jordan misses free throw 2 of 2,,23,19
