,QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
0,1,11:39.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),,3,0
1,1,11:20.0,,J. Ingles misses 3-pt jump shot from 24 ft,3,0
2,1,11:19.0,Defensive rebound by M. Harkless,,3,0
3,1,11:07.0,C. McCollum misses 2-pt jump shot from 13 ft,,3,0
4,1,11:06.0,Offensive rebound by C. McCollum,,3,0
5,1,11:05.0,C. McCollum misses 2-pt jump shot from 8 ft,,3,0
6,1,11:02.0,,Defensive rebound by R. Gobert,3,0
7,1,10:52.0,,Turnover by G. Hill (bad pass; steal by M. Harkless),3,0
8,1,10:46.0,D. Lillard misses 2-pt jump shot from 6 ft,,3,0
9,1,10:45.0,,Defensive rebound by J. Ingles,3,0
10,1,10:27.0,,G. Hill misses 2-pt jump shot from 15 ft,3,0
11,1,10:27.0,,Offensive rebound by R. Gobert,3,0
12,1,10:24.0,,R. Gobert misses 2-pt layup from 2 ft (block by M. Leonard),3,0
13,1,10:23.0,Defensive rebound by D. Lillard,,3,0
14,1,10:14.0,E. Davis misses 2-pt hook shot from 2 ft,,3,0
15,1,10:14.0,,Defensive rebound by D. Favors,3,0
16,1,9:57.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by J. Ingles),3,3
17,1,9:33.0,M. Leonard misses 2-pt hook shot from 7 ft,,3,3
18,1,9:32.0,Offensive rebound by E. Davis,,3,3
19,1,9:21.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,3
20,1,9:20.0,,Defensive rebound by R. Gobert,3,3
21,1,9:13.0,,G. Hayward misses 2-pt dunk at rim (block by M. Leonard),3,3
22,1,9:11.0,,Offensive rebound by D. Favors,3,3
23,1,9:11.0,,D. Favors makes 2-pt dunk at rim,3,5
24,1,8:56.0,E. Davis makes 2-pt layup from 2 ft (assist by M. Harkless),,5,5
25,1,8:45.0,,Shooting foul by M. Harkless (drawn by R. Gobert),5,5
26,1,8:45.0,,R. Gobert makes free throw 1 of 2,5,6
27,1,8:45.0,,R. Gobert misses free throw 2 of 2,5,6
28,1,8:44.0,Defensive rebound by M. Harkless,,5,6
29,1,8:35.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),,8,6
30,1,8:08.0,,J. Ingles makes 2-pt jump shot from 7 ft,8,8
31,1,7:56.0,Turnover by C. McCollum (traveling),,8,8
32,1,7:44.0,,G. Hill makes 2-pt jump shot from 9 ft,8,10
33,1,7:30.0,C. McCollum misses 2-pt jump shot from 18 ft,,8,10
34,1,7:29.0,,Defensive rebound by G. Hill,8,10
