,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW YORK_ACTION,GOLDEN STATE_SCORE,NEW YORK_SCORE
0,1,11:44.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,2,0
1,1,11:32.0,,Turnover by K. Porziņģis (lost ball; steal by D. Green),2,0
2,1,11:21.0,K. Thompson misses 2-pt jump shot from 6 ft,,2,0
3,1,11:18.0,,Defensive rebound by K. Porziņģis,2,0
4,1,11:14.0,,Shooting foul by S. Curry (drawn by D. Rose),2,0
5,1,11:14.0,,D. Rose makes free throw 1 of 2,2,1
6,1,11:14.0,,D. Rose makes free throw 2 of 2,2,2
7,1,10:54.0,S. Curry misses 3-pt jump shot from 26 ft,,2,2
8,1,10:52.0,,Defensive rebound by C. Anthony,2,2
9,1,10:38.0,,D. Rose misses 2-pt layup from 3 ft,2,2
10,1,10:37.0,Defensive rebound by D. Green,,2,2
11,1,10:32.0,D. Green misses 2-pt layup from 2 ft,,2,2
12,1,10:31.0,,Defensive rebound by Team,2,2
13,1,10:17.0,,New York full timeout,2,2
14,1,10:04.0,,K. Porziņģis misses 2-pt jump shot from 6 ft,2,2
15,1,10:03.0,Defensive rebound by Z. Pachulia,,2,2
16,1,9:52.0,D. Green makes 3-pt jump shot from 24 ft (assist by S. Curry),,5,2
17,1,9:40.0,,C. Lee misses 2-pt jump shot from 15 ft,5,2
18,1,9:38.0,Defensive rebound by K. Thompson,,5,2
19,1,9:32.0,K. Thompson makes 3-pt jump shot from 24 ft,,8,2
20,1,9:12.0,,C. Anthony makes 2-pt jump shot from 12 ft,8,4
21,1,8:57.0,Shooting foul by C. Lee (drawn by K. Thompson),,8,4
22,1,8:57.0,K. Thompson makes free throw 1 of 2,,9,4
23,1,8:57.0,K. Thompson makes free throw 2 of 2,,10,4
24,1,8:38.0,,L. Thomas misses 2-pt jump shot from 6 ft,10,4
25,1,8:36.0,,Offensive rebound by L. Thomas,10,4
26,1,8:32.0,,C. Anthony misses 3-pt jump shot from 25 ft,10,4
27,1,8:31.0,Defensive rebound by Team,,10,4
28,1,8:15.0,Turnover by Z. Pachulia (bad pass; steal by C. Lee),,10,4
29,1,8:11.0,,D. Rose misses 2-pt layup from 2 ft,10,4
30,1,8:10.0,,Offensive rebound by Team,10,4
31,1,8:10.0,J. McAdoo enters the game for Z. Pachulia,,10,4
32,1,8:10.0,Loose ball foul by Z. Pachulia (drawn by D. Rose),,10,4
33,1,8:10.0,,R. Baker enters the game for D. Rose,10,4
34,1,7:55.0,,Turnover by R. Baker (lost ball; steal by S. Curry),10,4
35,1,7:49.0,M. Barnes misses 3-pt jump shot from 24 ft,,10,4
36,1,7:47.0,,Defensive rebound by R. Baker,10,4
37,1,7:38.0,,R. Baker misses 2-pt jump shot from 13 ft,10,4
38,1,7:37.0,Defensive rebound by D. Green,,10,4
39,1,7:32.0,J. McAdoo misses 2-pt layup from 3 ft,,10,4
40,1,7:30.0,,Defensive rebound by C. Anthony,10,4
41,1,7:25.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,10,4
42,1,7:23.0,Defensive rebound by K. Thompson,,10,4
43,1,7:12.0,S. Curry misses 3-pt jump shot from 25 ft,,10,4
44,1,7:10.0,,Defensive rebound by C. Anthony,10,4
45,1,6:57.0,,Personal foul by D. Green (drawn by K. Porziņģis),10,4
46,1,6:57.0,,D. Rose enters the game for R. Baker,10,4
47,1,6:57.0,,W. Hernangómez enters the game for L. Thomas,10,4
48,1,6:44.0,,C. Anthony misses 2-pt layup from 2 ft,10,4
49,1,6:43.0,,Offensive rebound by Team,10,4
50,1,6:40.0,,Turnover by D. Rose (lost ball; steal by M. Barnes),10,4
51,1,6:39.0,Personal foul by D. Rose (drawn by M. Barnes),,10,4
52,1,6:33.0,S. Curry misses 2-pt layup from 2 ft,,10,4
53,1,6:31.0,Offensive rebound by K. Thompson,,10,4
54,1,6:27.0,S. Curry misses 3-pt jump shot from 24 ft,,10,4
55,1,6:25.0,Offensive rebound by J. McAdoo,,10,4
56,1,6:13.0,Turnover by S. Curry (bad pass; steal by D. Rose),,10,4
57,1,6:11.0,,Personal foul by M. Barnes (drawn by D. Rose),10,4
58,1,6:07.0,Violation by J. McAdoo (kicked ball),,10,4
59,1,6:00.0,,K. Porziņģis misses 2-pt jump shot from 21 ft,10,4
60,1,5:58.0,Defensive rebound by J. McAdoo,,10,4
61,1,5:48.0,D. Green misses 2-pt jump shot from 9 ft,,10,4
62,1,5:47.0,Offensive rebound by D. Green,,10,4
63,1,5:44.0,Turnover by K. Thompson (bad pass; steal by C. Lee),,10,4
64,1,5:40.0,,C. Lee makes 2-pt layup from 2 ft,10,6
65,1,5:39.0,Golden State full timeout,,10,6
