,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
0,1,11:42.0,,R. Lopez makes 2-pt hook shot from 10 ft (assist by R. Rondo),0,2
1,1,11:22.0,L. Aldridge misses 2-pt jump shot from 13 ft,,0,2
2,1,11:21.0,,Defensive rebound by R. Lopez,0,2
3,1,11:03.0,,T. Gibson misses 2-pt jump shot from 10 ft,0,2
4,1,11:01.0,Defensive rebound by P. Gasol,,0,2
5,1,10:43.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,2,2
6,1,10:21.0,,J. Butler misses 2-pt jump shot from 17 ft,2,2
7,1,10:19.0,Defensive rebound by P. Gasol,,2,2
8,1,10:07.0,P. Gasol misses 2-pt jump shot from 21 ft,,2,2
9,1,10:05.0,,Defensive rebound by T. Gibson,2,2
10,1,9:55.0,,T. Gibson makes 2-pt jump shot from 19 ft (assist by D. Wade),2,4
11,1,9:36.0,K. Leonard makes 2-pt layup from 1 ft,,4,4
12,1,9:23.0,,Turnover by J. Butler (bad pass; steal by D. Green),4,4
13,1,9:16.0,D. Green misses 3-pt jump shot from 25 ft,,4,4
14,1,9:15.0,,Defensive rebound by D. Wade,4,4
15,1,9:01.0,,R. Lopez makes 2-pt jump shot from 7 ft (assist by R. Rondo),4,6
16,1,8:46.0,K. Leonard misses 2-pt layup from 1 ft,,4,6
17,1,8:45.0,,Defensive rebound by T. Gibson,4,6
18,1,8:37.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by D. Wade),4,8
19,1,8:14.0,T. Parker makes 2-pt layup from 2 ft,,6,8
20,1,7:54.0,,T. Gibson misses 2-pt jump shot from 19 ft,6,8
21,1,7:53.0,Defensive rebound by P. Gasol,,6,8
22,1,7:40.0,L. Aldridge misses 2-pt jump shot from 9 ft,,6,8
23,1,7:38.0,,Defensive rebound by R. Rondo,6,8
24,1,7:34.0,,R. Rondo misses 2-pt jump shot from 4 ft (block by L. Aldridge),6,8
25,1,7:33.0,Defensive rebound by L. Aldridge,,6,8
26,1,7:23.0,T. Parker misses 2-pt jump shot from 13 ft,,6,8
27,1,7:22.0,,Defensive rebound by T. Gibson,6,8
28,1,7:16.0,,R. Rondo misses 2-pt jump shot from 17 ft,6,8
29,1,7:15.0,Defensive rebound by P. Gasol,,6,8
30,1,6:52.0,Turnover by Team (shot clock),,6,8
31,1,6:43.0,,T. Gibson misses 2-pt jump shot from 7 ft (block by L. Aldridge),6,8
32,1,6:43.0,,Offensive rebound by Team,6,8
33,1,6:31.0,,D. Wade misses 2-pt jump shot from 13 ft,6,8
34,1,6:30.0,Defensive rebound by P. Gasol,,6,8
35,1,6:14.0,P. Gasol makes 2-pt layup from 1 ft (assist by T. Parker),,8,8
36,1,5:51.0,Violation by L. Aldridge (kicked ball),,8,8
37,1,5:51.0,,Chicago full timeout,8,8
38,1,5:51.0,M. Ginóbili enters the game for D. Green,,8,8
39,1,5:51.0,,D. McDermott enters the game for D. Wade,8,8
40,1,5:37.0,,R. Lopez misses 2-pt jump shot from 5 ft (block by P. Gasol),8,8
41,1,5:35.0,Defensive rebound by L. Aldridge,,8,8
42,1,5:20.0,K. Leonard misses 2-pt jump shot from 14 ft (block by J. Butler),,8,8
43,1,5:16.0,,Offensive rebound by Team,8,8
44,1,5:08.0,,T. Gibson makes 2-pt jump shot from 11 ft (assist by R. Rondo),8,10
45,1,4:53.0,L. Aldridge misses 2-pt layup from 2 ft (block by T. Gibson),,8,10
46,1,4:52.0,,Defensive rebound by R. Lopez,8,10
47,1,4:47.0,,R. Rondo makes 2-pt layup from 3 ft (assist by T. Gibson),8,12
48,1,4:21.0,M. Ginóbili misses 3-pt jump shot from 50 ft,,8,12
49,1,4:21.0,Offensive rebound by Team,,8,12
50,1,4:21.0,Turnover by Team (shot clock),,8,12
51,1,4:21.0,P. Mills enters the game for L. Aldridge,,8,12
52,1,4:21.0,D. Lee enters the game for T. Parker,,8,12
53,1,4:21.0,,N. Mirotić enters the game for R. Lopez,8,12
54,1,4:13.0,,J. Butler misses 3-pt jump shot from 25 ft,8,12
55,1,4:11.0,Defensive rebound by P. Gasol,,8,12
56,1,4:02.0,M. Ginóbili misses 2-pt layup from 1 ft,,8,12
57,1,4:01.0,Offensive rebound by D. Lee,,8,12
58,1,4:01.0,D. Lee makes 2-pt layup from 3 ft,,10,12
59,1,3:47.0,,R. Rondo makes 2-pt jump shot from 22 ft,10,14
60,1,3:35.0,P. Mills makes 2-pt layup from 2 ft,,12,14
61,1,3:23.0,,D. McDermott makes 3-pt jump shot from 24 ft (assist by N. Mirotić),12,17
62,1,2:58.0,Turnover by M. Ginóbili (bad pass; steal by J. Butler),,12,17
63,1,2:53.0,,D. McDermott makes 2-pt layup from 2 ft (assist by R. Rondo),12,19
64,1,2:53.0,San Antonio full timeout,,12,19
65,1,2:36.0,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),,15,19
66,1,2:23.0,,C. Felício enters the game for T. Gibson,15,19
67,1,2:14.0,,N. Mirotić makes 2-pt jump shot from 20 ft (assist by D. McDermott),15,21
68,1,2:04.0,D. Lee makes 2-pt layup from 3 ft (assist by P. Gasol),,17,21
69,1,1:50.0,,Turnover by N. Mirotić (traveling),17,21
70,1,1:50.0,,I. Canaan enters the game for R. Rondo,17,21
71,1,1:36.0,,Violation by N. Mirotić (kicked ball),17,21
72,1,1:36.0,L. Aldridge enters the game for P. Gasol,,17,21
73,1,1:27.0,M. Ginóbili misses 3-pt jump shot from 23 ft,,17,21
74,1,1:26.0,,Defensive rebound by J. Butler,17,21
75,1,1:15.0,,J. Butler misses 2-pt jump shot from 19 ft,17,21
76,1,1:14.0,Defensive rebound by D. Lee,,17,21
77,1,1:09.0,Personal foul by N. Mirotić (drawn by K. Leonard),,17,21
78,1,1:09.0,,D. Wade enters the game for J. Butler,17,21
79,1,1:09.0,J. Simmons enters the game for K. Leonard,,17,21
80,1,1:03.0,P. Mills misses 2-pt jump shot from 20 ft,,17,21
81,1,1:02.0,,Defensive rebound by C. Felício,17,21
82,1,0:54.0,,D. Wade misses 2-pt jump shot from 9 ft,17,21
83,1,0:53.0,,Offensive rebound by C. Felício,17,21
84,1,0:41.0,,D. McDermott misses 3-pt jump shot from 25 ft (block by M. Ginóbili),17,21
85,1,0:39.0,Defensive rebound by P. Mills,,17,21
86,1,0:23.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,17,21
87,1,0:22.0,,Defensive rebound by D. Wade,17,21
88,1,0:06.0,,Personal take foul by J. Simmons (drawn by D. Wade),17,21
89,1,0:02.0,,I. Canaan misses 3-pt jump shot from 24 ft,17,21
90,1,0:01.0,Defensive rebound by J. Simmons,,17,21
91,1,0:00.0,J. Simmons misses 3-pt jump shot from 66 ft,,17,21
92,1,0:00.0,Offensive rebound by Team,,17,21
93,2,11:48.0,M. Ginóbili misses 2-pt jump shot from 20 ft,,17,21
94,2,11:46.0,Offensive rebound by L. Aldridge,,17,21
95,2,11:46.0,L. Aldridge misses 2-pt layup from 2 ft,,17,21
96,2,11:45.0,,Defensive rebound by N. Mirotić,17,21
97,2,11:40.0,,Personal foul by J. Simmons (drawn by D. Wade),17,21
98,2,11:28.0,,N. Mirotić misses 3-pt jump shot from 25 ft,17,21
99,2,11:27.0,Defensive rebound by J. Simmons,,17,21
100,2,11:14.0,J. Simmons makes 2-pt dunk at rim (assist by L. Aldridge),,19,21
101,2,10:57.0,,Turnover by N. Mirotić (bad pass; steal by J. Simmons),19,21
102,2,10:54.0,J. Simmons misses 2-pt dunk at rim,,19,21
103,2,10:53.0,,Defensive rebound by N. Mirotić,19,21
104,2,10:38.0,,Turnover by D. Wade (bad pass; steal by P. Mills),19,21
105,2,10:28.0,M. Ginóbili misses 2-pt jump shot from 16 ft,,19,21
106,2,10:27.0,,Defensive rebound by D. Wade,19,21
107,2,10:18.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by D. Wade),19,23
108,2,10:05.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),,21,23
109,2,9:50.0,,Turnover by C. Felício (lost ball; steal by M. Ginóbili),21,23
110,2,9:40.0,L. Aldridge misses 3-pt jump shot from 26 ft,,21,23
111,2,9:39.0,,Defensive rebound by N. Mirotić,21,23
112,2,9:29.0,,D. Wade misses 2-pt jump shot from 14 ft,21,23
113,2,9:28.0,Defensive rebound by L. Aldridge,,21,23
114,2,9:21.0,Turnover by L. Aldridge (lost ball),,21,23
115,2,9:21.0,D. Green enters the game for M. Ginóbili,,21,23
116,2,9:12.0,,Shooting foul by P. Mills (drawn by C. Felício),21,23
117,2,9:12.0,,C. Felício makes free throw 1 of 2,21,24
118,2,9:12.0,,C. Felício misses free throw 2 of 2,21,24
119,2,9:12.0,D. Dedmon enters the game for D. Lee,,21,24
120,2,9:11.0,Defensive rebound by D. Dedmon,,21,24
121,2,8:55.0,P. Mills misses 2-pt jump shot from 22 ft,,21,24
122,2,8:54.0,Offensive rebound by L. Aldridge,,21,24
123,2,8:49.0,J. Simmons misses 3-pt jump shot from 23 ft,,21,24
124,2,8:48.0,,Defensive rebound by C. Felício,21,24
125,2,8:40.0,,Shooting foul by D. Dedmon (drawn by D. Wade),21,24
