,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:38.0,,D. Booker misses 2-pt jump shot from 16 ft (block by S. Curry),0,0
1,1,11:36.0,Defensive rebound by S. Curry,,0,0
2,1,11:23.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,0,0
3,1,11:21.0,,Defensive rebound by E. Bledsoe,0,0
4,1,11:17.0,,T. Warren misses 2-pt jump shot from 3 ft,0,0
5,1,11:14.0,Defensive rebound by D. Nowitzki,,0,0
6,1,11:10.0,D. Williams makes 2-pt layup from 3 ft,,2,0
7,1,10:59.0,,T. Warren misses 3-pt jump shot from 26 ft,2,0
8,1,10:57.0,,Offensive rebound by T. Chandler,2,0
9,1,10:56.0,,Shooting foul by D. Williams (drawn by M. Chriss),2,0
10,1,10:56.0,,M. Chriss makes free throw 1 of 2,2,1
11,1,10:56.0,,M. Chriss makes free throw 2 of 2,2,2
12,1,10:45.0,H. Barnes makes 2-pt dunk at rim (assist by D. Williams),,4,2
13,1,10:33.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),4,5
14,1,10:21.0,D. Williams makes 3-pt jump shot from 24 ft,,7,5
15,1,10:03.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by T. Warren),7,8
16,1,9:43.0,H. Barnes makes 2-pt jump shot from 14 ft,,9,8
17,1,9:23.0,,M. Chriss makes 3-pt jump shot from 22 ft (assist by T. Warren),9,11
18,1,9:08.0,W. Matthews makes 2-pt jump shot from 6 ft,,11,11
19,1,8:49.0,,M. Chriss makes 3-pt jump shot from 23 ft (assist by D. Booker),11,14
20,1,8:35.0,S. Curry makes 2-pt layup from 1 ft,,13,14
21,1,8:35.0,Shooting foul by M. Chriss (drawn by S. Curry),,13,14
22,1,8:35.0,S. Mejri enters the game for D. Nowitzki,,13,14
23,1,8:35.0,S. Curry makes free throw 1 of 1,,14,14
24,1,8:29.0,,Shooting block foul by S. Mejri (drawn by T. Chandler),14,14
25,1,8:29.0,,T. Chandler misses free throw 1 of 2,14,14
26,1,8:29.0,,Offensive rebound by Team,14,14
