,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:47.0,,Turnover by W. Matthews (lost ball),0,0
1,1,11:39.0,,Violation by S. Curry (kicked ball),0,0
2,1,11:29.0,D. DeRozan misses 2-pt jump shot from 12 ft,,0,0
3,1,11:28.0,Offensive rebound by J. Valančiūnas,,0,0
4,1,11:27.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,,2,0
5,1,11:07.0,,S. Curry misses 2-pt jump shot from 5 ft,2,0
6,1,11:06.0,Defensive rebound by J. Valančiūnas,,2,0
7,1,10:59.0,P. Tucker misses 3-pt jump shot from 23 ft,,2,0
8,1,10:58.0,Offensive rebound by J. Valančiūnas,,2,0
9,1,10:55.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,4,0
10,1,10:55.0,,Dallas full timeout,4,0
11,1,10:36.0,,H. Barnes misses 2-pt jump shot from 6 ft,4,0
12,1,10:35.0,,Offensive rebound by N. Noel,4,0
13,1,10:28.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,4,0
14,1,10:27.0,,Offensive rebound by N. Noel,4,0
15,1,10:23.0,,Turnover by N. Noel (lost ball; steal by P. Tucker),4,0
16,1,10:14.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,7,0
17,1,9:57.0,,S. Curry makes 2-pt jump shot from 15 ft,7,2
18,1,9:39.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by C. Joseph),,10,2
19,1,9:21.0,,W. Matthews misses 2-pt jump shot from 18 ft,10,2
20,1,9:20.0,Defensive rebound by S. Ibaka,,10,2
21,1,9:13.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by C. Joseph),,13,2
22,1,9:11.0,,Dallas full timeout,13,2
23,1,8:56.0,,Personal foul by J. Valančiūnas (drawn by W. Matthews),13,2
24,1,8:49.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by S. Curry),13,4
25,1,8:35.0,J. Valančiūnas makes 2-pt jump shot from 18 ft (assist by C. Joseph),,15,4
26,1,8:17.0,,N. Noel misses 2-pt jump shot from 15 ft,15,4
27,1,8:16.0,Defensive rebound by P. Tucker,,15,4
28,1,8:01.0,S. Ibaka makes 2-pt hook shot from 6 ft (assist by D. DeRozan),,17,4
29,1,7:45.0,,W. Matthews makes 2-pt jump shot from 9 ft (assist by S. Curry),17,6
30,1,7:28.0,J. Valančiūnas misses 2-pt jump shot from 14 ft,,17,6
