,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:35.0,,B. Beal misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by Team,,0,0
2,1,11:35.0,,Loose ball foul by M. Gortat (drawn by C. Zeller),0,0
3,1,11:12.0,K. Walker misses 2-pt jump shot from 16 ft,,0,0
4,1,11:10.0,,Defensive rebound by M. Gortat,0,0
5,1,11:00.0,,O. Porter makes 2-pt layup from 2 ft (assist by B. Beal),0,2
6,1,10:53.0,Personal foul by O. Porter (drawn by K. Walker),,0,2
7,1,10:43.0,K. Walker makes 2-pt jump shot from 16 ft (assist by N. Batum),,2,2
8,1,10:31.0,,B. Beal misses 2-pt jump shot from 17 ft,2,2
9,1,10:29.0,Defensive rebound by C. Zeller,,2,2
10,1,10:21.0,C. Zeller makes 2-pt dunk at rim (assist by N. Batum),,4,2
11,1,10:00.0,,O. Porter misses 2-pt jump shot from 21 ft,4,2
12,1,9:58.0,Defensive rebound by M. Williams,,4,2
13,1,9:38.0,K. Walker misses 3-pt jump shot from 26 ft,,4,2
14,1,9:37.0,,Defensive rebound by M. Gortat,4,2
15,1,9:27.0,,J. Wall misses 2-pt jump shot from 17 ft,4,2
16,1,9:26.0,,Offensive rebound by Team,4,2
17,1,9:13.0,,J. Wall makes 2-pt layup from 2 ft (assist by B. Beal),4,4
18,1,9:02.0,Turnover by N. Batum (lost ball; steal by J. Wall),,4,4
19,1,9:01.0,,Offensive foul by J. Wall (drawn by M. Kidd-Gilchrist),4,4
20,1,9:01.0,,Turnover by J. Wall (offensive foul),4,4
21,1,8:52.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by K. Oubre),,4,4
22,1,8:48.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Beal),4,4
23,1,8:48.0,,B. Beal makes free throw 1 of 2,4,5
24,1,8:48.0,,B. Beal makes free throw 2 of 2,4,6
25,1,8:34.0,C. Zeller misses 2-pt layup from 3 ft,,4,6
26,1,8:32.0,,Defensive rebound by O. Porter,4,6
27,1,8:23.0,,J. Wall misses 3-pt jump shot from 26 ft,4,6
28,1,8:22.0,Defensive rebound by N. Batum,,4,6
29,1,8:16.0,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),,6,6
30,1,7:56.0,,K. Oubre misses 3-pt jump shot from 25 ft,6,6
31,1,7:54.0,Defensive rebound by M. Kidd-Gilchrist,,6,6
32,1,7:38.0,N. Batum makes 2-pt jump shot from 21 ft (assist by K. Walker),,8,6
33,1,7:22.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),8,8
34,1,6:58.0,M. Kidd-Gilchrist makes 2-pt jump shot from 19 ft (assist by K. Walker),,10,8
35,1,6:34.0,,M. Gortat makes 2-pt hook shot from 6 ft (assist by B. Beal),10,10
36,1,6:19.0,N. Batum misses 3-pt jump shot from 27 ft,,10,10
37,1,6:18.0,,Defensive rebound by O. Porter,10,10
38,1,6:13.0,,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),10,12
39,1,5:48.0,Shooting foul by B. Beal (drawn by N. Batum),,10,12
40,1,5:48.0,,Washington full timeout,10,12
