,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,K. Towns misses 2-pt jump shot from 9 ft,0,0
1,1,11:46.0,,Offensive rebound by K. Towns,0,0
2,1,11:45.0,,K. Towns makes 2-pt layup from 1 ft,0,2
3,1,11:29.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by J. Henson),,2,2
4,1,11:18.0,,Z. LaVine makes 2-pt jump shot from 22 ft,2,4
5,1,10:59.0,M. Brogdon makes 2-pt jump shot from 15 ft,,4,4
6,1,10:31.0,,Turnover by K. Towns (bad pass; steal by J. Parker),4,4
7,1,10:22.0,J. Parker misses 2-pt jump shot from 16 ft,,4,4
8,1,10:21.0,,Defensive rebound by K. Towns,4,4
9,1,10:09.0,,A. Wiggins makes 2-pt jump shot from 16 ft,4,6
10,1,9:58.0,T. Snell misses 3-pt jump shot from 25 ft,,4,6
11,1,9:57.0,,Defensive rebound by K. Towns,4,6
12,1,9:45.0,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),4,6
13,1,9:45.0,,A. Wiggins makes free throw 1 of 2,4,7
14,1,9:45.0,,A. Wiggins makes free throw 2 of 2,4,8
15,1,9:26.0,J. Henson makes 2-pt layup at rim (assist by J. Parker),,6,8
16,1,9:04.0,,Z. LaVine misses 2-pt jump shot from 19 ft,6,8
17,1,9:01.0,,Offensive rebound by K. Towns,6,8
18,1,8:59.0,,Shooting foul by J. Parker (drawn by K. Towns),6,8
19,1,8:59.0,,K. Towns makes free throw 1 of 2,6,9
20,1,8:59.0,,K. Towns makes free throw 2 of 2,6,10
21,1,8:49.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by G. Dieng),,6,10
22,1,8:47.0,,Defensive rebound by G. Dieng,6,10
23,1,8:36.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),6,12
24,1,8:11.0,G. Antetokounmpo makes 2-pt layup at rim,,8,12
25,1,7:50.0,,Minnesota full timeout,8,12
26,1,7:50.0,J. Terry enters the game for M. Brogdon,,8,12
27,1,7:45.0,,Z. LaVine makes 2-pt jump shot from 20 ft,8,14
28,1,7:32.0,Personal foul by Z. LaVine (drawn by T. Snell),,8,14
29,1,7:24.0,J. Parker misses 2-pt jump shot from 10 ft (block by K. Towns),,8,14
30,1,7:23.0,,Defensive rebound by K. Towns,8,14
31,1,7:04.0,,A. Wiggins misses 2-pt jump shot from 22 ft,8,14
32,1,7:03.0,Defensive rebound by J. Henson,,8,14
33,1,6:56.0,J. Henson misses 2-pt jump shot from 19 ft,,8,14
34,1,6:55.0,,Defensive rebound by Team,8,14
35,1,6:42.0,,K. Towns misses 3-pt jump shot from 24 ft,8,14
36,1,6:41.0,Defensive rebound by J. Parker,,8,14
37,1,6:36.0,Turnover by J. Parker (lost ball; steal by R. Rubio),,8,14
38,1,6:22.0,,K. Towns makes 2-pt layup from 2 ft,8,16
39,1,5:56.0,,Offensive charge foul by J. Henson (drawn by G. Dieng),8,16
40,1,5:56.0,Turnover by J. Henson (offensive foul),,8,16
41,1,5:56.0,G. Monroe enters the game for J. Henson,,8,16
42,1,5:56.0,M. Beasley enters the game for J. Parker,,8,16
43,1,5:41.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by R. Rubio),8,19
44,1,5:26.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,10,19
45,1,5:12.0,,Turnover by R. Rubio (bad pass),10,19
46,1,5:12.0,,S. Muhammad enters the game for Z. LaVine,10,19
47,1,5:02.0,M. Beasley misses 3-pt jump shot from 24 ft,,10,19
48,1,5:01.0,Offensive rebound by G. Antetokounmpo,,10,19
49,1,4:49.0,G. Monroe misses 2-pt hook shot from 5 ft,,10,19
50,1,4:47.0,,Defensive rebound by G. Dieng,10,19
51,1,4:38.0,,A. Wiggins misses 3-pt jump shot from 24 ft,10,19
52,1,4:36.0,Defensive rebound by M. Beasley,,10,19
53,1,4:27.0,G. Monroe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,12,19
54,1,4:07.0,,S. Muhammad makes 3-pt jump shot from 24 ft (assist by R. Rubio),12,22
55,1,3:47.0,M. Beasley misses 2-pt jump shot from 20 ft,,12,22
56,1,3:46.0,,Defensive rebound by S. Muhammad,12,22
57,1,3:38.0,,Shooting foul by M. Beasley (drawn by S. Muhammad),12,22
58,1,3:38.0,Milwaukee full timeout,,12,22
59,1,3:38.0,,S. Muhammad makes free throw 1 of 2,12,23
60,1,3:38.0,,S. Muhammad makes free throw 2 of 2,12,24
61,1,3:19.0,T. Snell misses 3-pt jump shot from 24 ft,,12,24
62,1,3:18.0,,Defensive rebound by A. Wiggins,12,24
63,1,3:02.0,,Offensive foul by K. Towns (drawn by J. Terry),12,24
64,1,3:02.0,,Turnover by K. Towns (offensive foul),12,24
65,1,2:51.0,M. Beasley makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,14,24
66,1,2:33.0,,Shooting block foul by G. Antetokounmpo (drawn by A. Wiggins),14,24
67,1,2:33.0,,A. Wiggins makes free throw 1 of 2,14,25
68,1,2:33.0,J. Parker enters the game for G. Antetokounmpo,,14,25
69,1,2:33.0,,N. Bjelica enters the game for K. Towns,14,25
70,1,2:33.0,,A. Wiggins makes free throw 2 of 2,14,26
71,1,2:23.0,M. Beasley makes 2-pt layup from 1 ft (assist by J. Terry),,16,26
72,1,2:16.0,,S. Muhammad makes 2-pt layup from 1 ft (assist by G. Dieng),16,28
73,1,2:01.0,G. Monroe misses 2-pt hook shot from 6 ft,,16,28
74,1,2:00.0,,Defensive rebound by N. Bjelica,16,28
75,1,1:44.0,,G. Dieng misses 2-pt jump shot from 18 ft,16,28
76,1,1:43.0,Defensive rebound by M. Beasley,,16,28
77,1,1:31.0,G. Monroe misses 2-pt layup from 2 ft,,16,28
78,1,1:29.0,,Defensive rebound by N. Bjelica,16,28
79,1,1:24.0,,S. Muhammad misses 2-pt jump shot from 6 ft,16,28
80,1,1:23.0,Defensive rebound by Team,,16,28
81,1,1:23.0,,K. Dunn enters the game for R. Rubio,16,28
82,1,1:02.0,J. Parker makes 3-pt jump shot from 23 ft (assist by T. Snell),,19,28
83,1,0:41.0,,S. Muhammad makes 3-pt jump shot from 23 ft (assist by N. Bjelica),19,31
84,1,0:32.0,G. Monroe misses 2-pt layup from 2 ft (block by G. Dieng),,19,31
85,1,0:31.0,,Defensive rebound by N. Bjelica,19,31
86,1,0:25.0,,N. Bjelica makes 3-pt jump shot from 24 ft,19,34
87,1,0:06.0,G. Monroe makes 2-pt dunk at rim (assist by M. Beasley),,21,34
88,1,0:01.0,,K. Dunn misses 2-pt jump shot from 4 ft,21,34
89,1,0:00.0,,Offensive rebound by Team,21,34
90,2,11:40.0,G. Monroe misses 2-pt layup at rim,,21,34
91,2,11:38.0,,Defensive rebound by Z. LaVine,21,34
92,2,11:29.0,,S. Muhammad makes 2-pt jump shot from 7 ft (assist by Z. LaVine),21,36
93,2,11:16.0,M. Teletović makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,24,36
94,2,10:59.0,,Z. LaVine misses 3-pt jump shot from 25 ft,24,36
95,2,10:58.0,Defensive rebound by M. Beasley,,24,36
96,2,10:50.0,Shooting foul by N. Bjelica (drawn by M. Brogdon),,24,36
97,2,10:50.0,M. Brogdon makes free throw 1 of 2,,25,36
98,2,10:50.0,M. Brogdon makes free throw 2 of 2,,26,36
99,2,10:44.0,,S. Muhammad makes 3-pt jump shot from 23 ft (assist by K. Dunn),26,39
100,2,10:29.0,M. Teletović misses 3-pt jump shot from 23 ft,,26,39
101,2,10:27.0,Offensive rebound by Team,,26,39
102,2,10:21.0,G. Monroe misses 2-pt layup from 1 ft,,26,39
103,2,10:19.0,,Defensive rebound by C. Aldrich,26,39
104,2,9:59.0,Offensive charge foul by S. Muhammad (drawn by G. Monroe),,26,39
105,2,9:59.0,,Turnover by S. Muhammad (offensive foul),26,39
106,2,9:59.0,J. Henson enters the game for G. Monroe,,26,39
107,2,9:47.0,Turnover by J. Henson (bad pass; steal by N. Bjelica),,26,39
108,2,9:25.0,,Z. LaVine misses 2-pt jump shot from 17 ft,26,39
109,2,9:23.0,Defensive rebound by M. Teletović,,26,39
110,2,9:11.0,Turnover by M. Teletović (lost ball),,26,39
111,2,8:56.0,,Z. LaVine misses 2-pt jump shot from 22 ft,26,39
112,2,8:55.0,Defensive rebound by M. Beasley,,26,39
113,2,8:47.0,J. Parker makes 2-pt dunk at rim,,28,39
114,2,8:33.0,,Turnover by Z. LaVine (lost ball; steal by M. Brogdon),28,39
115,2,8:27.0,M. Beasley makes 2-pt layup at rim (assist by M. Teletović),,30,39
116,2,8:19.0,,Minnesota full timeout,30,39
117,2,8:19.0,,K. Towns enters the game for N. Bjelica,30,39
118,2,8:05.0,,Z. LaVine misses 3-pt jump shot from 23 ft,30,39
