,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
0,1,11:43.0,H. Barnes makes 2-pt jump shot from 7 ft,,2,0
1,1,11:27.0,,A. Wiggins misses 2-pt layup at rim,2,0
2,1,11:25.0,Defensive rebound by D. Nowitzki,,2,0
3,1,11:15.0,H. Barnes misses 2-pt jump shot from 11 ft,,2,0
4,1,11:14.0,,Defensive rebound by K. Towns,2,0
5,1,10:51.0,,K. Towns makes 3-pt jump shot from 25 ft,2,3
6,1,10:23.0,Turnover by D. Williams (lost ball; steal by R. Rubio),,2,3
7,1,10:15.0,,K. Towns makes 2-pt jump shot from 16 ft (assist by R. Rubio),2,5
8,1,9:55.0,D. Williams makes 2-pt layup from 1 ft (assist by A. Bogut),,4,5
9,1,9:45.0,,Shooting foul by D. Nowitzki (drawn by K. Towns),4,5
10,1,9:45.0,,K. Towns makes free throw 1 of 2,4,6
11,1,9:45.0,,K. Towns makes free throw 2 of 2,4,7
12,1,9:33.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,4,7
13,1,9:32.0,,Defensive rebound by K. Towns,4,7
14,1,9:24.0,,R. Rubio misses 2-pt jump shot from 16 ft,4,7
15,1,9:23.0,Defensive rebound by W. Matthews,,4,7
16,1,9:14.0,Turnover by W. Matthews (bad pass; steal by R. Rubio),,4,7
17,1,9:10.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by R. Rubio),4,9
18,1,9:02.0,Dallas full timeout,,4,9
19,1,8:55.0,D. Williams makes 2-pt jump shot from 16 ft (assist by A. Bogut),,6,9
20,1,8:41.0,,K. Towns makes 3-pt jump shot from 23 ft (assist by R. Rubio),6,12
21,1,8:20.0,H. Barnes misses 2-pt jump shot from 16 ft,,6,12
22,1,8:18.0,Offensive rebound by A. Bogut,,6,12
23,1,8:10.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,6,12
24,1,8:09.0,,Defensive rebound by Z. LaVine,6,12
25,1,8:05.0,,Turnover by Z. LaVine (bad pass),6,12
26,1,8:05.0,S. Curry enters the game for D. Nowitzki,,6,12
27,1,7:57.0,Personal block foul by R. Rubio (drawn by H. Barnes),,6,12
28,1,7:46.0,H. Barnes makes 2-pt jump shot from 12 ft,,8,12
29,1,7:29.0,,K. Towns makes 2-pt layup from 1 ft (assist by R. Rubio),8,14
30,1,7:05.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),,11,14
31,1,6:41.0,,K. Towns makes 2-pt jump shot from 16 ft,11,16
32,1,6:29.0,Personal foul by A. Wiggins (drawn by W. Matthews),,11,16
33,1,6:16.0,D. Williams misses 2-pt jump shot from 20 ft,,11,16
34,1,6:15.0,,Defensive rebound by G. Dieng,11,16
35,1,6:07.0,,Personal foul by A. Bogut (drawn by G. Dieng),11,16
36,1,5:53.0,,G. Dieng makes 2-pt jump shot from 16 ft (assist by K. Towns),11,18
37,1,5:35.0,H. Barnes makes 2-pt jump shot from 16 ft,,13,18
38,1,5:21.0,,Shooting foul by W. Matthews (drawn by G. Dieng),13,18
39,1,5:21.0,,G. Dieng makes free throw 1 of 2,13,19
40,1,5:21.0,,G. Dieng misses free throw 2 of 2,13,19
41,1,5:21.0,,S. Muhammad enters the game for Z. LaVine,13,19
42,1,5:20.0,Defensive rebound by A. Bogut,,13,19
43,1,5:09.0,Turnover by S. Curry (bad pass; steal by R. Rubio),,13,19
44,1,5:05.0,,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),13,21
45,1,5:04.0,Dallas full timeout,,13,21
46,1,5:04.0,,N. Bjelica enters the game for G. Dieng,13,21
47,1,4:46.0,Turnover by A. Bogut (3 sec),,13,21
48,1,4:30.0,,Personal foul by A. Bogut (drawn by K. Towns),13,21
49,1,4:30.0,D. Finney-Smith enters the game for H. Barnes,,13,21
50,1,4:30.0,D. Nowitzki enters the game for A. Bogut,,13,21
51,1,4:30.0,D. Harris enters the game for W. Matthews,,13,21
52,1,4:30.0,J. Barea enters the game for D. Williams,,13,21
53,1,4:30.0,D. Powell enters the game for S. Curry,,13,21
54,1,4:17.0,,K. Towns makes 2-pt layup at rim,13,23
55,1,4:00.0,Shooting foul by R. Rubio (drawn by D. Powell),,13,23
