,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
85,1,2:41.0,,D. Russell makes free throw 2 of 2,22,22
86,1,2:24.0,J. Lamb misses 2-pt jump shot from 16 ft,,22,22
87,1,2:19.0,,Defensive rebound by L. Nance,22,22
88,1,2:07.0,,I. Zubac makes 2-pt layup from 2 ft (assist by J. Clarkson),22,24
89,1,1:43.0,M. Williams misses 3-pt jump shot from 26 ft,,22,24
90,1,1:42.0,Offensive rebound by M. Williams,,22,24
91,1,1:38.0,M. Williams makes 3-pt jump shot from 28 ft,,25,24
92,1,1:15.0,,J. Clarkson makes 2-pt layup from 3 ft (assist by D. Russell),25,26
93,1,0:59.0,Turnover by N. Batum (bad pass),,25,26
94,1,0:59.0,,C. Brewer enters the game for D. Russell,25,26
95,1,0:59.0,M. Belinelli enters the game for N. Batum,,25,26
96,1,0:43.0,,Shooting foul by J. Lamb (drawn by L. Nance),25,26
97,1,0:43.0,,L. Nance makes free throw 1 of 2,25,27
98,1,0:43.0,,L. Nance makes free throw 2 of 2,25,28
99,1,0:32.0,C. Zeller makes 2-pt hook shot from 2 ft (assist by B. Roberts),,27,28
100,1,0:19.0,,J. Clarkson makes 2-pt jump shot from 6 ft,27,30
101,1,0:19.0,,Shooting foul by B. Roberts (drawn by J. Clarkson),27,30
102,1,0:19.0,,J. Clarkson makes free throw 1 of 1,27,31
103,1,0:04.0,M. Belinelli misses 2-pt jump shot from 19 ft,,27,31
104,1,0:01.0,,Defensive rebound by I. Zubac,27,31
105,1,0:00.0,,I. Zubac misses 3-pt jump shot from 72 ft,27,31
106,1,0:00.0,,Offensive rebound by Team,27,31
107,2,11:46.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,30,31
108,2,11:28.0,,I. Zubac misses 2-pt jump shot from 12 ft,30,31
109,2,11:25.0,Defensive rebound by F. Kaminsky,,30,31
110,2,11:10.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,30,31
111,2,11:08.0,,Defensive rebound by I. Zubac,30,31
112,2,10:58.0,,I. Zubac makes 2-pt hook shot from 4 ft (assist by J. Clarkson),30,33
113,2,10:43.0,Personal foul by L. Nance (drawn by M. Williams),,30,33
114,2,10:36.0,M. Belinelli makes 2-pt jump shot from 16 ft,,32,33
115,2,10:22.0,,Turnover by C. Brewer (bad pass; steal by B. Roberts),32,33
116,2,10:14.0,J. Lamb makes 2-pt jump shot from 9 ft,,34,33
117,2,10:14.0,Shooting foul by I. Zubac (drawn by J. Lamb),,34,33
118,2,10:14.0,J. Lamb makes free throw 1 of 1,,35,33
119,2,10:00.0,,I. Zubac misses 2-pt hook shot from 3 ft,35,33
120,2,9:58.0,Defensive rebound by B. Roberts,,35,33
121,2,9:45.0,M. Williams makes 2-pt layup from 2 ft (assist by B. Roberts),,37,33
122,2,9:29.0,,C. Brewer misses 3-pt jump shot from 24 ft,37,33
123,2,9:28.0,Defensive rebound by Team,,37,33
124,2,9:14.0,F. Kaminsky makes 2-pt jump shot from 3 ft (assist by M. Belinelli),,39,33
125,2,9:14.0,,LA Lakers full timeout,39,33
126,2,9:14.0,M. Kidd-Gilchrist enters the game for M. Williams,,39,33
127,2,8:57.0,,J. Clarkson misses 3-pt jump shot from 27 ft,39,33
128,2,8:55.0,Defensive rebound by F. Kaminsky,,39,33
