,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
0,1,11:46.0,,Shooting foul by C. Frye (drawn by H. Whiteside),0,0
1,1,11:46.0,,H. Whiteside misses free throw 1 of 2,0,0
2,1,11:46.0,,Offensive rebound by Team,0,0
3,1,11:46.0,,H. Whiteside misses free throw 2 of 2,0,0
4,1,11:45.0,Defensive rebound by D. Williams,,0,0
5,1,11:28.0,K. Love makes 2-pt jump shot from 12 ft (assist by J. Smith),,2,0
6,1,11:15.0,,J. Johnson misses 2-pt jump shot from 7 ft,2,0
7,1,11:14.0,Defensive rebound by I. Shumpert,,2,0
8,1,11:07.0,I. Shumpert makes 2-pt jump shot from 16 ft,,4,0
9,1,10:55.0,,R. McGruder makes 3-pt jump shot from 24 ft (assist by J. Johnson),4,3
10,1,10:41.0,I. Shumpert misses 3-pt jump shot from 25 ft,,4,3
11,1,10:40.0,,Defensive rebound by J. Richardson,4,3
12,1,10:31.0,,J. Richardson makes 2-pt dunk at rim,4,5
13,1,10:22.0,Shooting foul by G. Dragić (drawn by C. Frye),,4,5
14,1,10:22.0,C. Frye makes free throw 1 of 2,,5,5
15,1,10:22.0,C. Frye makes free throw 2 of 2,,6,5
16,1,10:15.0,,Turnover by J. Johnson (bad pass; steal by J. Smith),6,5
17,1,10:09.0,Offensive foul by K. Love (drawn by G. Dragić),,6,5
18,1,10:09.0,Turnover by K. Love (offensive foul),,6,5
19,1,9:54.0,,Turnover by H. Whiteside (traveling),6,5
20,1,9:42.0,K. Love makes 2-pt jump shot from 19 ft,,8,5
21,1,9:30.0,,J. Johnson makes 2-pt dunk at rim (assist by G. Dragić),8,7
22,1,9:12.0,K. Love misses 3-pt jump shot from 24 ft,,8,7
23,1,9:11.0,,Defensive rebound by H. Whiteside,8,7
24,1,9:02.0,,G. Dragić makes 2-pt layup from 1 ft,8,9
25,1,8:54.0,D. Williams makes 2-pt jump shot from 4 ft,,10,9
26,1,8:41.0,,J. Richardson makes 2-pt jump shot from 12 ft (assist by J. Johnson),10,11
27,1,8:23.0,J. Smith makes 2-pt jump shot from 19 ft,,12,11
28,1,8:11.0,,G. Dragić misses 2-pt jump shot from 18 ft,12,11
29,1,8:10.0,Defensive rebound by J. Smith,,12,11
30,1,7:53.0,K. Love misses 2-pt jump shot from 17 ft,,12,11
31,1,7:52.0,,Defensive rebound by R. McGruder,12,11
32,1,7:40.0,,G. Dragić makes 2-pt hook shot from 8 ft,12,13
33,1,7:25.0,C. Frye makes 2-pt jump shot from 18 ft (assist by D. Williams),,14,13
34,1,7:02.0,,H. Whiteside misses 2-pt jump shot from 9 ft,14,13
35,1,7:01.0,Defensive rebound by C. Frye,,14,13
36,1,6:51.0,Turnover by D. Williams (bad pass),,14,13
37,1,6:51.0,K. Korver enters the game for K. Love,,14,13
38,1,6:42.0,,H. Whiteside misses 2-pt jump shot from 6 ft (block by K. Korver),14,13
39,1,6:41.0,,Offensive rebound by Team,14,13
40,1,6:36.0,,H. Whiteside makes 2-pt dunk at rim (assist by R. McGruder),14,15
41,1,6:26.0,D. Williams makes 3-pt jump shot from 24 ft,,17,15
42,1,6:10.0,,H. Whiteside makes 2-pt dunk at rim (assist by J. Johnson),17,17
43,1,5:54.0,C. Frye makes 3-pt jump shot from 25 ft (assist by D. Williams),,20,17
44,1,5:46.0,,Miami full timeout,20,17
45,1,5:36.0,,R. McGruder misses 3-pt jump shot from 25 ft,20,17
46,1,5:35.0,Defensive rebound by I. Shumpert,,20,17
47,1,5:26.0,I. Shumpert misses 2-pt jump shot from 6 ft,,20,17
48,1,5:25.0,,Defensive rebound by H. Whiteside,20,17
49,1,5:09.0,,G. Dragić misses 2-pt jump shot from 16 ft (block by C. Frye),20,17
50,1,5:08.0,Defensive rebound by K. Korver,,20,17
51,1,4:53.0,J. Smith makes 3-pt jump shot from 25 ft (assist by D. Williams),,23,17
52,1,4:41.0,Violation by C. Frye (kicked ball),,23,17
53,1,4:41.0,,T. Johnson enters the game for G. Dragić,23,17
54,1,4:30.0,,T. Johnson misses 2-pt jump shot from 19 ft,23,17
55,1,4:29.0,Defensive rebound by C. Frye,,23,17
56,1,4:20.0,C. Frye makes 2-pt jump shot from 15 ft (assist by D. Williams),,25,17
57,1,4:03.0,,H. Whiteside makes 2-pt jump shot from 2 ft (assist by J. Johnson),25,19
58,1,3:56.0,D. Williams makes 2-pt layup from 2 ft,,27,19
