,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,,Turnover by J. Embiid (bad pass),0,0
1,1,11:42.0,Personal foul by J. Embiid (drawn by M. Turner),,0,0
2,1,11:34.0,C. Miles misses 2-pt jump shot from 16 ft,,0,0
3,1,11:32.0,,Defensive rebound by J. Embiid,0,0
4,1,11:24.0,,R. Covington misses 3-pt jump shot from 26 ft,0,0
5,1,11:22.0,Defensive rebound by M. Turner,,0,0
6,1,11:14.0,Turnover by T. Young (bad pass; steal by D. Šarić),,0,0
7,1,11:09.0,,G. Henderson makes 2-pt layup from 1 ft (assist by D. Šarić),0,2
8,1,10:52.0,C. Miles makes 2-pt jump shot from 7 ft (assist by M. Turner),,2,2
9,1,10:40.0,,Shooting foul by M. Turner (drawn by J. Embiid),2,2
10,1,10:40.0,,J. Embiid misses free throw 1 of 2,2,2
11,1,10:40.0,,Offensive rebound by Team,2,2
12,1,10:40.0,,J. Embiid makes free throw 2 of 2,2,3
13,1,10:24.0,T. Young makes 2-pt hook shot from 4 ft (assist by P. George),,4,3
14,1,10:14.0,,Shooting foul by M. Turner (drawn by J. Embiid),4,3
15,1,10:14.0,,J. Embiid makes free throw 1 of 2,4,4
16,1,10:14.0,A. Jefferson enters the game for M. Turner,,4,4
17,1,10:14.0,,J. Embiid makes free throw 2 of 2,4,5
18,1,9:55.0,J. Teague misses 3-pt jump shot from 25 ft,,4,5
19,1,9:53.0,,Defensive rebound by R. Covington,4,5
20,1,9:47.0,Offensive charge foul by J. Embiid (drawn by T. Young),,4,5
21,1,9:47.0,,Turnover by J. Embiid (offensive foul),4,5
22,1,9:47.0,,R. Holmes enters the game for J. Embiid,4,5
23,1,9:38.0,P. George misses 2-pt jump shot from 16 ft,,4,5
24,1,9:37.0,,Defensive rebound by R. Holmes,4,5
25,1,9:31.0,,G. Henderson makes 2-pt dunk at rim (assist by S. Rodríguez),4,7
26,1,9:14.0,T. Young makes 2-pt layup from 2 ft (assist by J. Teague),,6,7
27,1,9:03.0,,D. Šarić misses 2-pt layup from 2 ft,6,7
28,1,9:02.0,Defensive rebound by P. George,,6,7
29,1,8:46.0,C. Miles misses 3-pt jump shot from 24 ft,,6,7
30,1,8:45.0,,Defensive rebound by D. Šarić,6,7
31,1,8:29.0,,S. Rodríguez misses 3-pt jump shot from 26 ft,6,7
32,1,8:28.0,Defensive rebound by T. Young,,6,7
33,1,8:16.0,,E. İlyasova enters the game for D. Šarić,6,7
34,1,8:05.0,T. Young makes 2-pt hook shot from 5 ft (assist by A. Jefferson),,8,7
35,1,7:50.0,,R. Covington misses 2-pt jump shot from 13 ft,8,7
36,1,7:48.0,Defensive rebound by T. Young,,8,7
37,1,7:38.0,,Violation by G. Henderson (def goaltending),8,7
38,1,7:38.0,A. Jefferson makes 2-pt jump shot from 4 ft (assist by J. Teague),,10,7
39,1,7:24.0,,G. Henderson makes 2-pt jump shot from 13 ft (assist by S. Rodríguez),10,9
40,1,7:14.0,P. George makes 2-pt jump shot from 15 ft,,12,9
41,1,7:07.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),12,12
42,1,6:57.0,J. Teague makes 2-pt layup from 2 ft,,14,12
43,1,6:54.0,,Philadelphia full timeout,14,12
44,1,6:54.0,,T. McConnell enters the game for S. Rodríguez,14,12
45,1,6:54.0,M. Ellis enters the game for C. Miles,,14,12
46,1,6:54.0,,H. Thompson enters the game for R. Covington,14,12
47,1,6:36.0,,G. Henderson misses 2-pt jump shot from 18 ft,14,12
48,1,6:34.0,,Offensive rebound by R. Holmes,14,12
