,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:46.0,,M. Morris misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,,Offensive rebound by A. Drummond,0,0
2,1,11:46.0,,Shooting foul by N. Batum (drawn by A. Drummond),0,0
3,1,11:46.0,,A. Drummond makes free throw 1 of 2,0,1
4,1,11:46.0,,A. Drummond misses free throw 2 of 2,0,1
5,1,11:46.0,Defensive rebound by R. Hibbert,,0,1
6,1,11:19.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,0,1
7,1,11:18.0,,Defensive rebound by A. Drummond,0,1
8,1,11:09.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by J. Leuer),0,3
9,1,11:00.0,Personal foul by R. Jackson (drawn by K. Walker),,0,3
10,1,10:50.0,R. Hibbert makes 2-pt dunk at rim (assist by N. Batum),,2,3
11,1,10:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,2,3
12,1,10:31.0,Defensive rebound by N. Batum,,2,3
13,1,10:27.0,Turnover by N. Batum (lost ball; steal by K. Caldwell-Pope),,2,3
14,1,10:22.0,,J. Leuer makes 2-pt dunk at rim (assist by R. Jackson),2,5
15,1,10:04.0,K. Walker makes 2-pt layup at rim,,4,5
16,1,9:56.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),4,8
17,1,9:46.0,K. Walker misses 3-pt jump shot from 26 ft,,4,8
18,1,9:46.0,,Defensive rebound by M. Morris,4,8
19,1,9:34.0,,K. Caldwell-Pope misses 2-pt jump shot from 4 ft (block by R. Hibbert),4,8
20,1,9:33.0,Defensive rebound by M. Williams,,4,8
21,1,9:15.0,Turnover by K. Walker (lost ball),,4,8
22,1,8:57.0,,J. Leuer makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),4,11
23,1,8:43.0,Shooting foul by J. Leuer (drawn by N. Batum),,4,11
24,1,8:43.0,N. Batum makes free throw 1 of 2,,5,11
25,1,8:43.0,N. Batum makes free throw 2 of 2,,6,11
26,1,8:28.0,,A. Drummond misses 2-pt hook shot from 7 ft,6,11
27,1,8:28.0,,Offensive rebound by M. Morris,6,11
28,1,8:28.0,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Morris),6,11
29,1,8:28.0,,M. Morris makes free throw 1 of 2,6,12
30,1,8:28.0,,M. Morris makes free throw 2 of 2,6,13
31,1,8:13.0,Shooting foul by J. Leuer (drawn by M. Williams),,6,13
32,1,8:13.0,M. Williams makes free throw 1 of 2,,7,13
33,1,8:13.0,,T. Harris enters the game for J. Leuer,7,13
34,1,8:13.0,M. Williams makes free throw 2 of 2,,8,13
35,1,8:04.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by M. Morris),8,15
36,1,8:04.0,,Shooting foul by R. Hibbert (drawn by A. Drummond),8,15
37,1,8:04.0,,A. Drummond makes free throw 1 of 1,8,16
38,1,7:46.0,M. Williams makes 2-pt jump shot from 8 ft (assist by N. Batum),,10,16
39,1,7:46.0,Shooting foul by T. Harris (drawn by M. Williams),,10,16
40,1,7:46.0,M. Williams makes free throw 1 of 1,,11,16
41,1,7:31.0,,T. Harris makes 2-pt jump shot from 16 ft,11,18
42,1,7:14.0,Shooting foul by A. Drummond (drawn by R. Hibbert),,11,18
43,1,7:14.0,R. Hibbert makes free throw 1 of 2,,12,18
44,1,7:14.0,R. Hibbert makes free throw 2 of 2,,13,18
45,1,7:01.0,,R. Jackson misses 2-pt jump shot from 17 ft,13,18
46,1,7:01.0,Defensive rebound by R. Hibbert,,13,18
47,1,6:43.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,13,18
48,1,6:43.0,Offensive rebound by M. Williams,,13,18
49,1,6:42.0,M. Williams misses 2-pt layup from 1 ft,,13,18
50,1,6:42.0,Offensive rebound by Team,,13,18
51,1,6:42.0,,Loose ball foul by A. Drummond (drawn by M. Kidd-Gilchrist),13,18
52,1,6:42.0,M. Kidd-Gilchrist makes free throw 1 of 2,,14,18
53,1,6:42.0,,B. Marjanović enters the game for A. Drummond,14,18
54,1,6:42.0,M. Kidd-Gilchrist makes free throw 2 of 2,,15,18
55,1,6:29.0,,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,15,18
56,1,6:29.0,Defensive rebound by R. Hibbert,,15,18
