,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,J. Butler misses 2-pt jump shot from 20 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Holiday,0,0
2,1,11:20.0,,T. Frazier misses 3-pt jump shot from 26 ft,0,0
3,1,11:19.0,Defensive rebound by R. Rondo,,0,0
4,1,10:58.0,P. Zipser makes 2-pt jump shot from 21 ft (assist by J. Butler),,2,0
5,1,10:43.0,,D. Cousins misses 2-pt jump shot from 17 ft,2,0
6,1,10:42.0,Defensive rebound by P. Zipser,,2,0
7,1,10:31.0,R. Lopez makes 2-pt jump shot from 14 ft (assist by R. Rondo),,4,0
8,1,10:13.0,,S. Hill misses 3-pt jump shot from 22 ft,4,0
9,1,10:13.0,Defensive rebound by R. Rondo,,4,0
10,1,10:10.0,Turnover by R. Rondo (bad pass),,4,0
11,1,9:48.0,,J. Holiday makes 2-pt jump shot from 19 ft,4,2
12,1,9:31.0,R. Rondo makes 2-pt layup from 2 ft,,6,2
13,1,9:20.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by J. Holiday),6,4
14,1,9:07.0,Turnover by R. Rondo (bad pass; steal by A. Davis),,6,4
15,1,8:58.0,,D. Cousins makes 2-pt layup from 2 ft (assist by J. Holiday),6,6
16,1,8:45.0,Shooting foul by T. Frazier (drawn by R. Lopez),,6,6
17,1,8:45.0,R. Lopez misses free throw 1 of 2,,6,6
18,1,8:45.0,Offensive rebound by Team,,6,6
19,1,8:45.0,R. Lopez makes free throw 2 of 2,,7,6
20,1,8:38.0,,Turnover by D. Cousins (bad pass),7,6
21,1,8:12.0,R. Lopez makes 2-pt layup from 3 ft,,9,6
22,1,8:03.0,,T. Frazier misses 2-pt layup from 2 ft,9,6
23,1,8:01.0,Defensive rebound by R. Lopez,,9,6
24,1,7:50.0,R. Rondo misses 3-pt jump shot from 24 ft,,9,6
25,1,7:49.0,,Defensive rebound by S. Hill,9,6
26,1,7:36.0,,Turnover by D. Cousins (bad pass),9,6
27,1,7:23.0,J. Butler misses 2-pt jump shot from 14 ft,,9,6
28,1,7:22.0,Offensive rebound by J. Butler,,9,6
29,1,7:21.0,J. Butler makes 2-pt layup from 2 ft,,11,6
30,1,7:21.0,Shooting foul by S. Hill (drawn by J. Butler),,11,6
31,1,7:21.0,J. Butler makes free throw 1 of 1,,12,6
32,1,7:06.0,,Shooting foul by R. Lopez (drawn by A. Davis),12,6
33,1,7:06.0,,A. Davis makes free throw 1 of 2,12,7
34,1,7:06.0,,A. Davis makes free throw 2 of 2,12,8
35,1,6:50.0,N. Mirotić misses 2-pt jump shot from 23 ft,,12,8
36,1,6:50.0,Offensive rebound by R. Rondo,,12,8
37,1,6:46.0,R. Rondo makes 2-pt layup from 3 ft,,14,8
38,1,6:30.0,,D. Cousins misses 3-pt jump shot from 25 ft,14,8
39,1,6:29.0,Defensive rebound by N. Mirotić,,14,8
40,1,6:22.0,N. Mirotić misses 3-pt jump shot from 29 ft,,14,8
41,1,6:21.0,,Defensive rebound by D. Cousins,14,8
42,1,6:14.0,,A. Davis misses 2-pt layup from 2 ft (block by N. Mirotić),14,8
43,1,6:11.0,Defensive rebound by N. Mirotić,,14,8
44,1,6:09.0,Shooting foul by J. Holiday (drawn by J. Butler),,14,8
45,1,6:09.0,J. Butler misses free throw 1 of 2,,14,8
46,1,6:09.0,Offensive rebound by Team,,14,8
47,1,6:09.0,J. Butler makes free throw 2 of 2,,15,8
48,1,5:55.0,,J. Holiday misses 2-pt layup from 2 ft,15,8
49,1,5:54.0,Defensive rebound by R. Rondo,,15,8
50,1,5:51.0,J. Butler makes 2-pt dunk at rim (assist by R. Rondo),,17,8
51,1,5:44.0,,New Orleans full timeout,17,8
52,1,5:44.0,D. Valentine enters the game for P. Zipser,,17,8
53,1,5:44.0,,E. Moore enters the game for T. Frazier,17,8
54,1,5:34.0,,D. Cousins makes 2-pt jump shot from 4 ft (assist by E. Moore),17,10
55,1,5:12.0,R. Lopez misses 2-pt hook shot from 3 ft,,17,10
56,1,5:10.0,,Defensive rebound by D. Cousins,17,10
57,1,5:03.0,,A. Davis misses 3-pt jump shot from 24 ft,17,10
