,QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
0,1,11:39.0,Turnover by N. Jokić (bad pass; steal by B. Portis),,0,0
1,1,11:34.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Wade),0,3
2,1,11:22.0,G. Harris misses 3-pt jump shot from 25 ft,,0,3
3,1,11:21.0,,Defensive rebound by B. Portis,0,3
4,1,10:58.0,,R. Lopez misses 2-pt layup from 2 ft,0,3
5,1,10:55.0,Defensive rebound by N. Jokić,,0,3
6,1,10:43.0,Turnover by J. Nelson (bad pass),,0,3
7,1,10:26.0,,D. Wade misses 2-pt jump shot from 6 ft,0,3
8,1,10:25.0,Defensive rebound by N. Jokić,,0,3
9,1,10:16.0,D. Gallinari makes 2-pt jump shot from 17 ft,,2,3
10,1,9:57.0,,B. Portis misses 3-pt jump shot from 24 ft,2,3
11,1,9:56.0,Defensive rebound by N. Jokić,,2,3
12,1,9:49.0,Turnover by N. Jokić (lost ball; steal by B. Portis),,2,3
13,1,9:41.0,,J. Butler makes 2-pt layup from 1 ft (assist by D. Wade),2,5
14,1,9:33.0,D. Gallinari makes 2-pt dunk at rim (assist by N. Jokić),,4,5
15,1,9:07.0,,R. Lopez misses 2-pt hook shot from 6 ft,4,5
16,1,9:06.0,,Offensive rebound by Team,4,5
17,1,9:06.0,Loose ball foul by D. Gallinari (drawn by R. Lopez),,4,5
18,1,8:49.0,,D. Wade makes 2-pt layup from 1 ft (assist by R. Lopez),4,7
19,1,8:33.0,G. Harris makes 2-pt layup from 2 ft,,6,7
20,1,8:15.0,,B. Portis misses 2-pt jump shot from 7 ft (block by W. Chandler),6,7
21,1,8:14.0,Defensive rebound by D. Gallinari,,6,7
22,1,8:01.0,W. Chandler misses 2-pt layup from 1 ft,,6,7
23,1,8:00.0,,Defensive rebound by B. Portis,6,7
24,1,7:52.0,,Turnover by D. Wade (bad pass; steal by D. Gallinari),6,7
