,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:41.0,,M. Morris makes 2-pt jump shot from 16 ft,0,2
1,1,11:21.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by A. Horford),,2,2
2,1,11:02.0,,A. Drummond misses 2-pt hook shot from 6 ft,2,2
3,1,10:59.0,Defensive rebound by A. Horford,,2,2
4,1,10:55.0,I. Thomas makes 2-pt jump shot from 14 ft,,4,2
5,1,10:38.0,,I. Smith misses 3-pt jump shot from 26 ft,4,2
6,1,10:38.0,Defensive rebound by A. Bradley,,4,2
7,1,10:23.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by I. Thomas),,7,2
8,1,10:07.0,,T. Harris makes 2-pt dunk at rim (assist by K. Caldwell-Pope),7,4
9,1,9:51.0,I. Thomas misses 3-pt jump shot from 25 ft (block by I. Smith),,7,4
10,1,9:51.0,,Defensive rebound by A. Drummond,7,4
11,1,9:42.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by I. Smith),7,7
12,1,9:27.0,A. Horford makes 3-pt jump shot from 27 ft (assist by A. Bradley),,10,7
13,1,9:06.0,,M. Morris misses 2-pt jump shot from 14 ft,10,7
14,1,9:06.0,Defensive rebound by A. Johnson,,10,7
15,1,9:01.0,Turnover by A. Horford (traveling),,10,7
16,1,8:45.0,,T. Harris misses 2-pt jump shot from 9 ft,10,7
17,1,8:44.0,Defensive rebound by A. Horford,,10,7
18,1,8:25.0,I. Thomas misses 2-pt jump shot from 13 ft,,10,7
19,1,8:25.0,,Defensive rebound by A. Drummond,10,7
20,1,8:14.0,,A. Drummond makes 2-pt jump shot from 7 ft (assist by I. Smith),10,9
21,1,7:48.0,A. Horford misses 2-pt jump shot from 8 ft,,10,9
22,1,7:48.0,,Defensive rebound by A. Drummond,10,9
23,1,7:42.0,,T. Harris misses 2-pt jump shot from 4 ft (block by J. Crowder),10,9
24,1,7:41.0,Defensive rebound by J. Crowder,,10,9
25,1,7:34.0,J. Crowder makes 2-pt jump shot from 15 ft,,12,9
26,1,7:17.0,,M. Morris misses 2-pt jump shot from 16 ft (block by I. Thomas),12,9
27,1,7:15.0,,Offensive rebound by M. Morris,12,9
28,1,7:11.0,,M. Morris misses 3-pt jump shot from 26 ft,12,9
29,1,7:10.0,Defensive rebound by A. Horford,,12,9
30,1,7:00.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by A. Horford),,15,9
31,1,7:00.0,,Detroit full timeout,15,9
32,1,7:00.0,K. Olynyk enters the game for A. Horford,,15,9
33,1,6:37.0,,A. Drummond makes 2-pt hook shot from 6 ft (assist by T. Harris),15,11
34,1,6:15.0,A. Johnson misses 2-pt jump shot from 9 ft,,15,11
35,1,6:15.0,,Defensive rebound by T. Harris,15,11
36,1,6:04.0,,Shooting foul by A. Bradley (drawn by K. Caldwell-Pope),15,11
37,1,6:04.0,,K. Caldwell-Pope makes free throw 1 of 2,15,12
38,1,6:04.0,,K. Caldwell-Pope misses free throw 2 of 2,15,12
39,1,6:04.0,M. Smart enters the game for J. Crowder,,15,12
40,1,6:04.0,,J. Leuer enters the game for T. Harris,15,12
41,1,6:03.0,,Offensive rebound by K. Caldwell-Pope,15,12
42,1,5:59.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,15,12
43,1,5:58.0,,Offensive rebound by J. Leuer,15,12
44,1,5:49.0,,A. Drummond makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),15,14
45,1,5:30.0,A. Johnson misses 2-pt jump shot from 8 ft,,15,14
46,1,5:30.0,,Defensive rebound by M. Morris,15,14
47,1,5:18.0,,A. Drummond makes 2-pt layup from 1 ft (assist by J. Leuer),15,16
48,1,5:03.0,Personal foul by K. Caldwell-Pope (drawn by K. Olynyk),,15,16
49,1,5:03.0,J. Jerebko enters the game for A. Johnson,,15,16
50,1,4:53.0,Shooting foul by I. Smith (drawn by I. Thomas),,15,16
51,1,4:53.0,I. Thomas makes free throw 1 of 2,,16,16
52,1,4:53.0,I. Thomas makes free throw 2 of 2,,17,16
53,1,4:38.0,,J. Leuer misses 3-pt jump shot from 26 ft,17,16
54,1,4:38.0,Defensive rebound by K. Olynyk,,17,16
55,1,4:21.0,I. Thomas misses 2-pt jump shot from 17 ft,,17,16
56,1,4:21.0,,Defensive rebound by A. Drummond,17,16
57,1,4:06.0,,A. Drummond misses 2-pt jump shot from 7 ft,17,16
58,1,4:06.0,Defensive rebound by J. Jerebko,,17,16
59,1,3:52.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by I. Thomas),,20,16
60,1,3:35.0,,Shooting foul by J. Jerebko (drawn by A. Drummond),20,16
61,1,3:35.0,,A. Drummond makes free throw 1 of 2,20,17
62,1,3:35.0,,A. Drummond misses free throw 2 of 2,20,17
63,1,3:35.0,J. Brown enters the game for A. Bradley,,20,17
64,1,3:34.0,Defensive rebound by M. Smart,,20,17
65,1,3:18.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by I. Thomas),,23,17
66,1,2:58.0,,M. Morris makes 2-pt jump shot from 18 ft,23,19
67,1,2:42.0,I. Thomas misses 3-pt jump shot from 25 ft,,23,19
68,1,2:42.0,Offensive rebound by M. Smart,,23,19
69,1,2:36.0,M. Smart misses 3-pt jump shot from 27 ft,,23,19
70,1,2:36.0,Offensive rebound by J. Jerebko,,23,19
71,1,2:32.0,Shooting foul by J. Leuer (drawn by J. Brown),,23,19
72,1,2:32.0,Boston full timeout,,23,19
73,1,2:32.0,J. Brown makes free throw 1 of 2,,24,19
74,1,2:32.0,A. Horford enters the game for K. Olynyk,,23,19
75,1,2:32.0,,T. Harris enters the game for M. Morris,23,19
76,1,2:32.0,,R. Bullock enters the game for K. Caldwell-Pope,23,19
77,1,2:32.0,J. Brown makes free throw 2 of 2,,25,19
78,1,2:09.0,,I. Smith makes 2-pt jump shot from 22 ft (assist by J. Leuer),25,21
79,1,1:53.0,J. Brown misses 2-pt hook shot from 9 ft,,25,21
80,1,1:52.0,,Defensive rebound by A. Drummond,25,21
81,1,1:44.0,,A. Drummond misses 2-pt jump shot from 4 ft (block by A. Horford),25,21
82,1,1:44.0,Defensive rebound by A. Horford,,25,21
83,1,1:44.0,Personal foul by A. Drummond (drawn by A. Horford),,25,21
84,1,1:32.0,A. Horford makes 2-pt jump shot from 18 ft (assist by I. Thomas),,27,21
