,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:43.0,S. Hill misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Clarkson,0,0
2,1,11:25.0,,M. World Peace misses 2-pt jump shot from 23 ft,0,0
3,1,11:23.0,Defensive rebound by T. Frazier,,0,0
4,1,11:17.0,Turnover by T. Frazier (lost ball; steal by J. Clarkson),,0,0
5,1,11:07.0,,B. Ingram misses 2-pt layup from 1 ft,0,0
6,1,11:02.0,,Offensive rebound by B. Ingram,0,0
7,1,11:02.0,,B. Ingram makes 2-pt layup from 1 ft,0,2
8,1,10:50.0,J. Holiday misses 3-pt jump shot from 24 ft,,0,2
9,1,10:49.0,,Defensive rebound by J. Clarkson,0,2
10,1,10:38.0,,B. Ingram misses 2-pt jump shot from 15 ft,0,2
11,1,10:36.0,Defensive rebound by D. Cunningham,,0,2
12,1,10:18.0,J. Holiday makes 2-pt layup from 1 ft (assist by T. Frazier),,2,2
13,1,10:01.0,,J. Randle makes 2-pt jump shot from 9 ft (assist by M. World Peace),2,4
14,1,9:45.0,Turnover by J. Holiday (lost ball; steal by M. World Peace),,2,4
15,1,9:39.0,,Shooting foul by D. Cunningham (drawn by L. Nance),2,4
16,1,9:39.0,,L. Nance makes free throw 1 of 2,2,5
17,1,9:39.0,,L. Nance makes free throw 2 of 2,2,6
18,1,9:18.0,D. Cunningham misses 3-pt jump shot from 23 ft,,2,6
19,1,9:16.0,,Defensive rebound by J. Randle,2,6
20,1,9:08.0,,Shooting foul by A. Ajinça (drawn by J. Randle),2,6
21,1,9:08.0,,J. Randle makes free throw 1 of 2,2,7
22,1,9:08.0,,J. Randle makes free throw 2 of 2,2,8
23,1,8:57.0,T. Frazier misses 2-pt jump shot from 18 ft,,2,8
24,1,8:52.0,,Defensive rebound by L. Nance,2,8
25,1,8:46.0,,B. Ingram misses 2-pt layup from 1 ft,2,8
26,1,8:42.0,Defensive rebound by A. Ajinça,,2,8
27,1,8:32.0,J. Holiday makes 2-pt layup from 1 ft,,4,8
28,1,8:23.0,,Personal foul by T. Frazier (drawn by J. Clarkson),4,8
29,1,8:19.0,,L. Nance misses 3-pt jump shot from 26 ft,4,8
30,1,8:18.0,Defensive rebound by Team,,4,8
31,1,8:03.0,T. Frazier makes 3-pt jump shot from 26 ft (assist by J. Holiday),,7,8
32,1,7:51.0,,M. World Peace misses 3-pt jump shot from 24 ft,7,8
33,1,7:50.0,Defensive rebound by Team,,7,8
34,1,7:36.0,A. Ajinça misses 2-pt jump shot from 8 ft,,7,8
35,1,7:32.0,,Defensive rebound by M. World Peace,7,8
36,1,7:23.0,,J. Randle makes 2-pt layup at rim (assist by J. Clarkson),7,10
37,1,7:12.0,A. Ajinça makes 2-pt jump shot from 18 ft (assist by J. Holiday),,9,10
38,1,7:05.0,,Turnover by J. Clarkson (bad pass; steal by D. Cunningham),9,10
39,1,7:05.0,New Orleans full timeout,,9,10
40,1,6:58.0,J. Holiday makes 2-pt jump shot from 19 ft,,11,10
41,1,6:43.0,,B. Ingram makes 2-pt layup from 1 ft (assist by J. Clarkson),11,12
42,1,6:30.0,S. Hill makes 2-pt layup from 1 ft (assist by A. Ajinça),,13,12
43,1,6:19.0,,B. Ingram misses 3-pt jump shot from 25 ft,13,12
44,1,6:18.0,Defensive rebound by A. Ajinça,,13,12
45,1,6:11.0,Shooting foul by J. Randle (drawn by A. Ajinça),,13,12
46,1,6:11.0,A. Ajinça misses free throw 1 of 2,,13,12
47,1,6:11.0,Offensive rebound by Team,,13,12
48,1,6:11.0,,T. Ennis enters the game for M. World Peace,13,12
