,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,,D. Dedmon makes 2-pt dunk at rim (assist by L. Aldridge),0,2
1,1,11:29.0,K. Irving makes 2-pt jump shot from 16 ft (assist by K. Love),,2,2
2,1,11:10.0,,K. Leonard misses 2-pt jump shot from 18 ft,2,2
3,1,11:09.0,Defensive rebound by J. Smith,,2,2
4,1,10:52.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,4,2
5,1,10:38.0,Violation by J. Smith (kicked ball),,4,2
6,1,10:29.0,,L. Aldridge misses 2-pt jump shot from 13 ft,4,2
7,1,10:27.0,Defensive rebound by L. James,,4,2
8,1,10:21.0,J. Smith misses 2-pt jump shot from 23 ft,,4,2
9,1,10:20.0,,Defensive rebound by D. Dedmon,4,2
10,1,10:18.0,,Personal take foul by J. Smith,4,2
11,1,9:58.0,,D. Green misses 3-pt jump shot from 25 ft,4,2
12,1,9:58.0,Defensive rebound by K. Irving,,4,2
13,1,9:50.0,Personal foul by D. Green (drawn by L. James),,4,2
14,1,9:41.0,K. Love misses 2-pt jump shot from 14 ft,,4,2
15,1,9:39.0,,Defensive rebound by D. Dedmon,4,2
16,1,9:27.0,,Personal foul by K. Love (drawn by L. Aldridge),4,2
17,1,9:13.0,,Shooting foul by L. James (drawn by D. Green),4,2
18,1,9:13.0,,D. Green makes free throw 1 of 2,4,3
19,1,9:13.0,,D. Green makes free throw 2 of 2,4,4
20,1,8:52.0,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),,7,4
21,1,8:38.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by L. Aldridge),7,6
22,1,8:16.0,K. Love misses 3-pt jump shot from 24 ft,,7,6
23,1,8:15.0,,Defensive rebound by D. Green,7,6
24,1,7:58.0,,L. Aldridge misses 3-pt jump shot from 23 ft,7,6
25,1,7:58.0,Defensive rebound by K. Irving,,7,6
26,1,7:48.0,T. Thompson misses 2-pt dunk from 2 ft,,7,6
27,1,7:47.0,Offensive rebound by L. James,,7,6
28,1,7:47.0,Shooting foul by D. Dedmon (drawn by L. James),,7,6
29,1,7:47.0,L. James makes free throw 1 of 2,,8,6
30,1,7:47.0,L. James misses free throw 2 of 2,,8,6
31,1,7:45.0,Offensive rebound by T. Thompson,,8,6
32,1,7:42.0,L. James misses 3-pt jump shot from 25 ft,,8,6
33,1,7:40.0,,Defensive rebound by L. Aldridge,8,6
34,1,7:31.0,,K. Leonard misses 3-pt jump shot from 26 ft,8,6
35,1,7:31.0,Defensive rebound by Team,,8,6
36,1,7:31.0,,Loose ball foul by D. Dedmon (drawn by T. Thompson),8,6
37,1,7:31.0,,P. Gasol enters the game for D. Dedmon,8,6
38,1,7:16.0,J. Smith misses 3-pt jump shot from 24 ft,,8,6
39,1,7:16.0,,Defensive rebound by L. Aldridge,8,6
40,1,7:05.0,,P. Gasol makes 3-pt jump shot from 24 ft (assist by K. Leonard),8,9
41,1,6:51.0,Turnover by L. James (bad pass; steal by K. Leonard),,8,9
42,1,6:45.0,,T. Parker makes 2-pt layup at rim (assist by K. Leonard),8,11
43,1,6:45.0,Cleveland full timeout,,8,11
44,1,6:28.0,K. Irving makes 2-pt layup from 2 ft (assist by L. James),,10,11
45,1,6:05.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),10,14
46,1,5:55.0,K. Irving makes 2-pt jump shot from 14 ft,,12,14
47,1,5:35.0,,D. Green misses 3-pt jump shot from 23 ft,12,14
48,1,5:34.0,Defensive rebound by L. James,,12,14
49,1,5:28.0,K. Irving misses 3-pt jump shot from 25 ft,,12,14
50,1,5:26.0,Offensive rebound by J. Smith,,12,14
51,1,5:21.0,K. Love misses 3-pt jump shot from 23 ft,,12,14
52,1,5:21.0,,Defensive rebound by K. Leonard,12,14
53,1,5:15.0,,K. Leonard makes 2-pt jump shot from 17 ft,12,16
54,1,5:00.0,L. James makes 2-pt layup from 1 ft (assist by K. Irving),,14,16
55,1,5:00.0,,San Antonio full timeout,14,16
56,1,5:00.0,,P. Mills enters the game for T. Parker,14,16
57,1,5:00.0,,M. Ginóbili enters the game for D. Green,14,16
58,1,5:00.0,R. Jefferson enters the game for J. Smith,,14,16
59,1,4:42.0,,M. Ginóbili makes 2-pt jump shot from 7 ft (assist by L. Aldridge),14,18
60,1,4:25.0,K. Irving misses 2-pt layup from 1 ft,,14,18
61,1,4:22.0,,Defensive rebound by P. Gasol,14,18
62,1,4:14.0,C. Frye enters the game for K. Love,,14,18
63,1,4:08.0,,P. Gasol misses 2-pt jump shot from 8 ft,14,18
64,1,4:07.0,,Offensive rebound by L. Aldridge,14,18
65,1,4:07.0,,L. Aldridge misses 2-pt layup at rim,14,18
66,1,4:03.0,Defensive rebound by R. Jefferson,,14,18
67,1,3:55.0,L. James misses 2-pt jump shot from 5 ft (block by K. Leonard),,14,18
68,1,3:52.0,,Defensive rebound by P. Gasol,14,18
69,1,3:37.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by P. Mills),14,21
70,1,3:18.0,L. James misses 3-pt jump shot from 25 ft,,14,21
71,1,3:15.0,,Defensive rebound by P. Gasol,14,21
72,1,3:02.0,,L. Aldridge misses 2-pt jump shot from 19 ft,14,21
73,1,3:00.0,Defensive rebound by R. Jefferson,,14,21
74,1,2:53.0,K. Irving makes 2-pt jump shot from 11 ft (assist by L. James),,16,21
75,1,2:40.0,Violation by R. Jefferson (kicked ball),,16,21
76,1,2:40.0,,D. Lee enters the game for L. Aldridge,16,21
77,1,2:40.0,D. Williams enters the game for L. James,,16,21
78,1,2:24.0,,K. Leonard misses 2-pt jump shot from 17 ft,16,21
79,1,2:20.0,,Offensive rebound by M. Ginóbili,16,21
80,1,2:17.0,,M. Ginóbili makes 2-pt layup from 2 ft,16,23
81,1,2:11.0,T. Thompson makes 2-pt dunk at rim (assist by R. Jefferson),,18,23
82,1,2:02.0,,San Antonio full timeout,18,23
83,1,2:02.0,,D. Green enters the game for K. Leonard,18,23
84,1,1:52.0,,P. Mills makes 2-pt layup from 1 ft (assist by M. Ginóbili),18,25
85,1,1:30.0,K. Irving misses 2-pt jump shot from 16 ft,,18,25
86,1,1:27.0,,Defensive rebound by D. Green,18,25
87,1,1:11.0,,D. Lee misses 2-pt jump shot from 3 ft,18,25
88,1,1:10.0,,Offensive rebound by D. Lee,18,25
89,1,1:08.0,,D. Lee misses 2-pt layup from 1 ft,18,25
90,1,1:07.0,Defensive rebound by T. Thompson,,18,25
91,1,0:46.0,R. Jefferson misses 3-pt jump shot from 26 ft,,18,25
92,1,0:45.0,,Defensive rebound by M. Ginóbili,18,25
93,1,0:34.0,,D. Green misses 3-pt jump shot from 24 ft,18,25
94,1,0:34.0,Defensive rebound by T. Thompson,,18,25
95,1,0:27.0,Turnover by K. Irving (lost ball; steal by D. Green),,18,25
96,1,0:09.0,,Personal take foul by C. Frye (drawn by M. Ginóbili),18,25
97,1,0:04.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by P. Mills),18,28
98,1,0:00.0,K. Irving misses 3-pt jump shot from 34 ft,,18,28
99,1,0:00.0,Offensive rebound by Team,,18,28
100,2,11:53.0,L. James makes 2-pt dunk at rim,,20,28
101,2,11:39.0,,Shooting foul by K. Love (drawn by P. Gasol),20,28
102,2,11:39.0,,P. Gasol makes free throw 1 of 2,20,29
103,2,11:39.0,,P. Gasol makes free throw 2 of 2,20,30
104,2,11:17.0,R. Jefferson misses 2-pt jump shot from 6 ft,,20,30
105,2,11:16.0,Offensive rebound by K. Love,,20,30
106,2,11:13.0,K. Love makes 2-pt layup at rim,,22,30
107,2,11:02.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,22,30
108,2,11:02.0,Defensive rebound by Team,,22,30
109,2,10:46.0,Personal foul by P. Gasol (drawn by K. Love),,22,30
110,2,10:46.0,,L. Aldridge enters the game for P. Gasol,22,30
111,2,10:34.0,L. James misses 2-pt jump shot from 16 ft,,22,30
112,2,10:34.0,,Defensive rebound by M. Ginóbili,22,30
113,2,10:23.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),22,32
114,2,10:08.0,D. Williams misses 3-pt jump shot from 23 ft,,22,32
115,2,10:07.0,Offensive rebound by K. Love,,22,32
116,2,10:03.0,Turnover by R. Jefferson (bad pass),,22,32
117,2,10:03.0,Loose ball foul by D. Williams (drawn by D. Lee),,22,32
118,2,10:03.0,,T. Parker enters the game for P. Mills,22,32
119,2,10:03.0,,K. Leonard enters the game for M. Ginóbili,22,32
120,2,9:44.0,,Shooting foul by D. Williams (drawn by T. Parker),22,32
121,2,9:44.0,,T. Parker misses free throw 1 of 2,22,32
122,2,9:44.0,,Offensive rebound by Team,22,32
123,2,9:44.0,,T. Parker misses free throw 2 of 2,22,32
124,2,9:43.0,Defensive rebound by K. Love,,22,32
125,2,9:27.0,K. Love makes 2-pt jump shot from 5 ft (assist by L. James),,24,32
126,2,9:11.0,,K. Leonard makes 2-pt dunk at rim,24,34
127,2,9:02.0,Personal foul by L. Aldridge (drawn by K. Love),,24,34
128,2,9:02.0,J. Smith enters the game for D. Williams,,24,34
129,2,8:47.0,J. Smith makes 3-pt jump shot from 26 ft (assist by R. Jefferson),,27,34
130,2,8:39.0,,Turnover by D. Green (bad pass; steal by J. Smith),27,34
131,2,8:31.0,J. Smith misses 3-pt jump shot from 24 ft,,27,34
132,2,8:29.0,,Defensive rebound by D. Lee,27,34
133,2,8:14.0,,K. Leonard misses 3-pt jump shot from 25 ft,27,34
134,2,8:12.0,,Offensive rebound by L. Aldridge,27,34
135,2,8:11.0,,L. Aldridge makes 2-pt layup from 1 ft,27,36
136,2,7:56.0,L. James misses 2-pt layup at rim (block by D. Green),,27,36
137,2,7:55.0,,Defensive rebound by K. Leonard,27,36
