,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
0,1,11:38.0,A. Afflalo misses 2-pt jump shot from 15 ft,,0,0
1,1,11:37.0,,Defensive rebound by E. Payton,0,0
2,1,11:30.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),0,2
3,1,11:06.0,D. Cousins makes 2-pt layup from 1 ft,,2,2
4,1,10:48.0,,E. Payton misses 2-pt layup from 2 ft (block by D. Cousins),2,2
5,1,10:48.0,Defensive rebound by T. Lawson,,2,2
6,1,10:29.0,R. Gay makes 2-pt layup from 3 ft,,4,2
7,1,10:15.0,,N. Vučević makes 2-pt jump shot from 15 ft,4,4
8,1,9:49.0,T. Lawson misses 2-pt layup from 3 ft,,4,4
9,1,9:47.0,,Defensive rebound by A. Gordon,4,4
10,1,9:43.0,,E. Payton makes 2-pt layup from 2 ft,4,6
11,1,9:28.0,Turnover by R. Gay (traveling),,4,6
12,1,9:16.0,,N. Vučević misses 2-pt jump shot from 20 ft,4,6
13,1,9:15.0,,Offensive rebound by A. Gordon,4,6
14,1,9:12.0,,A. Gordon misses 2-pt hook shot from 9 ft,4,6
15,1,9:10.0,Defensive rebound by K. Koufos,,4,6
16,1,8:57.0,T. Lawson misses 3-pt jump shot from 26 ft,,4,6
17,1,8:55.0,,Defensive rebound by S. Ibaka,4,6
18,1,8:43.0,,E. Fournier makes 2-pt layup from 3 ft (assist by E. Payton),4,8
19,1,8:17.0,D. Cousins makes 2-pt jump shot from 17 ft,,6,8
20,1,8:10.0,,Turnover by E. Fournier (bad pass; steal by D. Cousins),6,8
21,1,8:00.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by A. Afflalo),,9,8
22,1,7:45.0,,N. Vučević misses 2-pt jump shot from 18 ft,9,8
23,1,7:44.0,Defensive rebound by K. Koufos,,9,8
24,1,7:36.0,Shooting foul by S. Ibaka (drawn by R. Gay),,9,8
25,1,7:36.0,R. Gay misses free throw 1 of 2,,9,8
26,1,7:36.0,Offensive rebound by Team,,9,8
27,1,7:36.0,R. Gay misses free throw 2 of 2,,9,8
28,1,7:35.0,,Defensive rebound by A. Gordon,9,8
29,1,7:15.0,,Turnover by N. Vučević (lost ball; steal by R. Gay),9,8
