,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MILWAUKEE_ACTION,HOUSTON_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by T. Ariza),,3,0
1,1,11:24.0,,M. Plumlee makes 2-pt dunk at rim (assist by J. Parker),3,2
2,1,11:16.0,T. Ariza misses 3-pt jump shot from 26 ft,,3,2
3,1,11:16.0,Offensive rebound by Team,,3,2
4,1,11:16.0,,Loose ball foul by M. Dellavedova (drawn by P. Beverley),3,2
5,1,11:06.0,P. Beverley makes 3-pt jump shot from 23 ft,,6,2
6,1,10:50.0,,J. Parker misses 2-pt jump shot from 8 ft,6,2
7,1,10:49.0,Defensive rebound by J. Harden,,6,2
8,1,10:45.0,C. Capela misses 2-pt layup from 1 ft (block by M. Plumlee),,6,2
9,1,10:40.0,,Defensive rebound by M. Dellavedova,6,2
10,1,10:36.0,,Turnover by M. Dellavedova (lost ball; steal by P. Beverley),6,2
11,1,10:16.0,Turnover by J. Harden (lost ball; steal by T. Snell),,6,2
12,1,10:12.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),6,4
13,1,10:02.0,P. Beverley makes 2-pt layup from 1 ft,,8,4
14,1,9:48.0,,Turnover by G. Antetokounmpo (lost ball),8,4
15,1,9:31.0,C. Capela misses 2-pt layup at rim,,8,4
16,1,9:29.0,,Defensive rebound by J. Parker,8,4
17,1,9:25.0,,J. Parker makes 2-pt layup at rim,8,6
18,1,8:56.0,R. Anderson misses 3-pt jump shot from 28 ft,,8,6
19,1,8:56.0,,Defensive rebound by Team,8,6
20,1,8:44.0,Offensive charge foul by J. Parker (drawn by T. Ariza),,8,6
21,1,8:44.0,,Turnover by J. Parker (offensive foul),8,6
22,1,8:34.0,R. Anderson misses 3-pt jump shot from 28 ft,,8,6
23,1,8:32.0,,Defensive rebound by J. Parker,8,6
24,1,8:23.0,,G. Antetokounmpo makes 2-pt jump shot from 21 ft,8,8
25,1,8:05.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by R. Anderson),,11,8
26,1,7:46.0,,M. Plumlee makes 2-pt hook shot from 3 ft (assist by M. Dellavedova),11,10
27,1,7:31.0,R. Anderson misses 2-pt layup from 3 ft,,11,10
28,1,7:30.0,Offensive rebound by R. Anderson,,11,10
29,1,7:30.0,R. Anderson makes 2-pt layup from 1 ft,,13,10
30,1,7:17.0,,G. Antetokounmpo misses 2-pt layup at rim,13,10
31,1,7:16.0,,Offensive rebound by G. Antetokounmpo,13,10
32,1,7:14.0,,G. Antetokounmpo makes 2-pt layup at rim,13,12
33,1,7:03.0,R. Anderson makes 2-pt layup from 1 ft (assist by T. Ariza),,15,12
34,1,7:03.0,Shooting foul by M. Plumlee (drawn by R. Anderson),,15,12
35,1,7:03.0,R. Anderson makes free throw 1 of 1,,16,12
36,1,6:47.0,,J. Parker makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),16,15
37,1,6:31.0,C. Capela misses 2-pt layup from 1 ft,,16,15
38,1,6:29.0,,Defensive rebound by J. Parker,16,15
39,1,6:29.0,,Personal take foul by P. Beverley (drawn by J. Parker),16,15
40,1,6:29.0,,M. Brogdon enters the game for M. Dellavedova,16,15
41,1,6:17.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,16,15
42,1,6:16.0,,Offensive rebound by M. Plumlee,16,15
43,1,6:11.0,,M. Plumlee misses 2-pt jump shot from 13 ft,16,15
44,1,6:09.0,Defensive rebound by J. Harden,,16,15
45,1,6:04.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,18,15
46,1,5:50.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by M. Brogdon),18,18
47,1,5:30.0,Turnover by T. Ariza (bad pass; steal by M. Plumlee),,18,18
48,1,5:27.0,,Shooting foul by R. Anderson (drawn by G. Antetokounmpo),18,18
49,1,5:27.0,,Milwaukee full timeout,18,18
50,1,5:27.0,,G. Antetokounmpo makes free throw 1 of 2,18,19
51,1,5:27.0,E. Gordon enters the game for C. Capela,,18,18
52,1,5:27.0,N. Hilário enters the game for P. Beverley,,18,18
53,1,5:27.0,,G. Monroe enters the game for M. Plumlee,18,18
54,1,5:27.0,,G. Antetokounmpo makes free throw 2 of 2,18,20
55,1,5:04.0,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),,20,20
56,1,4:47.0,,J. Parker misses 2-pt layup from 2 ft,20,20
57,1,4:46.0,Defensive rebound by J. Harden,,20,20
58,1,4:43.0,Turnover by J. Harden (lost ball; steal by J. Parker),,20,20
59,1,4:37.0,,G. Monroe makes 2-pt layup from 1 ft (assist by J. Parker),20,22
60,1,4:22.0,N. Hilário misses 2-pt jump shot from 17 ft,,20,22
61,1,4:21.0,,Defensive rebound by J. Parker,20,22
62,1,4:15.0,,Turnover by J. Parker (bad pass; steal by R. Anderson),20,22
63,1,4:08.0,R. Anderson misses 3-pt jump shot from 28 ft,,20,22
64,1,4:07.0,,Defensive rebound by Team,20,22
65,1,4:07.0,,M. Teletović enters the game for G. Antetokounmpo,20,22
66,1,4:07.0,S. Dekker enters the game for R. Anderson,,20,22
67,1,3:58.0,,J. Parker makes 2-pt layup at rim (assist by M. Brogdon),20,24
68,1,3:38.0,Shooting foul by T. Snell (drawn by N. Hilário),,20,24
69,1,3:38.0,N. Hilário misses free throw 1 of 2,,20,24
70,1,3:38.0,Offensive rebound by Team,,20,24
71,1,3:38.0,N. Hilário makes free throw 2 of 2,,21,24
72,1,3:29.0,,M. Teletović misses 3-pt jump shot from 25 ft,21,24
73,1,3:28.0,Defensive rebound by N. Hilário,,21,24
74,1,3:16.0,N. Hilário misses 2-pt jump shot from 17 ft,,21,24
75,1,3:15.0,,Defensive rebound by T. Snell,21,24
