,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
0,1,11:42.0,,K. Bazemore misses 3-pt jump shot from 23 ft,0,0
1,1,11:41.0,Defensive rebound by T. Frazier,,0,0
2,1,11:19.0,A. Davis misses 2-pt jump shot from 18 ft,,0,0
3,1,11:17.0,,Defensive rebound by D. Schröder,0,0
4,1,11:09.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Schröder),0,3
5,1,10:59.0,E. Moore makes 3-pt jump shot from 24 ft (assist by T. Frazier),,3,3
6,1,10:44.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),3,5
7,1,10:33.0,T. Frazier makes 2-pt jump shot from 21 ft,,5,5
8,1,10:24.0,,Offensive foul by D. Howard (drawn by Ö. Aşık),5,5
9,1,10:24.0,,Turnover by D. Howard (offensive foul),5,5
10,1,10:06.0,T. Frazier makes 3-pt jump shot from 24 ft,,8,5
11,1,9:48.0,,P. Millsap misses 2-pt jump shot from 16 ft,8,5
12,1,9:47.0,,Offensive rebound by Team,8,5
13,1,9:45.0,,D. Schröder makes 2-pt jump shot from 14 ft (assist by K. Korver),8,7
14,1,9:30.0,T. Frazier misses 2-pt jump shot from 14 ft,,8,7
15,1,9:29.0,,Defensive rebound by P. Millsap,8,7
16,1,9:15.0,,P. Millsap misses 2-pt jump shot from 14 ft (block by D. Cunningham),8,7
17,1,9:12.0,,Offensive rebound by P. Millsap,8,7
18,1,9:09.0,,K. Bazemore misses 2-pt jump shot from 20 ft,8,7
19,1,9:08.0,Defensive rebound by T. Frazier,,8,7
20,1,9:02.0,Turnover by A. Davis (lost ball; steal by K. Bazemore),,8,7
21,1,8:53.0,,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),8,9
22,1,8:36.0,E. Moore makes 3-pt jump shot from 25 ft (assist by Ö. Aşık),,11,9
23,1,8:23.0,,Turnover by D. Howard (bad pass; steal by A. Davis),11,9
24,1,8:17.0,E. Moore makes 2-pt layup at rim (assist by A. Davis),,13,9
25,1,7:57.0,,D. Howard misses 2-pt jump shot from 4 ft,13,9
26,1,7:57.0,Defensive rebound by Team,,13,9
27,1,7:47.0,D. Cunningham misses 2-pt layup from 2 ft (block by D. Howard),,13,9
28,1,7:45.0,Offensive rebound by D. Cunningham,,13,9
29,1,7:36.0,E. Moore misses 2-pt jump shot from 17 ft,,13,9
30,1,7:35.0,,Defensive rebound by P. Millsap,13,9
31,1,7:19.0,,K. Korver misses 3-pt jump shot from 27 ft,13,9
32,1,7:17.0,Defensive rebound by D. Cunningham,,13,9
33,1,7:14.0,Personal foul by K. Korver (drawn by A. Davis),,13,9
34,1,7:14.0,,M. Muscala enters the game for D. Howard,13,9
35,1,7:06.0,,Violation by K. Bazemore (kicked ball),13,9
36,1,7:00.0,A. Davis makes 2-pt jump shot from 20 ft (assist by D. Cunningham),,15,9
37,1,6:43.0,,P. Millsap misses 3-pt jump shot from 26 ft,15,9
38,1,6:42.0,Defensive rebound by Ö. Aşık,,15,9
39,1,6:37.0,Turnover by A. Davis (bad pass; steal by P. Millsap),,15,9
40,1,6:30.0,,D. Schröder misses 3-pt jump shot from 25 ft,15,9
41,1,6:28.0,Defensive rebound by Ö. Aşık,,15,9
42,1,6:09.0,T. Frazier makes 2-pt jump shot from 18 ft (assist by E. Moore),,17,9
43,1,6:09.0,Loose ball foul by A. Davis (drawn by D. Schröder),,17,9
44,1,6:09.0,,Atlanta full timeout,17,9
45,1,6:09.0,T. Jones enters the game for Ö. Aşık,,17,9
46,1,5:55.0,,M. Muscala misses 2-pt layup from 2 ft (block by A. Davis),17,9
47,1,5:53.0,Defensive rebound by D. Cunningham,,17,9
48,1,5:49.0,T. Jones makes 2-pt layup from 1 ft (assist by T. Frazier),,19,9
49,1,5:36.0,,D. Schröder misses 2-pt layup from 1 ft,19,9
50,1,5:33.0,Defensive rebound by T. Frazier,,19,9
51,1,5:29.0,E. Moore misses 3-pt jump shot from 25 ft,,19,9
52,1,5:28.0,Offensive rebound by A. Davis,,19,9
53,1,5:27.0,A. Davis makes 2-pt layup at rim,,21,9
54,1,5:13.0,,Personal foul by D. Cunningham (drawn by K. Bazemore),21,9
55,1,5:13.0,J. Holiday enters the game for E. Moore,,21,9
56,1,5:13.0,S. Hill enters the game for D. Cunningham,,21,9
57,1,5:13.0,,T. Hardaway enters the game for K. Bazemore,21,9
58,1,5:13.0,,T. Sefolosha enters the game for K. Korver,21,9
59,1,5:10.0,,D. Schröder misses 2-pt jump shot from 15 ft,21,9
60,1,5:10.0,,Offensive rebound by M. Muscala,21,9
61,1,5:10.0,,Shooting foul by T. Jones (drawn by M. Muscala),21,9
62,1,5:10.0,,M. Muscala makes free throw 1 of 2,21,10
63,1,5:10.0,,M. Muscala misses free throw 2 of 2,21,10
64,1,5:08.0,Defensive rebound by A. Davis,,21,10
65,1,4:46.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,23,10
66,1,4:27.0,,M. Muscala misses 3-pt jump shot from 23 ft,23,10
67,1,4:26.0,Defensive rebound by T. Frazier,,23,10
68,1,4:17.0,,Violation by P. Millsap (kicked ball),23,10
69,1,4:17.0,J. Holiday misses 2-pt layup from 1 ft,,23,10
70,1,4:16.0,,Defensive rebound by T. Sefolosha,23,10
71,1,3:55.0,,P. Millsap misses 2-pt jump shot from 12 ft,23,10
72,1,3:52.0,Defensive rebound by T. Jones,,23,10
73,1,3:32.0,T. Jones makes 2-pt jump shot from 11 ft (assist by T. Frazier),,25,10
74,1,3:32.0,Shooting foul by M. Muscala (drawn by T. Jones),,25,10
75,1,3:32.0,,M. Delaney enters the game for D. Schröder,25,10
76,1,3:32.0,T. Jones makes free throw 1 of 1,,26,10
77,1,2:58.0,,M. Delaney makes 2-pt jump shot from 17 ft,26,12
78,1,2:44.0,New Orleans full timeout,,26,12
79,1,2:44.0,,D. Howard enters the game for P. Millsap,26,12
80,1,2:44.0,Ö. Aşık enters the game for A. Davis,,26,12
81,1,2:29.0,Turnover by Team (shot clock),,26,12
82,1,2:29.0,L. Galloway enters the game for T. Frazier,,26,12
83,1,2:16.0,,M. Delaney makes 2-pt jump shot from 22 ft,26,14
84,1,2:08.0,Personal foul by T. Hardaway (drawn by S. Hill),,26,14
85,1,1:57.0,J. Holiday misses 3-pt jump shot from 25 ft,,26,14
86,1,1:56.0,,Defensive rebound by D. Howard,26,14
87,1,1:49.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,26,14
88,1,1:48.0,Defensive rebound by L. Galloway,,26,14
89,1,1:39.0,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),,29,14
90,1,1:26.0,,Turnover by M. Delaney (traveling),29,14
91,1,1:26.0,,K. Humphries enters the game for M. Muscala,29,14
92,1,1:05.0,Ö. Aşık makes 2-pt layup at rim (assist by T. Jones),,31,14
93,1,0:53.0,,K. Humphries misses 3-pt jump shot from 25 ft,31,14
94,1,0:52.0,Defensive rebound by L. Galloway,,31,14
95,1,0:48.0,Shooting foul by K. Humphries (drawn by T. Jones),,31,14
96,1,0:48.0,T. Jones makes 2-pt layup from 1 ft (assist by L. Galloway),,33,14
97,1,0:48.0,T. Jones makes free throw 1 of 1,,34,14
98,1,0:34.0,,Personal foul by S. Hill (drawn by T. Hardaway),34,14
99,1,0:30.0,,M. Delaney misses 2-pt jump shot from 19 ft (block by T. Jones),34,14
100,1,0:28.0,Defensive rebound by Ö. Aşık,,34,14
101,1,0:08.0,Turnover by J. Holiday (lost ball; steal by D. Howard),,34,14
102,1,0:03.0,,M. Delaney misses 3-pt jump shot from 24 ft,34,14
103,1,0:00.0,Defensive rebound by J. Holiday,,34,14
104,1,0:00.0,J. Holiday misses 3-pt jump shot from 87 ft,,34,14
105,1,0:00.0,Offensive rebound by Team,,34,14
106,2,11:49.0,,Violation by T. Sefolosha (kicked ball),34,14
107,2,11:45.0,Turnover by L. Galloway (bad pass; steal by T. Sefolosha),,34,14
108,2,11:40.0,,K. Humphries makes 2-pt dunk at rim (assist by M. Delaney),34,16
109,2,11:33.0,L. Galloway makes 2-pt jump shot from 23 ft (assist by J. Holiday),,36,16
110,2,11:25.0,,D. Howard makes 2-pt dunk at rim (assist by T. Hardaway),36,18
111,2,11:13.0,Turnover by J. Holiday (bad pass; steal by M. Delaney),,36,18
