,QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
0,1,11:41.0,,A. Drummond makes 2-pt jump shot from 8 ft (assist by M. Morris),0,2
1,1,11:20.0,A. Horford makes 2-pt jump shot from 12 ft,,2,2
2,1,11:00.0,,M. Morris misses 2-pt jump shot from 16 ft,2,2
3,1,10:59.0,Defensive rebound by I. Thomas,,2,2
4,1,10:55.0,J. Crowder makes 2-pt layup at rim (assist by I. Thomas),,4,2
5,1,10:36.0,,R. Jackson misses 3-pt jump shot from 25 ft,4,2
6,1,10:35.0,Defensive rebound by A. Johnson,,4,2
7,1,10:30.0,J. Brown makes 2-pt layup from 1 ft (assist by J. Crowder),,6,2
8,1,10:30.0,,Detroit full timeout,6,2
9,1,10:24.0,,Personal foul by A. Horford (drawn by J. Leuer),6,2
10,1,10:14.0,,J. Leuer makes 3-pt jump shot from 25 ft (assist by R. Jackson),6,5
11,1,9:48.0,A. Horford misses 2-pt jump shot from 10 ft,,6,5
12,1,9:47.0,,Defensive rebound by R. Jackson,6,5
13,1,9:36.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),6,7
14,1,9:22.0,Personal foul by J. Leuer (drawn by I. Thomas),,6,7
15,1,9:10.0,I. Thomas misses 2-pt layup from 2 ft,,6,7
16,1,9:09.0,,Defensive rebound by R. Jackson,6,7
17,1,9:08.0,,Turnover by R. Jackson (bad pass; steal by J. Brown),6,7
18,1,8:52.0,A. Johnson misses 2-pt jump shot from 4 ft,,6,7
19,1,8:51.0,,Defensive rebound by J. Leuer,6,7
20,1,8:42.0,,A. Drummond misses 2-pt hook shot from 8 ft,6,7
21,1,8:40.0,Defensive rebound by A. Horford,,6,7
22,1,8:32.0,J. Brown misses 2-pt layup from 1 ft,,6,7
23,1,8:32.0,,Defensive rebound by A. Drummond,6,7
24,1,8:21.0,,J. Leuer misses 3-pt jump shot from 22 ft,6,7
25,1,8:21.0,Defensive rebound by A. Johnson,,6,7
26,1,8:08.0,I. Thomas makes 2-pt jump shot from 7 ft,,8,7
27,1,7:55.0,,R. Jackson makes 2-pt jump shot from 6 ft,8,9
28,1,7:35.0,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Crowder),,11,9
29,1,7:21.0,,R. Jackson misses 2-pt jump shot from 19 ft,11,9
30,1,7:21.0,Defensive rebound by J. Brown,,11,9
