,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:47.0,J. Butler makes 2-pt jump shot from 16 ft (assist by R. Rondo),,2,0
1,1,11:25.0,,I. Thomas misses 2-pt layup from 3 ft (block by R. Rondo),2,0
2,1,11:24.0,,Offensive rebound by Team,2,0
3,1,11:23.0,,Shooting foul by R. Lopez (drawn by I. Thomas),2,0
4,1,11:23.0,,I. Thomas misses free throw 1 of 2,2,0
5,1,11:23.0,,Offensive rebound by Team,2,0
6,1,11:23.0,,I. Thomas makes free throw 2 of 2,2,1
7,1,11:01.0,J. Butler misses 3-pt jump shot from 26 ft,,2,1
8,1,11:00.0,,Defensive rebound by I. Thomas,2,1
9,1,10:53.0,,Offensive foul by A. Johnson (drawn by R. Rondo),2,1
10,1,10:53.0,,Turnover by A. Johnson (offensive foul),2,1
11,1,10:38.0,N. Mirotić misses 3-pt jump shot from 25 ft,,2,1
12,1,10:37.0,,Defensive rebound by A. Horford,2,1
13,1,10:27.0,,Turnover by A. Bradley (bad pass; steal by D. Wade),2,1
14,1,10:21.0,D. Wade makes 2-pt jump shot from 10 ft,,4,1
15,1,10:04.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Horford),4,4
16,1,9:43.0,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Butler),,6,4
17,1,9:28.0,,Shooting foul by R. Rondo (drawn by I. Thomas),6,4
18,1,9:28.0,,I. Thomas makes free throw 1 of 3,6,5
19,1,9:28.0,,I. Thomas makes free throw 2 of 3,6,6
20,1,9:28.0,,I. Thomas misses free throw 3 of 3,6,6
21,1,9:28.0,Defensive rebound by R. Lopez,,6,6
22,1,9:14.0,R. Rondo misses 3-pt jump shot from 25 ft,,6,6
23,1,9:13.0,Offensive rebound by J. Butler,,6,6
24,1,8:55.0,Turnover by N. Mirotić (bad pass; steal by I. Thomas),,6,6
25,1,8:49.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),6,9
26,1,8:43.0,Turnover by R. Rondo (bad pass; steal by A. Johnson),,6,9
27,1,8:34.0,,I. Thomas makes 3-pt jump shot from 26 ft (assist by A. Bradley),6,12
28,1,8:34.0,Chicago full timeout,,6,12
29,1,8:22.0,Shooting foul by J. Crowder (drawn by J. Butler),,6,12
30,1,8:22.0,J. Butler makes free throw 1 of 2,,7,12
31,1,8:22.0,J. Butler makes free throw 2 of 2,,8,12
32,1,8:07.0,,Turnover by A. Horford (bad pass),8,12
33,1,7:58.0,Turnover by J. Butler (lost ball; steal by A. Johnson),,8,12
34,1,7:51.0,,Turnover by I. Thomas (bad pass; steal by J. Butler),8,12
35,1,7:50.0,Personal foul by J. Crowder (drawn by J. Butler),,8,12
36,1,7:38.0,D. Wade misses 2-pt layup from 3 ft (block by A. Johnson),,8,12
37,1,7:37.0,Offensive rebound by R. Lopez,,8,12
38,1,7:36.0,R. Lopez makes 2-pt layup from 2 ft,,10,12
39,1,7:16.0,,I. Thomas makes 3-pt jump shot from 23 ft (assist by A. Horford),10,15
40,1,7:03.0,R. Rondo makes 2-pt layup from 2 ft (assist by D. Wade),,12,15
41,1,6:49.0,,J. Crowder misses 3-pt jump shot from 25 ft,12,15
42,1,6:48.0,,Offensive rebound by A. Horford,12,15
43,1,6:45.0,,I. Thomas misses 3-pt jump shot from 23 ft,12,15
44,1,6:44.0,,Offensive rebound by J. Crowder,12,15
45,1,6:43.0,,J. Crowder misses 2-pt layup from 2 ft,12,15
46,1,6:41.0,Defensive rebound by R. Rondo,,12,15
47,1,6:34.0,N. Mirotić misses 3-pt jump shot from 24 ft,,12,15
48,1,6:32.0,,Defensive rebound by A. Horford,12,15
49,1,6:26.0,,J. Crowder misses 2-pt layup from 2 ft,12,15
50,1,6:24.0,,Offensive rebound by A. Johnson,12,15
51,1,6:24.0,,A. Johnson misses 2-pt layup from 2 ft,12,15
52,1,6:23.0,,Offensive rebound by A. Johnson,12,15
53,1,6:21.0,,A. Johnson makes 2-pt layup from 2 ft,12,17
54,1,6:09.0,J. Butler misses 2-pt hook shot from 9 ft,,12,17
55,1,6:06.0,Offensive rebound by R. Lopez,,12,17
56,1,6:06.0,R. Lopez misses 2-pt layup from 1 ft,,12,17
57,1,6:06.0,,Defensive rebound by J. Crowder,12,17
58,1,6:00.0,,Turnover by I. Thomas (bad pass; steal by N. Mirotić),12,17
59,1,5:55.0,Shooting block foul by A. Johnson (drawn by J. Butler),,12,17
60,1,5:55.0,J. Butler misses free throw 1 of 2,,12,17
61,1,5:55.0,Offensive rebound by Team,,12,17
62,1,5:55.0,,M. Smart enters the game for J. Crowder,12,17
63,1,5:55.0,,K. Olynyk enters the game for A. Johnson,12,17
64,1,5:55.0,J. Butler makes free throw 2 of 2,,13,17
65,1,5:43.0,,A. Bradley misses 3-pt jump shot from 26 ft,13,17
66,1,5:42.0,Defensive rebound by J. Butler,,13,17
67,1,5:26.0,R. Rondo makes 2-pt layup from 1 ft,,15,17
68,1,5:11.0,,Personal foul by R. Rondo (drawn by I. Thomas),15,17
69,1,5:11.0,P. Zipser enters the game for D. Wade,,15,17
70,1,5:11.0,J. Grant enters the game for R. Rondo,,15,17
71,1,5:01.0,,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),15,19
72,1,4:48.0,P. Zipser misses 3-pt jump shot from 23 ft,,15,19
73,1,4:46.0,,Defensive rebound by Team,15,19
74,1,4:33.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by A. Horford),15,21
