,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
0,1,11:37.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by A. Wiggins),,2,0
1,1,11:21.0,,T. Young misses 2-pt hook shot from 7 ft,2,0
2,1,11:20.0,Defensive rebound by K. Towns,,2,0
3,1,11:13.0,A. Wiggins misses 2-pt layup from 2 ft,,2,0
4,1,11:11.0,Offensive rebound by K. Towns,,2,0
5,1,11:08.0,R. Rubio misses 3-pt jump shot from 25 ft,,2,0
6,1,11:07.0,,Defensive rebound by P. George,2,0
7,1,10:47.0,,Shooting foul by B. Rush (drawn by J. Teague),2,0
8,1,10:47.0,,J. Teague makes free throw 1 of 2,2,1
9,1,10:47.0,,J. Teague misses free throw 2 of 2,2,1
10,1,10:47.0,Defensive rebound by G. Dieng,,2,1
11,1,10:36.0,A. Wiggins misses 2-pt layup from 2 ft (block by M. Turner),,2,1
12,1,10:35.0,Offensive rebound by A. Wiggins,,2,1
13,1,10:32.0,Turnover by A. Wiggins (lost ball),,2,1
14,1,10:27.0,,P. George makes 3-pt jump shot from 24 ft (assist by J. Teague),2,4
15,1,10:08.0,G. Dieng makes 2-pt jump shot from 12 ft,,4,4
16,1,9:46.0,,T. Young makes 2-pt jump shot from 6 ft (assist by M. Turner),4,6
17,1,9:28.0,G. Dieng misses 2-pt layup from 1 ft (block by M. Turner),,4,6
18,1,9:26.0,,Defensive rebound by J. Teague,4,6
19,1,9:22.0,,M. Turner makes 2-pt dunk at rim (assist by M. Ellis),4,8
20,1,9:06.0,K. Towns misses 2-pt jump shot from 13 ft,,4,8
21,1,9:06.0,,Defensive rebound by M. Turner,4,8
22,1,8:55.0,,Personal block foul by R. Rubio (drawn by J. Teague),4,8
23,1,8:48.0,,T. Young makes 2-pt hook shot from 6 ft (assist by M. Turner),4,10
24,1,8:34.0,K. Towns makes 3-pt jump shot from 26 ft (assist by R. Rubio),,7,10
25,1,8:14.0,,M. Turner misses 2-pt jump shot from 10 ft,7,10
26,1,8:14.0,Defensive rebound by K. Towns,,7,10
27,1,8:03.0,Turnover by R. Rubio (bad pass; steal by M. Ellis),,7,10
28,1,7:56.0,,P. George makes 2-pt layup from 1 ft (assist by T. Young),7,12
29,1,7:56.0,,Shooting foul by G. Dieng (drawn by P. George),7,12
30,1,7:56.0,,P. George makes free throw 1 of 1,7,13
31,1,7:43.0,A. Wiggins misses 2-pt jump shot from 12 ft,,7,13
32,1,7:42.0,,Defensive rebound by M. Turner,7,13
33,1,7:35.0,,T. Young misses 2-pt layup from 1 ft (block by G. Dieng),7,13
34,1,7:34.0,Defensive rebound by G. Dieng,,7,13
35,1,7:24.0,Def 3 sec tech foul by M. Turner,,7,13
36,1,7:24.0,R. Rubio makes technical free throw,,8,13
37,1,7:11.0,K. Towns makes 3-pt jump shot from 27 ft (assist by R. Rubio),,11,13
38,1,6:53.0,,P. George misses 2-pt layup from 3 ft (block by K. Towns),11,13
39,1,6:52.0,,Offensive rebound by M. Turner,11,13
40,1,6:49.0,,T. Young misses 3-pt jump shot from 24 ft,11,13
41,1,6:49.0,,Offensive rebound by P. George,11,13
42,1,6:40.0,,Turnover by T. Young (lost ball; steal by K. Towns),11,13
43,1,6:28.0,K. Towns misses 2-pt jump shot from 17 ft,,11,13
44,1,6:27.0,Offensive rebound by G. Dieng,,11,13
45,1,6:27.0,G. Dieng misses 2-pt layup from 2 ft,,11,13
46,1,6:27.0,,Defensive rebound by T. Young,11,13
47,1,6:20.0,,M. Ellis misses 3-pt jump shot from 25 ft,11,13
48,1,6:19.0,Defensive rebound by K. Towns,,11,13
49,1,6:03.0,A. Wiggins makes 2-pt jump shot from 19 ft,,13,13
50,1,5:47.0,Violation by G. Dieng (kicked ball),,13,13
51,1,5:47.0,,Indiana full timeout,13,13
52,1,5:37.0,,P. George makes 2-pt jump shot from 19 ft (assist by J. Teague),13,15
53,1,5:15.0,K. Towns makes 2-pt hook shot from 7 ft,,15,15
54,1,4:53.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Teague),15,17
55,1,4:34.0,A. Wiggins misses 2-pt jump shot from 20 ft,,15,17
56,1,4:33.0,,Defensive rebound by T. Young,15,17
57,1,4:26.0,,P. George makes 3-pt jump shot from 27 ft (assist by J. Teague),15,20
