,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
72,1,3:13.0,A. Brooks enters the game for J. Teague,,16,25
73,1,3:13.0,C. Miles makes free throw 2 of 2,,17,25
74,1,2:57.0,,R. Neto misses 3-pt jump shot from 23 ft,17,25
75,1,2:57.0,Defensive rebound by C. Miles,,17,25
76,1,2:46.0,Turnover by A. Brooks (bad pass; steal by R. Neto),,17,25
77,1,2:41.0,,R. Neto misses 2-pt layup from 2 ft (block by T. Young),17,25
78,1,2:41.0,,Offensive rebound by Team,17,25
79,1,2:41.0,,Utah full timeout,17,25
80,1,2:41.0,L. Allen enters the game for T. Young,,17,25
81,1,2:41.0,,D. Favors enters the game for R. Gobert,17,25
82,1,2:35.0,,A. Burks makes 2-pt jump shot from 13 ft (assist by J. Johnson),17,27
83,1,2:18.0,C. Miles misses 3-pt jump shot from 24 ft,,17,27
84,1,2:17.0,,Defensive rebound by D. Favors,17,27
85,1,2:07.0,,T. Lyles misses 3-pt jump shot from 24 ft,17,27
86,1,2:06.0,Defensive rebound by A. Jefferson,,17,27
87,1,1:55.0,M. Ellis misses 2-pt jump shot from 21 ft,,17,27
88,1,1:55.0,,Defensive rebound by D. Favors,17,27
89,1,1:44.0,,T. Lyles misses 2-pt jump shot from 6 ft,17,27
90,1,1:43.0,,Offensive rebound by D. Favors,17,27
91,1,1:41.0,,D. Favors misses 2-pt jump shot from 11 ft,17,27
92,1,1:40.0,Defensive rebound by A. Jefferson,,17,27
93,1,1:29.0,A. Jefferson makes 2-pt jump shot from 18 ft (assist by A. Brooks),,19,27
94,1,1:13.0,,Turnover by J. Johnson (lost ball; steal by C. Miles),19,27
95,1,1:05.0,C. Miles misses 2-pt layup from 1 ft,,19,27
96,1,1:03.0,,Defensive rebound by J. Johnson,19,27
97,1,0:56.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by T. Lyles),19,30
98,1,0:40.0,A. Jefferson makes 2-pt jump shot from 8 ft (assist by C. Miles),,21,30
99,1,0:26.0,,J. Johnson misses 3-pt jump shot from 25 ft,21,30
100,1,0:26.0,,Offensive rebound by Team,21,30
101,1,0:26.0,Loose ball foul by A. Jefferson (drawn by D. Favors),,21,30
102,1,0:26.0,,D. Favors makes free throw 1 of 2,21,31
103,1,0:26.0,,D. Favors misses free throw 2 of 2,21,31
104,1,0:26.0,,G. Hill enters the game for R. Neto,21,31
105,1,0:25.0,Defensive rebound by L. Allen,,21,31
106,1,0:10.0,Personal foul by A. Burks (drawn by M. Ellis),,21,31
107,1,0:06.0,A. Jefferson misses 2-pt jump shot from 3 ft (block by D. Favors),,21,31
108,1,0:05.0,,Defensive rebound by T. Lyles,21,31
109,1,0:02.0,,G. Hill makes 3-pt jump shot from 26 ft (assist by T. Lyles),21,34
110,1,0:01.0,Turnover by C. Miles (bad pass; steal by T. Lyles),,21,34
111,1,0:01.0,,T. Lyles misses 2-pt jump shot from 20 ft,21,34
112,1,0:00.0,,Offensive rebound by Team,21,34
113,2,11:44.0,A. Jefferson makes 2-pt layup from 1 ft,,23,34
114,2,11:44.0,Shooting foul by D. Favors (drawn by A. Jefferson),,23,34
115,2,11:44.0,A. Jefferson makes free throw 1 of 1,,24,34
116,2,11:26.0,,T. Lyles misses 3-pt jump shot from 24 ft,24,34
117,2,11:26.0,Defensive rebound by A. Jefferson,,24,34
118,2,11:18.0,A. Brooks misses 3-pt jump shot from 25 ft,,24,34
119,2,11:17.0,Offensive rebound by Team,,24,34
120,2,11:11.0,A. Brooks makes 2-pt jump shot from 6 ft,,26,34
121,2,11:03.0,,Personal foul by C. Miles (drawn by J. Johnson),26,34
122,2,10:55.0,,T. Lyles makes 2-pt layup from 3 ft (assist by D. Favors),26,36
123,2,10:35.0,A. Brooks misses 3-pt jump shot from 26 ft,,26,36
124,2,10:35.0,,Defensive rebound by A. Burks,26,36
125,2,10:28.0,,A. Burks makes 2-pt jump shot from 5 ft,26,38
126,2,10:18.0,Turnover by A. Jefferson (bad pass; steal by T. Lyles),,26,38
127,2,10:17.0,,Personal foul by C. Miles (drawn by T. Lyles),26,38
128,2,10:17.0,P. George enters the game for L. Allen,,26,38
129,2,10:00.0,,D. Favors makes 2-pt dunk at rim (assist by T. Lyles),26,40
130,2,9:35.0,Shooting block foul by A. Burks (drawn by M. Ellis),,26,40
131,2,9:35.0,M. Ellis misses free throw 1 of 2,,26,40
132,2,9:35.0,Offensive rebound by Team,,26,40
133,2,9:35.0,,J. Ingles enters the game for A. Burks,26,40
134,2,9:35.0,J. Teague enters the game for A. Brooks,,26,40
135,2,9:35.0,M. Turner enters the game for A. Jefferson,,26,40
136,2,9:35.0,M. Ellis makes free throw 2 of 2,,27,40
137,2,9:22.0,,G. Hill makes 3-pt jump shot from 25 ft,27,43
138,2,9:04.0,P. George misses 2-pt jump shot from 17 ft,,27,43
139,2,9:03.0,,Defensive rebound by D. Favors,27,43
140,2,8:53.0,,T. Lyles misses 3-pt jump shot from 26 ft,27,43
141,2,8:53.0,Defensive rebound by M. Ellis,,27,43
142,2,8:35.0,M. Ellis makes 2-pt jump shot from 12 ft,,29,43
143,2,8:29.0,,Utah full timeout,29,43
144,2,8:29.0,T. Young enters the game for C. Miles,,29,43
145,2,8:29.0,,B. Diaw enters the game for T. Lyles,29,43
146,2,8:19.0,,Turnover by D. Favors (3 sec),29,43
147,2,7:59.0,M. Ellis makes 3-pt jump shot from 24 ft (assist by J. Teague),,32,43
148,2,7:46.0,,J. Johnson makes 2-pt layup from 1 ft (assist by B. Diaw),32,45
