,Date,Away Team,Home Team
0,2019-11-01,HOU,BRK
1,2019-11-01,CLE,IND
2,2019-11-01,MIL,ORL
3,2019-11-01,NYK,BOS
4,2019-11-01,DET,CHI
5,2019-11-01,LAL,DAL
6,2019-11-01,UTA,SAC
7,2019-11-01,SAS,GSW
8,2019-11-02,NOP,OKC
9,2019-11-02,BRK,DET
10,2019-11-02,DEN,ORL
11,2019-11-02,PHO,MEM
12,2019-11-02,TOR,MIL
13,2019-11-02,MIN,WAS
14,2019-11-02,CHO,GSW
15,2019-11-02,PHI,POR
16,2019-11-03,CHI,IND
17,2019-11-03,HOU,MIA
18,2019-11-03,SAC,NYK
19,2019-11-03,LAL,SAS
20,2019-11-03,DAL,CLE
21,2019-11-03,UTA,LAC
22,2019-11-04,DET,WAS
23,2019-11-04,NOP,BRK
24,2019-11-04,HOU,MEM
25,2019-11-04,MIL,MIN
26,2019-11-04,PHI,PHO
27,2019-11-04,POR,GSW
28,2019-11-05,IND,CHO
29,2019-11-05,BOS,CLE
30,2019-11-05,SAS,ATL
31,2019-11-05,LAL,CHI
32,2019-11-05,ORL,OKC
33,2019-11-05,MIA,DEN
34,2019-11-06,NYK,DET
35,2019-11-06,WAS,IND
36,2019-11-06,CHI,ATL
37,2019-11-06,GSW,HOU
38,2019-11-06,SAC,TOR
39,2019-11-06,MIN,MEM
40,2019-11-06,ORL,DAL
41,2019-11-06,PHI,UTA
42,2019-11-06,MIL,LAC
43,2019-11-07,BOS,CHO
44,2019-11-07,OKC,SAS
45,2019-11-07,MIA,PHO
46,2019-11-07,POR,LAC
47,2019-11-08,DET,IND
48,2019-11-08,MEM,ORL
49,2019-11-08,CLE,WAS
50,2019-11-08,SAC,ATL
51,2019-11-08,GSW,MIN
52,2019-11-08,TOR,NOP
53,2019-11-08,NYK,DAL
54,2019-11-08,PHI,DEN
55,2019-11-08,MIL,UTA
56,2019-11-08,BRK,POR
57,2019-11-08,MIA,LAL
58,2019-11-09,BOS,SAS
59,2019-11-09,NOP,CHO
60,2019-11-09,HOU,CHI
61,2019-11-09,DAL,MEM
62,2019-11-09,GSW,OKC
63,2019-11-10,DEN,MIN
64,2019-11-10,IND,ORL
65,2019-11-10,CHO,PHI
66,2019-11-10,MIL,OKC
67,2019-11-10,CLE,NYK
68,2019-11-10,BRK,PHO
69,2019-11-10,ATL,POR
70,2019-11-10,TOR,LAL
71,2019-11-11,MIN,DET
72,2019-11-11,DAL,BOS
73,2019-11-11,MEM,SAS
74,2019-11-11,HOU,NOP
75,2019-11-11,UTA,GSW
76,2019-11-11,TOR,LAC
