,Date,Away Team,Home Team
0,2014-10-28,ORL,NOP
1,2014-10-28,DAL,SAS
2,2014-10-28,HOU,LAL
3,2014-10-29,MIL,CHO
4,2014-10-29,PHI,IND
5,2014-10-29,ATL,TOR
6,2014-10-29,WAS,MIA
7,2014-10-29,BRK,BOS
8,2014-10-29,CHI,NYK
9,2014-10-29,MIN,MEM
10,2014-10-29,DET,DEN
11,2014-10-29,HOU,UTA
12,2014-10-29,LAL,PHO
13,2014-10-29,GSW,SAC
14,2014-10-29,OKC,POR
15,2014-10-30,WAS,ORL
16,2014-10-30,NYK,CLE
17,2014-10-30,DET,MIN
18,2014-10-30,UTA,DAL
19,2014-10-30,OKC,LAC
20,2014-10-31,MEM,IND
21,2014-10-31,CLE,CHI
22,2014-10-31,PHI,MIL
23,2014-10-31,SAS,PHO
24,2014-10-31,POR,SAC
25,2014-10-31,LAC,LAL
26,2014-11-01,MEM,CHO
27,2014-11-01,DAL,NOP
28,2014-11-01,TOR,ORL
29,2014-11-01,MIA,PHI
30,2014-11-01,MIL,WAS
31,2014-11-01,IND,ATL
32,2014-11-01,BRK,DET
33,2014-11-01,BOS,HOU
34,2014-11-01,CHI,MIN
35,2014-11-01,DEN,OKC
36,2014-11-01,PHO,UTA
37,2014-11-01,LAL,GSW
38,2014-11-02,SAC,LAC
39,2014-11-02,TOR,MIA
40,2014-11-02,CHO,NYK
41,2014-11-02,GSW,POR
42,2014-11-03,HOU,PHI
43,2014-11-03,OKC,BRK
44,2014-11-03,NOP,MEM
45,2014-11-03,BOS,DAL
46,2014-11-03,SAC,DEN
47,2014-11-03,UTA,LAC
48,2014-11-04,MIL,IND
49,2014-11-04,HOU,MIA
50,2014-11-04,WAS,NYK
51,2014-11-04,OKC,TOR
52,2014-11-04,ORL,CHI
53,2014-11-04,CHO,NOP
54,2014-11-04,CLE,POR
55,2014-11-04,PHO,LAL
56,2014-11-05,MIA,CHO
57,2014-11-05,ORL,PHI
58,2014-11-05,TOR,BOS
59,2014-11-05,MIN,BRK
60,2014-11-05,NYK,DET
61,2014-11-05,CHI,MIL
62,2014-11-05,IND,WAS
63,2014-11-05,ATL,SAS
64,2014-11-05,MEM,PHO
65,2014-11-05,CLE,UTA
66,2014-11-05,DEN,SAC
67,2014-11-05,LAC,GSW
68,2014-11-06,SAS,HOU
69,2014-11-06,DAL,POR
70,2014-11-07,ATL,CHO
71,2014-11-07,MIN,ORL
72,2014-11-07,CHI,PHI
73,2014-11-07,IND,BOS
74,2014-11-07,NYK,BRK
75,2014-11-07,MIL,DET
76,2014-11-07,WAS,TOR
77,2014-11-07,MEM,OKC
78,2014-11-07,SAC,PHO
79,2014-11-07,DAL,UTA
80,2014-11-07,CLE,DEN
81,2014-11-08,POR,LAC
82,2014-11-08,WAS,IND
83,2014-11-08,NYK,ATL
84,2014-11-08,MIN,MIA
85,2014-11-08,BOS,CHI
86,2014-11-08,GSW,HOU
