,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,H. Whiteside makes 2-pt hook shot from 3 ft (assist by M. Chalmers),,2,0
1,1,11:22.0,,Turnover by S. Curry (bad pass),2,0
2,1,11:07.0,C. Bosh misses 2-pt hook shot from 12 ft,,2,0
3,1,11:00.0,,Defensive rebound by A. Bogut,2,0
4,1,10:47.0,,H. Barnes misses 3-pt jump shot from 25 ft,2,0
5,1,10:46.0,Defensive rebound by M. Chalmers,,2,0
6,1,10:33.0,H. Whiteside makes 2-pt dunk at rim (assist by M. Chalmers),,4,0
7,1,10:20.0,,S. Curry misses 2-pt layup at rim (block by H. Whiteside),4,0
8,1,10:19.0,Defensive rebound by S. Napier,,4,0
9,1,10:05.0,C. Bosh misses 2-pt hook shot from 6 ft,,4,0
10,1,10:04.0,,Defensive rebound by A. Bogut,4,0
11,1,9:54.0,,Def 3 sec tech foul by H. Whiteside,4,0
12,1,9:54.0,,S. Curry makes technical free throw,4,1
13,1,9:50.0,,Turnover by S. Curry (bad pass; steal by M. Chalmers),4,1
14,1,9:36.0,S. Napier misses 3-pt jump shot from 23 ft,,4,1
15,1,9:35.0,,Defensive rebound by K. Thompson,4,1
16,1,9:26.0,,K. Thompson misses 3-pt jump shot from 25 ft,4,1
17,1,9:26.0,,Offensive rebound by S. Curry,4,1
18,1,9:21.0,,S. Curry makes 2-pt jump shot from 14 ft,4,3
19,1,9:02.0,L. Deng misses 2-pt layup at rim,,4,3
20,1,9:01.0,Offensive rebound by L. Deng,,4,3
21,1,8:46.0,C. Bosh makes 3-pt jump shot from 24 ft (assist by S. Napier),,7,3
22,1,8:30.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Bogut),7,6
23,1,8:04.0,L. Deng misses 2-pt jump shot from 11 ft,,7,6
24,1,8:03.0,,Defensive rebound by H. Barnes,7,6
25,1,7:57.0,,S. Curry makes 3-pt jump shot from 31 ft,7,9
26,1,7:33.0,Turnover by C. Bosh (bad pass; steal by S. Curry),,7,9
27,1,7:27.0,,H. Barnes misses 3-pt jump shot from 27 ft,7,9
28,1,7:25.0,Defensive rebound by H. Whiteside,,7,9
29,1,7:13.0,C. Bosh misses 2-pt layup from 2 ft,,7,9
30,1,7:11.0,Offensive rebound by C. Bosh,,7,9
31,1,7:11.0,C. Bosh makes 2-pt tip-in at rim,,9,9
32,1,7:01.0,,Turnover by S. Curry (bad pass; steal by M. Chalmers),9,9
33,1,6:59.0,Personal foul by A. Bogut (drawn by L. Deng),,9,9
34,1,6:36.0,Turnover by C. Bosh (bad pass),,9,9
35,1,6:26.0,,A. Bogut misses 2-pt layup from 1 ft,9,9
36,1,6:24.0,Defensive rebound by L. Deng,,9,9
37,1,6:12.0,S. Napier misses 2-pt jump shot from 9 ft,,9,9
38,1,6:10.0,,Defensive rebound by Team,9,9
39,1,5:55.0,,S. Curry misses 3-pt jump shot from 25 ft,9,9
40,1,5:54.0,Defensive rebound by C. Bosh,,9,9
41,1,5:38.0,M. Chalmers misses 2-pt jump shot from 9 ft (block by H. Barnes),,9,9
42,1,5:36.0,,Defensive rebound by S. Curry,9,9
43,1,5:31.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),9,12
44,1,5:30.0,Miami full timeout,,9,12
45,1,5:30.0,D. Granger enters the game for C. Bosh,,9,12
46,1,5:12.0,H. Whiteside misses 2-pt jump shot from 8 ft,,9,12
47,1,5:11.0,,Defensive rebound by D. Green,9,12
48,1,5:00.0,,Turnover by H. Barnes (lost ball; steal by M. Chalmers),9,12
49,1,4:44.0,Turnover by M. Chalmers (lost ball; steal by K. Thompson),,9,12
50,1,4:39.0,,K. Thompson makes 2-pt dunk at rim (assist by D. Green),9,14
51,1,4:21.0,Turnover by M. Chalmers (bad pass),,9,14
52,1,4:21.0,,M. Speights enters the game for A. Bogut,9,14
53,1,4:04.0,,D. Green makes 2-pt layup at rim (assist by M. Speights),9,16
54,1,3:47.0,S. Napier misses 2-pt jump shot from 4 ft (block by K. Thompson),,9,16
55,1,3:45.0,,Defensive rebound by K. Thompson,9,16
56,1,3:43.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),9,18
57,1,3:43.0,,Shooting foul by M. Chalmers (drawn by D. Green),9,18
58,1,3:43.0,,Technical foul by D. Green,9,18
59,1,3:43.0,C. Andersen enters the game for H. Whiteside,,9,18
60,1,3:43.0,,A. Iguodala enters the game for H. Barnes,9,18
