,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PORTLAND_ACTION,PHILADELPHIA_SCORE,PORTLAND_SCORE
0,1,11:38.0,M. Carter-Williams misses 2-pt jump shot from 21 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Freeland,0,0
2,1,11:31.0,,D. Lillard makes 2-pt layup from 1 ft,0,2
3,1,11:19.0,J. Sampson makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,2,2
4,1,11:05.0,,T. Robinson makes 2-pt dunk at rim (assist by N. Batum),2,4
5,1,10:50.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,2,4
6,1,10:50.0,,Defensive rebound by J. Freeland,2,4
7,1,10:39.0,,Turnover by D. Lillard (bad pass),2,4
8,1,10:28.0,N. Noel makes 2-pt jump shot from 3 ft (assist by M. Carter-Williams),,4,4
9,1,10:18.0,,Turnover by D. Lillard (bad pass; steal by N. Noel),4,4
10,1,10:14.0,N. Noel makes 2-pt layup from 1 ft,,6,4
11,1,10:14.0,Shooting foul by J. Freeland (drawn by N. Noel),,6,4
12,1,10:14.0,N. Noel misses free throw 1 of 1,,6,4
13,1,10:13.0,,Defensive rebound by N. Batum,6,4
14,1,10:04.0,,Turnover by T. Robinson (lost ball; steal by J. Sampson),6,4
15,1,10:01.0,J. Sampson makes 2-pt dunk at rim,,8,4
16,1,9:48.0,,J. Freeland makes 2-pt jump shot from 20 ft (assist by D. Lillard),8,6
17,1,9:33.0,M. Carter-Williams makes 2-pt jump shot from 4 ft,,10,6
18,1,9:20.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by D. Lillard),10,9
19,1,9:06.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by J. Freeland),,10,9
20,1,9:04.0,,Defensive rebound by N. Batum,10,9
21,1,8:52.0,,W. Matthews misses 3-pt jump shot from 24 ft,10,9
22,1,8:51.0,Defensive rebound by R. Covington,,10,9
23,1,8:46.0,R. Covington misses 3-pt jump shot from 24 ft,,10,9
24,1,8:45.0,,Defensive rebound by D. Lillard,10,9
25,1,8:35.0,,Shooting foul by J. Sampson (drawn by D. Lillard),10,9
26,1,8:35.0,,D. Lillard makes free throw 1 of 2,10,10
27,1,8:35.0,,D. Lillard makes free throw 2 of 2,10,11
28,1,8:23.0,M. Carter-Williams misses 2-pt jump shot from 6 ft,,10,11
29,1,8:23.0,Offensive rebound by Team,,10,11
30,1,8:23.0,,Loose ball foul by T. Robinson (drawn by L. Mbah a Moute),10,11
31,1,8:16.0,R. Covington misses 2-pt jump shot from 7 ft,,10,11
32,1,8:15.0,,Defensive rebound by J. Freeland,10,11
33,1,8:01.0,,Shooting foul by N. Noel (drawn by T. Robinson),10,11
34,1,8:01.0,,T. Robinson misses free throw 1 of 2,10,11
35,1,8:01.0,,Offensive rebound by Team,10,11
36,1,8:01.0,,T. Robinson makes free throw 2 of 2,10,12
37,1,7:50.0,L. Mbah a Moute misses 2-pt layup from 2 ft,,10,12
38,1,7:50.0,,Defensive rebound by J. Freeland,10,12
39,1,7:38.0,,T. Robinson misses 2-pt jump shot from 16 ft,10,12
40,1,7:37.0,Defensive rebound by L. Mbah a Moute,,10,12
41,1,7:28.0,Personal foul by J. Freeland (drawn by N. Noel),,10,12
42,1,7:28.0,,M. Leonard enters the game for J. Freeland,10,12
43,1,7:15.0,M. Carter-Williams makes 2-pt layup from 1 ft,,12,12
44,1,6:57.0,,W. Matthews misses 3-pt jump shot from 22 ft,12,12
45,1,6:56.0,Defensive rebound by R. Covington,,12,12
46,1,6:49.0,Turnover by J. Sampson (traveling),,12,12
47,1,6:48.0,,N. Batum makes 2-pt layup at rim (assist by W. Matthews),12,14
48,1,6:48.0,,Shooting foul by R. Covington (drawn by N. Batum),12,14
49,1,6:48.0,,N. Batum makes free throw 1 of 1,12,15
50,1,6:48.0,Philadelphia full timeout,,12,15
51,1,6:33.0,Turnover by L. Mbah a Moute (lost ball),,12,15
52,1,6:16.0,,Turnover by D. Lillard (lost ball; steal by M. Carter-Williams),12,15
53,1,6:09.0,M. Carter-Williams misses 2-pt layup from 1 ft,,12,15
54,1,6:07.0,,Defensive rebound by M. Leonard,12,15
55,1,6:02.0,,N. Batum makes 2-pt dunk at rim (assist by D. Lillard),12,17
56,1,5:44.0,Shooting foul by M. Leonard (drawn by R. Covington),,12,17
57,1,5:44.0,R. Covington misses free throw 1 of 2,,12,17
58,1,5:44.0,Offensive rebound by Team,,12,17
59,1,5:44.0,,S. Blake enters the game for W. Matthews,12,17
60,1,5:44.0,,D. Wright enters the game for T. Robinson,12,17
61,1,5:44.0,K. McDaniels enters the game for J. Sampson,,12,17
62,1,5:44.0,R. Covington misses free throw 2 of 2,,12,17
63,1,5:43.0,,Defensive rebound by D. Wright,12,17
64,1,5:22.0,,M. Leonard misses 2-pt jump shot from 20 ft,12,17
65,1,5:20.0,Defensive rebound by M. Carter-Williams,,12,17
66,1,5:07.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,12,17
67,1,5:06.0,Offensive rebound by N. Noel,,12,17
68,1,5:04.0,Turnover by N. Noel (lost ball; steal by N. Batum),,12,17
69,1,4:43.0,,D. Lillard misses 2-pt jump shot from 6 ft (block by K. McDaniels),12,17
70,1,4:43.0,Defensive rebound by Team,,12,17
71,1,4:43.0,H. Sims enters the game for R. Covington,,12,17
72,1,4:43.0,T. Wroten enters the game for N. Noel,,12,17
73,1,4:25.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by D. Wright),,12,17
74,1,4:24.0,Offensive rebound by L. Mbah a Moute,,12,17
75,1,4:23.0,Turnover by L. Mbah a Moute (traveling),,12,17
76,1,4:12.0,J. Grant enters the game for L. Mbah a Moute,,12,17
77,1,4:08.0,,M. Leonard makes 2-pt dunk at rim (assist by S. Blake),12,19
78,1,3:48.0,T. Wroten misses 2-pt layup at rim,,12,19
79,1,3:46.0,Offensive rebound by H. Sims,,12,19
80,1,3:46.0,H. Sims makes 2-pt dunk at rim,,14,19
81,1,3:26.0,,N. Batum misses 3-pt jump shot from 24 ft,14,19
82,1,3:25.0,,Offensive rebound by M. Leonard,14,19
83,1,3:22.0,,Turnover by M. Leonard (bad pass; steal by T. Wroten),14,19
84,1,3:08.0,T. Wroten makes 2-pt layup from 1 ft,,16,19
85,1,3:02.0,,Portland full timeout,16,19
86,1,3:02.0,J. Sampson enters the game for M. Carter-Williams,,16,19
87,1,2:52.0,,Shooting foul by J. Sampson (drawn by N. Batum),16,19
88,1,2:52.0,,N. Batum makes free throw 1 of 2,16,20
89,1,2:52.0,,A. Crabbe enters the game for D. Lillard,16,20
90,1,2:52.0,,N. Batum makes free throw 2 of 2,16,21
91,1,2:37.0,J. Sampson makes 2-pt layup from 1 ft (assist by H. Sims),,18,21
92,1,2:25.0,,Turnover by D. Wright (bad pass; steal by J. Sampson),18,21
93,1,2:19.0,H. Sims makes 2-pt layup from 1 ft (assist by T. Wroten),,20,21
94,1,1:58.0,,Shooting foul by J. Sampson (drawn by M. Leonard),20,21
95,1,1:58.0,,M. Leonard makes free throw 1 of 2,20,22
96,1,1:58.0,,W. Matthews enters the game for N. Batum,20,22
97,1,1:58.0,R. Covington enters the game for J. Sampson,,20,22
98,1,1:58.0,,M. Leonard misses free throw 2 of 2,20,22
99,1,1:57.0,Defensive rebound by K. McDaniels,,20,22
100,1,1:42.0,Turnover by R. Covington (lost ball; steal by D. Wright),,20,22
101,1,1:28.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by S. Blake),20,25
102,1,1:22.0,Personal foul by A. Crabbe (drawn by T. Wroten),,20,25
103,1,1:22.0,T. Wroten misses free throw 1 of 2,,20,25
104,1,1:22.0,Offensive rebound by Team,,20,25
105,1,1:22.0,T. Wroten makes free throw 2 of 2,,21,25
