,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
0,1,11:46.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Jennings),0,3
1,1,11:20.0,T. Chandler misses 2-pt jump shot from 18 ft,,0,3
2,1,11:18.0,,Defensive rebound by K. Caldwell-Pope,0,3
3,1,11:10.0,,K. Singler makes 3-pt jump shot from 25 ft (assist by B. Jennings),0,6
4,1,10:58.0,T. Chandler makes 2-pt layup at rim (assist by M. Ellis),,2,6
5,1,10:39.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,2,6
6,1,10:38.0,Defensive rebound by J. Nelson,,2,6
7,1,10:20.0,M. Ellis misses 2-pt jump shot from 19 ft,,2,6
8,1,10:19.0,,Defensive rebound by J. Smith,2,6
9,1,10:14.0,,A. Drummond makes 2-pt dunk at rim (assist by J. Smith),2,8
10,1,9:57.0,C. Parsons misses 3-pt jump shot from 25 ft,,2,8
11,1,9:56.0,Offensive rebound by T. Chandler,,2,8
12,1,9:47.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by T. Chandler),,4,8
13,1,9:31.0,,Turnover by B. Jennings (bad pass; steal by T. Chandler),4,8
14,1,9:26.0,M. Ellis makes 2-pt layup at rim,,6,8
15,1,9:26.0,,Violation by K. Singler (def goaltending),6,8
16,1,9:06.0,,B. Jennings misses 2-pt jump shot from 17 ft,6,8
17,1,9:05.0,Defensive rebound by J. Nelson,,6,8
18,1,8:48.0,J. Nelson misses 3-pt jump shot from 26 ft,,6,8
19,1,8:47.0,,Defensive rebound by A. Drummond,6,8
20,1,8:38.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,6,8
21,1,8:37.0,Defensive rebound by T. Chandler,,6,8
22,1,8:31.0,Shooting foul by K. Caldwell-Pope (drawn by M. Ellis),,6,8
23,1,8:31.0,M. Ellis makes free throw 1 of 2,,7,8
24,1,8:31.0,M. Ellis misses free throw 2 of 2,,7,8
25,1,8:30.0,,Defensive rebound by A. Drummond,7,8
26,1,8:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,7,8
27,1,8:12.0,,Offensive rebound by A. Drummond,7,8
28,1,8:09.0,,A. Drummond makes 2-pt layup at rim,7,10
29,1,7:59.0,C. Parsons makes 2-pt jump shot from 7 ft (assist by D. Nowitzki),,9,10
30,1,7:53.0,,Detroit full timeout,9,10
31,1,7:42.0,,A. Drummond makes 2-pt layup at rim (assist by B. Jennings),9,12
32,1,7:25.0,C. Parsons misses 3-pt jump shot from 23 ft,,9,12
33,1,7:24.0,,Defensive rebound by A. Drummond,9,12
34,1,7:16.0,,B. Jennings misses 2-pt layup at rim,9,12
35,1,7:15.0,,Offensive rebound by A. Drummond,9,12
36,1,7:13.0,,A. Drummond makes 2-pt tip-in at rim,9,14
37,1,7:07.0,Turnover by M. Ellis (bad pass; steal by J. Smith),,9,14
38,1,6:59.0,,A. Drummond misses 2-pt layup at rim,9,14
39,1,6:57.0,Defensive rebound by D. Nowitzki,,9,14
40,1,6:47.0,J. Nelson misses 2-pt jump shot from 5 ft,,9,14
41,1,6:46.0,,Defensive rebound by A. Drummond,9,14
42,1,6:41.0,,J. Smith makes 2-pt layup at rim,9,16
43,1,6:20.0,Shooting foul by J. Smith (drawn by D. Nowitzki),,9,16
44,1,6:20.0,D. Nowitzki makes free throw 1 of 2,,10,16
45,1,6:20.0,D. Nowitzki makes free throw 2 of 2,,11,16
46,1,6:10.0,,B. Jennings makes 2-pt layup at rim (assist by J. Smith),11,18
47,1,6:02.0,T. Chandler makes 2-pt layup at rim (assist by M. Ellis),,13,18
48,1,6:02.0,Shooting foul by K. Singler (drawn by T. Chandler),,13,18
49,1,6:02.0,A. Aminu enters the game for D. Nowitzki,,13,18
50,1,6:02.0,T. Chandler makes free throw 1 of 1,,14,18
51,1,5:48.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by B. Jennings),14,20
52,1,5:33.0,T. Chandler misses 2-pt jump shot from 3 ft (block by J. Smith),,14,20
53,1,5:32.0,Offensive rebound by C. Parsons,,14,20
54,1,5:32.0,C. Parsons misses 2-pt tip-in from 1 ft,,14,20
55,1,5:30.0,Offensive rebound by T. Chandler,,14,20
56,1,5:24.0,M. Ellis makes 2-pt layup at rim (assist by T. Chandler),,16,20
57,1,5:12.0,,B. Jennings misses 3-pt jump shot from 26 ft,16,20
58,1,5:11.0,Defensive rebound by M. Ellis,,16,20
59,1,5:02.0,A. Aminu makes 2-pt layup at rim (assist by T. Chandler),,18,20
60,1,4:48.0,,K. Singler makes 3-pt jump shot from 26 ft (assist by J. Smith),18,23
61,1,4:38.0,Dallas full timeout,,18,23
62,1,4:38.0,D. Harris enters the game for T. Chandler,,18,23
63,1,4:38.0,B. Wright enters the game for J. Nelson,,18,23
64,1,4:38.0,,G. Monroe enters the game for A. Drummond,18,23
65,1,4:38.0,,J. Meeks enters the game for K. Caldwell-Pope,18,23
66,1,4:29.0,C. Parsons misses 2-pt jump shot from 4 ft,,18,23
67,1,4:29.0,Offensive rebound by Team,,18,23
68,1,4:13.0,A. Aminu misses 2-pt jump shot from 19 ft,,18,23
69,1,4:12.0,,Defensive rebound by J. Meeks,18,23
70,1,3:57.0,,Shooting foul by A. Aminu (drawn by J. Smith),18,23
71,1,3:57.0,,J. Smith misses free throw 1 of 2,18,23
72,1,3:57.0,,Offensive rebound by Team,18,23
73,1,3:57.0,,J. Smith makes free throw 2 of 2,18,24
74,1,3:47.0,Turnover by M. Ellis (bad pass; steal by J. Smith),,18,24
75,1,3:39.0,,B. Jennings makes 2-pt layup at rim,18,26
76,1,3:24.0,C. Parsons makes 2-pt layup at rim,,20,26
77,1,3:24.0,Shooting foul by K. Singler (drawn by C. Parsons),,20,26
78,1,3:24.0,R. Jefferson enters the game for A. Aminu,,20,26
