,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,Turnover by K. Korver (bad pass),,0,0
1,1,11:31.0,,J. Bayless makes 2-pt jump shot from 20 ft (assist by J. Dudley),0,2
2,1,11:11.0,Turnover by P. Millsap (traveling),,0,2
3,1,10:54.0,,Turnover by J. Bayless (bad pass; steal by J. Teague),0,2
4,1,10:37.0,J. Teague makes 2-pt jump shot from 16 ft,,2,2
5,1,10:16.0,,J. Bayless makes 3-pt jump shot from 26 ft (assist by K. Middleton),2,5
6,1,10:09.0,J. Teague misses 2-pt jump shot from 11 ft,,2,5
7,1,10:08.0,Offensive rebound by A. Horford,,2,5
8,1,10:03.0,D. Carroll misses 3-pt jump shot from 23 ft,,2,5
9,1,10:02.0,,Defensive rebound by J. Henson,2,5
10,1,9:53.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,2,5
11,1,9:52.0,,Offensive rebound by J. Henson,2,5
12,1,9:51.0,,Turnover by J. Henson (step out of bounds),2,5
13,1,9:30.0,A. Horford misses 3-pt jump shot from 23 ft,,2,5
14,1,9:28.0,Offensive rebound by P. Millsap,,2,5
15,1,9:28.0,P. Millsap makes 2-pt tip-in at rim,,4,5
16,1,9:12.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,4,5
17,1,9:11.0,Defensive rebound by K. Korver,,4,5
18,1,8:59.0,D. Carroll makes 2-pt jump shot from 16 ft (assist by P. Millsap),,6,5
19,1,8:43.0,,Turnover by J. Henson (lost ball),6,5
20,1,8:28.0,J. Teague misses 2-pt jump shot from 13 ft,,6,5
21,1,8:27.0,,Defensive rebound by J. Henson,6,5
22,1,8:21.0,,Turnover by J. Bayless (lost ball; steal by J. Teague),6,5
23,1,8:18.0,J. Teague makes 2-pt layup at rim,,8,5
24,1,7:50.0,,J. Bayless misses 2-pt jump shot from 17 ft,8,5
25,1,7:49.0,Defensive rebound by A. Horford,,8,5
26,1,7:30.0,A. Horford misses 2-pt jump shot from 16 ft,,8,5
27,1,7:29.0,,Defensive rebound by K. Middleton,8,5
28,1,7:19.0,,K. Middleton makes 2-pt jump shot from 11 ft,8,7
29,1,7:09.0,A. Horford makes 2-pt layup at rim (assist by K. Korver),,10,7
30,1,7:01.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by J. Dudley),10,9
31,1,6:43.0,A. Horford misses 2-pt jump shot from 3 ft,,10,9
32,1,6:42.0,,Defensive rebound by J. Henson,10,9
33,1,6:32.0,,J. Dudley misses 3-pt jump shot from 23 ft,10,9
34,1,6:30.0,Defensive rebound by A. Horford,,10,9
35,1,6:27.0,A. Horford misses 2-pt layup at rim (block by J. Henson),,10,9
36,1,6:24.0,Offensive rebound by D. Carroll,,10,9
37,1,6:20.0,K. Korver misses 3-pt jump shot from 23 ft,,10,9
38,1,6:19.0,,Defensive rebound by J. Dudley,10,9
39,1,6:03.0,,J. Bayless misses 3-pt jump shot from 26 ft (block by J. Teague),10,9
40,1,6:01.0,Defensive rebound by P. Millsap,,10,9
41,1,5:50.0,P. Millsap misses 3-pt jump shot from 23 ft,,10,9
