,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:41.0,C. Landry misses 2-pt jump shot from 17 ft,,0,0
1,1,11:39.0,,Defensive rebound by R. Hood,0,0
2,1,11:24.0,,G. Hayward makes 2-pt jump shot from 20 ft (assist by R. Hood),0,2
3,1,11:08.0,O. Casspi misses 2-pt layup from 2 ft,,0,2
4,1,11:06.0,Offensive rebound by J. Thompson,,0,2
5,1,11:06.0,J. Thompson makes 2-pt tip-in from 2 ft,,2,2
6,1,10:45.0,,D. Favors misses 2-pt layup from 2 ft (block by J. Thompson),2,2
7,1,10:43.0,Defensive rebound by O. Casspi,,2,2
8,1,10:34.0,C. Landry makes 2-pt jump shot from 18 ft (assist by B. McLemore),,4,2
9,1,10:18.0,,Turnover by D. Exum (bad pass),4,2
10,1,10:01.0,B. McLemore misses 2-pt jump shot from 8 ft,,4,2
11,1,10:00.0,,Defensive rebound by D. Favors,4,2
12,1,9:43.0,,R. Gobert makes 2-pt layup from 3 ft,4,4
13,1,9:28.0,Shooting foul by R. Hood (drawn by C. Landry),,4,4
14,1,9:28.0,C. Landry makes free throw 1 of 2,,5,4
15,1,9:28.0,C. Landry makes free throw 2 of 2,,6,4
16,1,9:15.0,,Turnover by R. Gobert (bad pass),6,4
17,1,8:58.0,J. Thompson makes 2-pt jump shot from 22 ft (assist by O. Casspi),,8,4
18,1,8:39.0,,G. Hayward misses 2-pt jump shot from 19 ft,8,4
19,1,8:37.0,,Offensive rebound by G. Hayward,8,4
20,1,8:33.0,,R. Gobert misses 2-pt jump shot from 3 ft,8,4
21,1,8:31.0,,Offensive rebound by D. Favors,8,4
22,1,8:31.0,,D. Favors makes 2-pt dunk at rim,8,6
23,1,8:17.0,B. McLemore misses 3-pt jump shot from 23 ft,,8,6
24,1,8:16.0,,Defensive rebound by D. Favors,8,6
25,1,8:05.0,,R. Gobert misses 2-pt layup from 3 ft,8,6
26,1,8:05.0,,Offensive rebound by D. Favors,8,6
27,1,8:05.0,,Personal foul by J. Thompson (drawn by D. Favors),8,6
28,1,8:05.0,,J. Cooley enters the game for R. Gobert,8,6
29,1,7:58.0,,D. Favors misses 2-pt layup from 2 ft,8,6
30,1,7:57.0,Defensive rebound by J. Thompson,,8,6
31,1,7:48.0,J. Thompson misses 2-pt jump shot from 19 ft,,8,6
32,1,7:47.0,,Defensive rebound by R. Hood,8,6
33,1,7:32.0,,D. Exum misses 3-pt jump shot from 24 ft,8,6
34,1,7:31.0,Defensive rebound by O. Casspi,,8,6
35,1,7:14.0,Shooting foul by J. Cooley (drawn by O. Casspi),,8,6
36,1,7:14.0,O. Casspi misses free throw 1 of 2,,8,6
37,1,7:14.0,Offensive rebound by Team,,8,6
38,1,7:14.0,O. Casspi makes free throw 2 of 2,,9,6
39,1,6:50.0,,R. Hood misses 2-pt jump shot from 17 ft,9,6
40,1,6:49.0,,Offensive rebound by D. Favors,9,6
41,1,6:46.0,,D. Favors makes 2-pt dunk at rim,9,8
42,1,6:32.0,J. Thompson misses 2-pt jump shot from 11 ft,,9,8
43,1,6:30.0,,Defensive rebound by J. Cooley,9,8
44,1,6:14.0,,J. Cooley misses 2-pt layup from 3 ft,9,8
45,1,6:13.0,Defensive rebound by J. Thompson,,9,8
46,1,6:02.0,C. Landry makes 2-pt dunk at rim (assist by J. Thompson),,11,8
47,1,6:00.0,,Utah full timeout,11,8
48,1,6:00.0,D. Williams enters the game for O. Casspi,,11,8
49,1,6:00.0,,R. Gobert enters the game for D. Favors,11,8
50,1,6:00.0,,T. Booker enters the game for J. Cooley,11,8
51,1,6:00.0,,T. Burke enters the game for G. Hayward,11,8
52,1,5:41.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),11,10
53,1,5:28.0,Def 3 sec tech foul by T. Booker,,11,10
54,1,5:28.0,B. McLemore makes technical free throw,,12,10
55,1,5:19.0,D. Williams misses 2-pt jump shot from 16 ft,,12,10
56,1,5:17.0,,Defensive rebound by D. Exum,12,10
57,1,5:08.0,,R. Hood misses 2-pt layup from 3 ft,12,10
58,1,5:07.0,,Offensive rebound by T. Booker,12,10
59,1,5:07.0,,T. Booker makes 2-pt layup from 1 ft,12,12
60,1,4:50.0,B. McLemore makes 2-pt jump shot from 17 ft (assist by D. Williams),,14,12
61,1,4:35.0,,Turnover by R. Hood (bad pass; steal by D. Williams),14,12
62,1,4:24.0,B. McLemore misses 3-pt jump shot from 24 ft,,14,12
63,1,4:23.0,,Defensive rebound by T. Booker,14,12
64,1,4:01.0,,T. Booker misses 2-pt jump shot from 7 ft,14,12
65,1,4:00.0,Defensive rebound by J. Thompson,,14,12
66,1,3:47.0,R. McCallum misses 3-pt jump shot from 25 ft,,14,12
67,1,3:45.0,Offensive rebound by J. Thompson,,14,12
68,1,3:45.0,J. Thompson makes 2-pt dunk at rim,,16,12
69,1,3:23.0,,R. Hood misses 3-pt jump shot from 24 ft,16,12
70,1,3:22.0,Defensive rebound by D. Williams,,16,12
71,1,3:11.0,D. Williams misses 2-pt jump shot from 7 ft,,16,12
72,1,3:09.0,,Defensive rebound by R. Gobert,16,12
73,1,2:58.0,,D. Exum misses 2-pt jump shot from 8 ft,16,12
74,1,2:57.0,,Offensive rebound by R. Gobert,16,12
75,1,2:52.0,,D. Exum makes 3-pt jump shot from 23 ft (assist by R. Gobert),16,15
76,1,2:39.0,,Violation by T. Booker (kicked ball),16,15
77,1,2:39.0,Sacramento full timeout,,16,15
78,1,2:39.0,A. Miller enters the game for R. McCallum,,16,15
79,1,2:39.0,R. Evans enters the game for J. Thompson,,16,15
80,1,2:39.0,,C. Johnson enters the game for D. Exum,16,15
81,1,2:39.0,,J. Ingles enters the game for R. Hood,16,15
82,1,2:27.0,B. McLemore misses 2-pt jump shot from 17 ft,,16,15
83,1,2:25.0,,Defensive rebound by T. Booker,16,15
84,1,2:01.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by J. Ingles),16,18
85,1,1:33.0,R. Evans misses 2-pt jump shot from 3 ft,,16,18
86,1,1:32.0,,Defensive rebound by R. Gobert,16,18
87,1,1:23.0,,Def 3 sec tech foul by C. Landry,16,18
